date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,0.2496,0.26,0.2329,0.2364,high,False,,,,,,,,0.26,,,,7,0.1456,0.1352,0.1196,0.1066,0.091,0.0728,0.0546,,B7,0.0546,0.2329
2023-01-24,0.2363,0.2493,0.2288,0.2443,high,False,,,,,,,,0.26,,,,7,0.1456,0.1352,0.1196,0.1066,0.091,0.0728,0.0546,,B7,0.0546,0.2288
2023-01-25,0.2446,0.249,0.2383,0.2452,high,False,,,,,,,,0.26,,,,7,0.1456,0.1352,0.1196,0.1066,0.091,0.0728,0.0546,,B7,0.0546,0.2383
2023-01-26,0.2453,0.2596,0.2383,0.2545,high,False,,,,,,,,0.26,,,,7,0.1456,0.1352,0.1196,0.1066,0.091,0.0728,0.0546,,B7,0.0546,0.2383
2023-01-27,0.2547,0.2644,0.2494,0.2572,high,False,,,,,,,,0.2644,,,,7,0.148064,0.137488,0.121624,0.108404,0.09254,0.074032,0.055524,,B7,0.055524,0.2494
2023-01-28,0.2573,0.2646,0.2538,0.2616,high,False,,,,,,,,0.2646,,,,7,0.148176,0.137592,0.121716,0.108486,0.09261,0.074088,0.055566,,B7,0.055566,0.2538
2023-01-29,0.2616,0.2624,0.2352,0.2393,high,False,,,,,,,,0.2646,,,,7,0.148176,0.137592,0.121716,0.108486,0.09261,0.074088,0.055566,,B7,0.055566,0.2352
2023-01-30,0.2393,0.244,0.235,0.2414,high,False,,,,,,,,0.2646,,,,7,0.148176,0.137592,0.121716,0.108486,0.09261,0.074088,0.055566,,B7,0.055566,0.235
2023-01-31,0.2415,0.2519,0.2309,0.2509,high,False,,,,,,,,0.2646,,,,7,0.148176,0.137592,0.121716,0.108486,0.09261,0.074088,0.055566,,B7,0.055566,0.2309
2023-02-01,0.251,0.2683,0.251,0.2551,high,False,,,,,,,,0.2683,,,,7,0.150248,0.139516,0.123418,0.110003,0.093905,0.075124,0.056343,,B7,0.056343,0.251
2023-02-02,0.2552,0.2736,0.2505,0.271,high,False,,,,,,,,0.2736,,,,7,0.153216,0.142272,0.125856,0.112176,0.09576,0.076608,0.057456,,B7,0.057456,0.2505
2023-02-03,0.271,0.2742,0.2651,0.2671,high,False,,,,,,,,0.2742,,,,7,0.153552,0.142584,0.126132,0.112422,0.09597,0.076776,0.057582,,B7,0.057582,0.2651
2023-02-04,0.2671,0.27,0.2507,0.257,high,False,,,,,,,,0.2742,,,,7,0.153552,0.142584,0.126132,0.112422,0.09597,0.076776,0.057582,,B7,0.057582,0.2507
2023-02-05,0.257,0.2635,0.2535,0.2546,high,False,,,,,,,,0.2742,,,,7,0.153552,0.142584,0.126132,0.112422,0.09597,0.076776,0.057582,,B7,0.057582,0.2535
