date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,13.068,13.38,12.34,12.445,high,False,,,,,,,,13.38,,,,7,7.4928,6.9576,6.1548,5.4858,4.683,3.7464,2.8098,,B7,2.8098,12.34
2023-01-24,12.444,13.762,12.137,13.561,high,False,,,,,,,,13.762,,,,7,7.70672,7.15624,6.33052,5.64242,4.8167,3.85336,2.89002,,B7,2.89002,12.137
2023-01-25,13.562,13.721,12.8,13.111,high,False,,,,,,,,13.762,,,,7,7.70672,7.15624,6.33052,5.64242,4.8167,3.85336,2.89002,,B7,2.89002,12.8
2023-01-26,13.107,13.633,12.611,13.532,high,False,,,,,,,,13.762,,,,7,7.70672,7.15624,6.33052,5.64242,4.8167,3.85336,2.89002,,B7,2.89002,12.611
2023-01-27,13.53,13.898,13.037,13.22,high,False,,,,,,,,13.898,,,,7,7.78288,7.22696,6.39308,5.69818,4.8643,3.89144,2.91858,,B7,2.91858,13.037
2023-01-28,13.22,13.96,13.019,13.803,high,False,,,,,,,,13.96,,,,7,7.8176,7.2592,6.4216,5.7236,4.886,3.9088,2.9316,,B7,2.9316,13.019
2023-01-29,13.805,14.0,12.75,13.073,high,False,,,,,,,,14.0,,,,7,7.84,7.28,6.44,5.74,4.9,3.92,2.94,,B7,2.94,12.75
2023-01-30,13.068,13.489,13.022,13.362,high,False,,,,,,,,14.0,,,,7,7.84,7.28,6.44,5.74,4.9,3.92,2.94,,B7,2.94,13.022
2023-01-31,13.363,14.94,13.271,14.925,high,False,,,,,,,,14.94,,,,7,8.3664,7.7688,6.8724,6.1254,5.229,4.1832,3.1374,,B7,3.1374,13.271
2023-02-01,14.928,15.23,14.231,14.407,high,False,,,,,,,,15.23,,,,7,8.5288,7.9196,7.0058,6.2443,5.3305,4.2644,3.1983,,B7,3.1983,14.231
2023-02-02,14.409,15.45,14.356,14.992,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.356
2023-02-03,14.991,15.086,14.573,14.665,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.573
2023-02-04,14.663,14.808,14.071,14.736,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.071
2023-02-05,14.739,14.895,14.0,14.143,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.0
2023-02-06,14.139,15.071,14.1,14.957,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.1
2023-02-07,14.952,15.376,14.57,15.151,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,14.57
2023-02-08,15.153,15.352,13.18,13.53,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,13.18
2023-02-09,13.529,14.0,13.414,13.705,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,13.414
2023-02-10,13.695,13.795,13.416,13.749,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,13.416
2023-02-11,13.748,13.948,13.376,13.539,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,13.376
2023-02-12,13.543,13.545,12.667,13.129,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,12.667
2023-02-13,13.13,13.578,12.706,13.399,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,12.706
2023-02-14,13.399,14.3,13.227,14.297,high,False,,,,,,,,15.45,,,,7,8.652,8.034,7.107,6.3345,5.4075,4.326,3.2445,,B7,3.2445,13.227
