date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,0.2295,0.284,0.2237,0.2793,high,False,,,,,,,,0.284,,,,7,0.15904,0.14768,0.13064,0.11644,0.0994,0.07952,0.05964,,B7,0.05964,0.2237
2023-01-17,0.279,0.2978,0.2377,0.2487,high,False,,,,,,,,0.2978,,,,7,0.166768,0.154856,0.136988,0.122098,0.10423,0.083384,0.062538,,B7,0.062538,0.2377
2023-01-18,0.249,0.2746,0.2439,0.2722,high,False,,,,,,,,0.2978,,,,7,0.166768,0.154856,0.136988,0.122098,0.10423,0.083384,0.062538,,B7,0.062538,0.2439
2023-01-19,0.2721,0.2942,0.2587,0.2828,high,False,,,,,,,,0.2978,,,,7,0.166768,0.154856,0.136988,0.122098,0.10423,0.083384,0.062538,,B7,0.062538,0.2587
2023-01-20,0.2827,0.3071,0.2661,0.268,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2661
2023-01-21,0.2679,0.2838,0.2565,0.2657,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2565
2023-01-22,0.2657,0.3071,0.2637,0.2849,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2637
2023-01-23,0.2849,0.2934,0.2567,0.266,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2567
2023-01-24,0.2658,0.2796,0.2524,0.2701,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2524
2023-01-25,0.2703,0.2801,0.2598,0.2635,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2598
2023-01-26,0.2633,0.3013,0.2562,0.2807,high,False,,,,,,,,0.3071,,,,7,0.171976,0.159692,0.141266,0.125911,0.107485,0.085988,0.064491,,B7,0.064491,0.2562
2023-01-27,0.2808,0.3119,0.28,0.2946,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.28
2023-01-28,0.2944,0.2969,0.2833,0.2891,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.2833
2023-01-29,0.2891,0.2892,0.2588,0.2659,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.2588
2023-01-30,0.266,0.2866,0.2583,0.275,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.2583
2023-01-31,0.275,0.3,0.2575,0.2886,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.2575
2023-02-01,0.2886,0.3011,0.2721,0.2748,high,False,,,,,,,,0.3119,,,,7,0.174664,0.162188,0.143474,0.127879,0.109165,0.087332,0.065499,,B7,0.065499,0.2721
2023-02-02,0.2748,0.3373,0.2679,0.3301,high,False,,,,,,,,0.3373,,,,7,0.188888,0.175396,0.155158,0.138293,0.118055,0.094444,0.070833,,B7,0.070833,0.2679
2023-02-03,0.3301,0.3507,0.3143,0.3317,high,False,,,,,,,,0.3507,,,,7,0.196392,0.182364,0.161322,0.143787,0.122745,0.098196,0.073647,,B7,0.073647,0.3143
2023-02-04,0.3317,0.4624,0.327,0.4498,high,False,,,,,,,,0.4624,,,,7,0.258944,0.240448,0.212704,0.189584,0.16184,0.129472,0.097104,,B7,0.097104,0.327
2023-02-05,0.4494,0.4755,0.4063,0.4329,high,False,,,,,,,,0.4755,,,,7,0.26628,0.24726,0.21873,0.194955,0.166425,0.13314,0.099855,,B7,0.099855,0.4063
2023-02-06,0.433,0.5944,0.433,0.5404,high,False,,,,,,,,0.5944,,,,7,0.332864,0.309088,0.273424,0.243704,0.20804,0.166432,0.124824,,B7,0.124824,0.433
