date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,0.713,0.723,0.64,0.645,high,False,,,,,,,,0.723,,,,7,0.40488,0.37596,0.33258,0.29643,0.25305,0.20244,0.15183,,B7,0.15183,0.64
2023-01-24,0.645,0.768,0.631,0.712,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.631
2023-01-25,0.713,0.733,0.662,0.677,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.662
2023-01-26,0.678,0.688,0.649,0.677,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.649
2023-01-27,0.676,0.698,0.644,0.657,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.644
2023-01-28,0.657,0.686,0.644,0.673,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.644
2023-01-29,0.672,0.728,0.629,0.648,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.629
2023-01-30,0.649,0.755,0.639,0.752,high,False,,,,,,,,0.768,,,,7,0.43008,0.39936,0.35328,0.31488,0.2688,0.21504,0.16128,,B7,0.16128,0.639
2023-01-31,0.751,0.824,0.691,0.806,high,False,,,,,,,,0.824,,,,7,0.46144,0.42848,0.37904,0.33784,0.2884,0.23072,0.17304,,B7,0.17304,0.691
2023-02-01,0.806,0.899,0.797,0.866,high,False,,,,,,,,0.899,,,,7,0.50344,0.46748,0.41354,0.36859,0.31465,0.25172,0.18879,,B7,0.18879,0.797
2023-02-02,0.866,1.03,0.844,0.958,high,False,,,,,,,,1.03,,,,7,0.5768,0.5356,0.4738,0.4223,0.3605,0.2884,0.2163,,B7,0.2163,0.844
2023-02-03,0.959,0.98,0.901,0.911,high,False,,,,,,,,1.03,,,,7,0.5768,0.5356,0.4738,0.4223,0.3605,0.2884,0.2163,,B7,0.2163,0.901
2023-02-04,0.911,0.935,0.831,0.893,high,False,,,,,,,,1.03,,,,7,0.5768,0.5356,0.4738,0.4223,0.3605,0.2884,0.2163,,B7,0.2163,0.831
2023-02-05,0.893,0.932,0.852,0.875,high,False,,,,,,,,1.03,,,,7,0.5768,0.5356,0.4738,0.4223,0.3605,0.2884,0.2163,,B7,0.2163,0.852
2023-02-06,0.876,1.07,0.875,1.054,high,False,,,,,,,,1.07,,,,7,0.5992,0.5564,0.4922,0.4387,0.3745,0.2996,0.2247,,B7,0.2247,0.875
2023-02-07,1.054,1.208,0.986,1.015,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.986
2023-02-08,1.014,1.122,0.838,0.883,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.838
2023-02-09,0.883,1.071,0.863,0.96,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.863
2023-02-10,0.959,1.119,0.92,1.078,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.92
2023-02-11,1.077,1.137,1.005,1.028,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,1.005
2023-02-12,1.028,1.037,0.926,0.967,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.926
2023-02-13,0.967,1.177,0.925,1.134,high,False,,,,,,,,1.208,,,,7,0.67648,0.62816,0.55568,0.49528,0.4228,0.33824,0.25368,,B7,0.25368,0.925
2023-02-14,1.134,1.29,1.083,1.247,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,1.083
2023-02-15,1.247,1.27,1.086,1.092,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,1.086
2023-02-16,1.092,1.161,1.06,1.09,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,1.06
2023-02-17,1.09,1.135,1.039,1.051,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,1.039
2023-02-18,1.051,1.103,1.009,1.018,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,1.009
2023-02-19,1.018,1.091,0.986,1.043,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,0.986
2023-02-20,1.044,1.059,0.955,1.02,high,False,,,,,,,,1.29,,,,7,0.7224,0.6708,0.5934,0.5289,0.4515,0.3612,0.2709,,B7,0.2709,0.955
