date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,7.015,7.2,6.525,6.661,high,False,,,,,,,,7.2,,,,7,4.032,3.744,3.312,2.952,2.52,2.016,1.512,,B7,1.512,6.525
2023-01-24,6.661,7.099,6.51,6.954,high,False,,,,,,,,7.2,,,,7,4.032,3.744,3.312,2.952,2.52,2.016,1.512,,B7,1.512,6.51
2023-01-25,6.955,7.316,6.824,7.169,high,False,,,,,,,,7.316,,,,7,4.09696,3.80432,3.36536,2.99956,2.5606,2.04848,1.53636,,B7,1.53636,6.824
2023-01-26,7.17,7.496,6.922,7.384,high,False,,,,,,,,7.496,,,,7,4.19776,3.89792,3.44816,3.07336,2.6236,2.09888,1.57416,,B7,1.57416,6.922
2023-01-27,7.384,7.509,7.12,7.211,high,False,,,,,,,,7.509,,,,7,4.20504,3.90468,3.45414,3.07869,2.62815,2.10252,1.57689,,B7,1.57689,7.12
2023-01-28,7.21,7.518,7.144,7.372,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,7.144
2023-01-29,7.373,7.439,6.748,6.914,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.748
2023-01-30,6.915,7.074,6.855,6.952,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.855
2023-01-31,6.952,7.277,6.67,7.214,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.67
2023-02-01,7.214,7.484,7.035,7.099,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,7.035
2023-02-02,7.1,7.338,7.012,7.294,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,7.012
2023-02-03,7.293,7.364,7.126,7.237,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,7.126
2023-02-04,7.24,7.252,6.861,6.985,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.861
2023-02-05,6.985,7.063,6.765,6.832,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.765
2023-02-06,6.831,7.214,6.814,7.197,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.814
2023-02-07,7.199,7.3,6.952,7.136,high,False,,,,,,,,7.518,,,,7,4.21008,3.90936,3.45828,3.08238,2.6313,2.10504,1.57878,,B7,1.57878,6.952
2023-02-08,7.137,7.817,6.818,6.984,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.818
2023-02-09,6.983,7.12,6.777,6.89,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.777
2023-02-10,6.889,7.036,6.853,7.003,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.853
2023-02-11,7.003,7.09,6.685,6.808,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.685
2023-02-12,6.81,6.847,6.4,6.669,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.4
2023-02-13,6.669,6.832,6.527,6.808,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.527
2023-02-14,6.808,7.31,6.726,7.281,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.726
2023-02-15,7.28,7.495,6.997,7.011,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.997
2023-02-16,7.011,7.711,6.972,7.65,high,False,,,,,,,,7.817,,,,7,4.37752,4.06484,3.59582,3.20497,2.73595,2.18876,1.64157,,B7,1.64157,6.972
2023-02-17,7.649,8.256,7.495,7.989,high,False,,,,,,,,8.256,,,,7,4.62336,4.29312,3.79776,3.38496,2.8896,2.31168,1.73376,,B7,1.73376,7.495
2023-02-18,7.986,8.289,7.82,8.014,high,False,,,,,,,,8.289,,,,7,4.64184,4.31028,3.81294,3.39849,2.90115,2.32092,1.74069,,B7,1.74069,7.82
2023-02-19,8.01,8.4,7.721,8.017,high,False,,,,,,,,8.4,,,,7,4.704,4.368,3.864,3.444,2.94,2.352,1.764,,B7,1.764,7.721
2023-02-20,8.019,8.077,7.505,7.64,high,False,,,,,,,,8.4,,,,7,4.704,4.368,3.864,3.444,2.94,2.352,1.764,,B7,1.764,7.505
2023-02-21,7.641,7.752,7.294,7.717,high,False,,,,,,,,8.4,,,,7,4.704,4.368,3.864,3.444,2.94,2.352,1.764,,B7,1.764,7.294
2023-02-22,7.717,8.21,7.67,7.935,high,False,,,,,,,,8.4,,,,7,4.704,4.368,3.864,3.444,2.94,2.352,1.764,,B7,1.764,7.67
2023-02-23,7.937,8.149,7.22,7.466,high,False,,,,,,,,8.4,,,,7,4.704,4.368,3.864,3.444,2.94,2.352,1.764,,B7,1.764,7.22
