date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2024-04-11,623.6,646.3,500.0,537.5,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,500.0
2024-04-12,537.4,571.5,400.0,509.2,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,400.0
2024-04-13,509.2,623.9,470.1,586.5,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,470.1
2024-04-14,586.5,594.4,519.0,524.9,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,519.0
2024-04-15,524.8,535.2,444.5,500.8,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,444.5
2024-04-16,500.9,511.9,436.3,455.0,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,436.3
2024-04-17,455.0,475.0,434.6,466.2,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,434.6
2024-04-18,466.6,477.5,426.3,442.0,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,426.3
2024-04-19,441.8,493.1,433.4,485.1,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,433.4
2024-04-20,485.2,489.7,457.2,474.8,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,457.2
2024-04-21,474.7,531.1,466.0,520.9,high,False,,,,,,,,646.3,,,,7,361.928,336.076,297.298,264.983,226.205,180.964,135.723,,B7,135.723,466.0
