date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2024-08-08,6.217,6.832,6.081,6.619,high,False,,,,,,,,6.832,,,,7,3.82592,3.55264,3.14272,2.80112,2.3912,1.91296,1.43472,,B7,1.43472,6.081
2024-08-09,6.619,6.846,6.599,6.673,high,False,,,,,,,,6.846,,,,7,3.83376,3.55992,3.14916,2.80686,2.3961,1.91688,1.43766,,B7,1.43766,6.599
2024-08-10,6.674,6.725,6.154,6.21,high,False,,,,,,,,6.846,,,,7,3.83376,3.55992,3.14916,2.80686,2.3961,1.91688,1.43766,,B7,1.43766,6.154
2024-08-11,6.21,6.63,6.057,6.27,high,False,,,,,,,,6.846,,,,7,3.83376,3.55992,3.14916,2.80686,2.3961,1.91688,1.43766,,B7,1.43766,6.057
2024-08-12,6.271,6.531,6.186,6.456,high,False,,,,,,,,6.846,,,,7,3.83376,3.55992,3.14916,2.80686,2.3961,1.91688,1.43766,,B7,1.43766,6.186
2024-08-13,6.455,7.269,6.392,6.89,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.392
2024-08-14,6.889,6.914,6.43,6.597,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.43
2024-08-15,6.598,6.886,6.376,6.538,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.376
2024-08-16,6.537,6.578,6.382,6.438,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.382
2024-08-17,6.439,7.104,6.409,6.887,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.409
2024-08-18,6.887,7.068,6.709,6.832,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.709
2024-08-19,6.832,6.932,6.592,6.664,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.592
2024-08-20,6.665,6.772,6.479,6.496,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.479
2024-08-21,6.496,6.6,6.43,6.504,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.43
2024-08-22,6.504,6.814,6.493,6.7,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,6.493
2024-08-23,6.701,6.878,5.452,5.927,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,5.452
2024-08-24,5.926,5.994,5.245,5.77,high,False,,,,,,,,7.269,,,,7,4.07064,3.77988,3.34374,2.98029,2.54415,2.03532,1.52649,,B7,1.52649,5.245
