date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2021-05-27,252.81,267.22,218.99,262.1,high,False,,,,,,,,267.22,,,,7,149.6432,138.9544,122.9212,109.5602,93.527,74.8216,56.1162,,B7,56.1162,218.99
2021-05-28,262.3,297.4,229.15,243.16,high,False,,,,,,,,297.4,,,,7,166.544,154.648,136.804,121.934,104.09,83.272,62.454,,B7,62.454,229.15
2021-05-29,243.13,268.45,226.02,261.9,high,False,,,,,,,,297.4,,,,7,166.544,154.648,136.804,121.934,104.09,83.272,62.454,,B7,62.454,226.02
2021-05-30,261.88,275.86,242.45,272.21,high,False,,,,,,,,297.4,,,,7,166.544,154.648,136.804,121.934,104.09,83.272,62.454,,B7,62.454,242.45
2021-05-31,272.11,276.5,252.5,266.37,high,False,,,,,,,,297.4,,,,7,166.544,154.648,136.804,121.934,104.09,83.272,62.454,,B7,62.454,252.5
2021-06-01,266.4,295.0,262.5,294.63,high,False,,,,,,,,297.4,,,,7,166.544,154.648,136.804,121.934,104.09,83.272,62.454,,B7,62.454,262.5
2021-06-02,294.63,316.23,285.67,309.57,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,285.67
2021-06-03,309.62,312.24,267.65,287.36,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,267.65
2021-06-04,287.41,295.14,256.91,264.01,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,256.91
2021-06-05,263.91,276.9,262.34,272.5,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,262.34
2021-06-06,272.5,282.16,247.0,249.02,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,247.0
2021-06-07,248.96,255.73,222.27,253.61,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,222.27
2021-06-08,253.59,275.31,237.22,274.87,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,237.22
2021-06-09,274.77,283.0,254.3,255.6,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,254.3
2021-06-10,255.62,258.61,240.33,242.89,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,240.33
2021-06-11,242.9,251.8,232.0,243.04,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,232.0
2021-06-12,243.06,262.29,237.45,260.75,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,237.45
2021-06-13,260.79,275.59,258.44,275.57,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,258.44
2021-06-14,275.51,285.5,272.1,278.15,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,272.1
2021-06-15,278.14,288.66,259.35,262.94,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,259.35
2021-06-16,262.9,281.95,261.77,277.12,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,261.77
2021-06-17,277.17,280.0,260.88,265.77,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,260.88
2021-06-18,265.88,282.15,263.07,267.9,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,263.07
2021-06-19,267.96,271.36,247.66,264.53,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,247.66
2021-06-20,264.56,265.71,200.17,203.05,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,200.17
2021-06-21,202.98,225.94,180.07,201.81,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,180.07
2021-06-22,201.81,224.14,192.59,218.51,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,192.59
2021-06-23,218.66,227.26,204.25,225.74,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,204.25
2021-06-24,225.76,227.76,192.64,194.95,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,192.64
2021-06-25,194.85,202.95,185.13,202.84,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,185.13
2021-06-26,202.83,212.05,195.51,211.92,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,195.51
2021-06-27,211.92,217.59,205.91,213.17,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,205.91
2021-06-28,213.25,227.04,212.17,217.89,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,212.17
2021-06-29,217.81,223.84,208.81,223.06,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,208.81
2021-06-30,223.09,223.37,203.18,205.44,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,203.18
2021-07-01,205.52,211.86,199.3,211.35,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,199.3
2021-07-02,211.35,216.35,206.7,214.86,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,206.7
2021-07-03,214.83,225.3,212.88,219.92,high,False,,,,,,,,316.23,,,,7,177.0888,164.4396,145.4658,129.6543,110.6805,88.5444,66.4083,,B7,66.4083,212.88
