date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-10,0.03423,0.03573,0.03399,0.0342,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03399
2020-10-11,0.03433,0.03541,0.03364,0.03408,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03364
2020-10-12,0.03412,0.03487,0.03301,0.03405,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03301
2020-10-13,0.03405,0.03568,0.0336,0.03403,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.0336
2020-10-14,0.03392,0.03502,0.03376,0.03475,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03376
2020-10-15,0.03484,0.03491,0.03318,0.03364,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03318
2020-10-16,0.03354,0.03381,0.03088,0.03134,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03088
2020-10-17,0.03134,0.03175,0.03083,0.03126,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03083
2020-10-18,0.03129,0.0316,0.03108,0.0316,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03108
2020-10-19,0.0316,0.03185,0.0306,0.03171,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.0306
2020-10-20,0.0316,0.03182,0.03,0.03034,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03
2020-10-21,0.03022,0.0321,0.03022,0.03119,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03022
2020-10-22,0.03119,0.035,0.03084,0.03224,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03084
2020-10-23,0.03225,0.03359,0.03162,0.03301,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03162
2020-10-24,0.033,0.03388,0.03242,0.03261,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03242
2020-10-25,0.03273,0.03361,0.03185,0.03229,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03185
2020-10-26,0.0323,0.03267,0.03039,0.03065,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.03039
2020-10-27,0.03064,0.03145,0.0304,0.03117,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.0304
2020-10-28,0.03117,0.03145,0.0296,0.03003,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.0296
2020-10-29,0.03003,0.03122,0.02901,0.0296,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.02901
2020-10-30,0.02953,0.0299,0.02851,0.02931,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.02851
2020-10-31,0.02921,0.02998,0.029,0.02948,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.029
2020-11-01,0.02935,0.02989,0.0288,0.02949,high,False,,,,,,,,0.03679,,,,7,0.0206024,0.0191308,0.0169234,0.0150839,0.0128765,0.0103012,0.0077259,,B7,0.0077259,0.0288
