date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-10,0.25293,0.26071,0.25265,0.25402,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25265
2020-10-11,0.25401,0.25842,0.25321,0.25544,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25321
2020-10-12,0.25545,0.25826,0.24732,0.25603,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24732
2020-10-13,0.25602,0.25997,0.25267,0.2565,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25267
2020-10-14,0.25658,0.2584,0.24593,0.24906,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24593
2020-10-15,0.24906,0.25014,0.24287,0.24596,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24287
2020-10-16,0.24584,0.24787,0.2375,0.24011,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2375
2020-10-17,0.24014,0.24329,0.23853,0.24057,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23853
2020-10-18,0.24059,0.24362,0.24005,0.24221,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24005
2020-10-19,0.2422,0.24945,0.24011,0.24558,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24011
2020-10-20,0.24557,0.25039,0.2411,0.24322,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2411
2020-10-21,0.24324,0.25555,0.24249,0.25088,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24249
2020-10-22,0.2508,0.26357,0.25077,0.25709,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25077
2020-10-23,0.25703,0.25921,0.25005,0.25471,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25005
2020-10-24,0.25472,0.25763,0.25253,0.2562,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25253
2020-10-25,0.2562,0.25714,0.25105,0.25313,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25105
2020-10-26,0.25313,0.2591,0.24341,0.2481,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24341
2020-10-27,0.24811,0.25398,0.24743,0.25273,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24743
2020-10-28,0.25273,0.25666,0.2444,0.2454,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2444
2020-10-29,0.2454,0.24702,0.2396,0.24239,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2396
2020-10-30,0.24232,0.24402,0.23057,0.23905,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23057
2020-10-31,0.23906,0.24351,0.23743,0.23968,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23743
2020-11-01,0.2396,0.24138,0.23648,0.23999,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23648
2020-11-02,0.23999,0.2452,0.23264,0.23523,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23264
2020-11-03,0.23526,0.24425,0.22772,0.2396,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.22772
2020-11-04,0.2396,0.24045,0.23213,0.23758,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23213
2020-11-05,0.23759,0.24743,0.23712,0.24561,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.23712
2020-11-06,0.24569,0.2614,0.24508,0.25863,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24508
2020-11-07,0.2586,0.26733,0.24419,0.2491,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24419
2020-11-08,0.24913,0.25701,0.24724,0.25374,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24724
2020-11-09,0.25368,0.2562,0.24557,0.25059,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24557
2020-11-10,0.25058,0.265,0.24806,0.2538,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.24806
2020-11-11,0.25379,0.26,0.25209,0.25581,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.25209
2020-11-12,0.25581,0.25818,0.2525,0.2549,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2525
2020-11-13,0.2549,0.2659,0.2535,0.2659,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.2535
2020-11-14,0.26587,0.2777,0.26128,0.26824,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.26128
2020-11-15,0.26829,0.27677,0.26405,0.26954,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.26405
2020-11-16,0.26957,0.28998,0.26737,0.28813,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.26737
2020-11-17,0.28814,0.305,0.28722,0.30247,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.28722
2020-11-18,0.30247,0.30818,0.28055,0.29335,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.28055
2020-11-19,0.29333,0.30659,0.284,0.30358,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.284
2020-11-20,0.30356,0.33091,0.29679,0.32991,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.29679
2020-11-21,0.32993,0.4695,0.32929,0.46283,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.32929
2020-11-22,0.46283,0.49659,0.40155,0.44611,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.40155
2020-11-23,0.44592,0.61984,0.43232,0.61579,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.43232
2020-11-24,0.61562,0.78068,0.56777,0.694,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.56777
2020-11-25,0.69399,0.725,0.58405,0.63022,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.58405
2020-11-26,0.63024,0.652,0.456,0.53654,high,False,,,,,,,,0.25665,,,,7,0.143724,0.133458,0.118059,0.1052265,0.0898275,0.071862,0.0538965,,B7,0.0538965,0.456
