date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-09,61.98,65.05,60.2,63.52,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,60.2
2020-10-10,63.5,67.77,63.45,66.79,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,63.45
2020-10-11,66.76,73.6,66.34,72.46,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,66.34
2020-10-12,72.46,75.75,70.23,72.93,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,70.23
2020-10-13,72.9,73.37,68.33,70.07,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,68.33
2020-10-14,70.09,71.39,67.19,68.75,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,67.19
2020-10-15,68.77,68.79,65.37,68.24,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,65.37
2020-10-16,68.24,69.83,60.83,62.59,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,60.83
2020-10-17,62.57,63.47,60.92,62.99,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,60.92
2020-10-18,62.97,64.5,62.5,64.42,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,62.5
2020-10-19,64.44,65.6,62.0,64.08,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,62.0
2020-10-20,64.06,65.0,56.5,57.85,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,56.5
2020-10-21,57.84,64.76,57.5,62.72,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,57.5
2020-10-22,62.67,67.11,62.6,65.54,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,62.6
2020-10-23,65.52,65.54,60.68,63.26,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,60.68
2020-10-24,63.23,65.65,61.59,64.14,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,61.59
2020-10-25,64.16,65.03,61.92,62.77,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,61.92
2020-10-26,62.68,63.82,58.45,60.2,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,58.45
2020-10-27,60.2,62.1,59.86,61.2,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,59.86
2020-10-28,61.15,61.58,55.15,56.8,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,55.15
2020-10-29,56.79,57.88,54.53,56.87,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,54.53
2020-10-30,56.84,59.78,54.03,58.21,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,54.03
2020-10-31,58.21,59.38,57.31,58.16,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,57.31
2020-11-01,58.16,58.7,57.15,58.17,high,False,,,,,,,,63.39,,,,7,35.4984,32.9628,29.1594,25.9899,22.1865,17.7492,13.3119,,B7,13.3119,57.15
