date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-03-23,1.3218,1.5675,1.1717,1.2727,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1717
2023-03-24,1.2726,1.315,1.18,1.2178,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.18
2023-03-25,1.2179,1.3499,1.2021,1.2818,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.2021
2023-03-26,1.2818,1.3259,1.116,1.1657,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.116
2023-03-27,1.1658,1.224,1.11,1.2204,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.11
2023-03-28,1.2202,1.2767,1.1957,1.2257,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1957
2023-03-29,1.2257,1.43,1.2234,1.3796,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.2234
2023-03-30,1.3795,1.445,1.3274,1.3897,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.3274
2023-03-31,1.3897,1.4028,1.26,1.2931,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.26
2023-04-01,1.293,1.2985,1.1329,1.2016,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1329
2023-04-02,1.2017,1.2279,1.1,1.153,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1
2023-04-03,1.1527,1.2687,1.1479,1.2345,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1479
2023-04-04,1.2345,1.2905,1.2046,1.2425,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.2046
2023-04-05,1.2419,1.2444,1.18,1.2149,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.18
2023-04-06,1.2151,1.2469,1.1813,1.197,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1813
2023-04-07,1.1969,1.21,1.1523,1.1618,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1523
2023-04-08,1.1618,1.2,1.1431,1.1815,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1431
2023-04-09,1.1815,1.2539,1.1625,1.2423,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1625
2023-04-10,1.2423,1.259,1.2032,1.2164,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.2032
2023-04-11,1.2162,1.2193,1.1528,1.1934,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1528
2023-04-12,1.1935,1.377,1.1777,1.369,high,False,,,,,,,,1.5675,,,,7,0.8778,0.8151,0.72105,0.642675,0.548625,0.4389,0.329175,,B7,0.329175,1.1777
2023-04-13,1.3689,1.745,1.368,1.6985,high,False,,,,,,,,1.745,,,,7,0.9772,0.9074,0.8027,0.71545,0.61075,0.4886,0.36645,,B7,0.36645,1.368
2023-04-14,1.6982,1.744,1.595,1.6531,high,False,,,,,,,,1.745,,,,7,0.9772,0.9074,0.8027,0.71545,0.61075,0.4886,0.36645,,B7,0.36645,1.595
2023-04-15,1.6531,1.7228,1.572,1.6957,high,False,,,,,,,,1.745,,,,7,0.9772,0.9074,0.8027,0.71545,0.61075,0.4886,0.36645,,B7,0.36645,1.572
2023-04-16,1.6957,1.6993,1.5819,1.6091,high,False,,,,,,,,1.745,,,,7,0.9772,0.9074,0.8027,0.71545,0.61075,0.4886,0.36645,,B7,0.36645,1.5819
2023-04-17,1.6093,1.82,1.582,1.6731,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.582
2023-04-18,1.6726,1.6966,1.4543,1.4888,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.4543
2023-04-19,1.4886,1.545,1.4036,1.442,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.4036
2023-04-20,1.4419,1.5036,1.41,1.4719,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.41
2023-04-21,1.4717,1.5003,1.42,1.4652,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.42
2023-04-22,1.4652,1.4652,1.3,1.3405,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.3
2023-04-23,1.3405,1.3689,1.28,1.3385,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.28
2023-04-24,1.3382,1.3873,1.2933,1.3794,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.2933
2023-04-25,1.3794,1.5052,1.32,1.384,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.32
2023-04-26,1.3841,1.4544,1.37,1.4232,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.37
2023-04-27,1.4232,1.4439,1.36,1.3799,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.36
2023-04-28,1.3801,1.3948,1.33,1.3675,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.33
2023-04-29,1.3675,1.4254,1.3464,1.3683,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.3464
2023-04-30,1.3685,1.3908,1.288,1.3187,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.288
2023-05-01,1.3187,1.3595,1.3073,1.3486,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.3073
2023-05-02,1.3486,1.3638,1.2954,1.3428,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.2954
2023-05-03,1.3428,1.3652,1.3073,1.3183,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.3073
2023-05-04,1.3184,1.3667,1.29,1.3562,high,False,,,,,,,,1.82,,,,7,1.0192,0.9464,0.8372,0.7462,0.637,0.5096,0.3822,,B7,0.3822,1.29
