date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,5.812,6.21,5.691,5.956,high,False,,,,,,,,6.21,,,,7,3.4776,3.2292,2.8566,2.5461,2.1735,1.7388,1.3041,,B7,1.3041,5.691
2023-01-17,5.957,6.221,5.564,5.653,high,False,,,,,,,,6.221,,,,7,3.48376,3.23492,2.86166,2.55061,2.17735,1.74188,1.30641,,B7,1.30641,5.564
2023-01-18,5.648,5.848,5.643,5.802,high,False,,,,,,,,6.221,,,,7,3.48376,3.23492,2.86166,2.55061,2.17735,1.74188,1.30641,,B7,1.30641,5.643
2023-01-19,5.802,6.295,5.752,6.247,high,False,,,,,,,,6.295,,,,7,3.5252,3.2734,2.8957,2.58095,2.20325,1.7626,1.32195,,B7,1.32195,5.752
2023-01-20,6.249,6.464,6.007,6.237,high,False,,,,,,,,6.464,,,,7,3.61984,3.36128,2.97344,2.65024,2.2624,1.80992,1.35744,,B7,1.35744,6.007
2023-01-21,6.237,6.457,6.085,6.207,high,False,,,,,,,,6.464,,,,7,3.61984,3.36128,2.97344,2.65024,2.2624,1.80992,1.35744,,B7,1.35744,6.085
2023-01-22,6.207,6.84,6.198,6.56,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.198
2023-01-23,6.56,6.708,6.117,6.191,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.117
2023-01-24,6.191,6.563,6.01,6.399,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.01
2023-01-25,6.4,6.563,6.301,6.472,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.301
2023-01-26,6.472,6.623,6.27,6.585,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.27
2023-01-27,6.585,6.664,6.321,6.397,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.321
2023-01-28,6.396,6.7,6.327,6.611,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.327
2023-01-29,6.612,6.65,6.02,6.19,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.02
2023-01-30,6.19,6.33,6.142,6.26,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.142
2023-01-31,6.26,6.491,6.027,6.467,high,False,,,,,,,,6.84,,,,7,3.8304,3.5568,3.1464,2.8044,2.394,1.9152,1.4364,,B7,1.4364,6.027
2023-02-01,6.467,6.917,6.451,6.543,high,False,,,,,,,,6.917,,,,7,3.87352,3.59684,3.18182,2.83597,2.42095,1.93676,1.45257,,B7,1.45257,6.451
2023-02-02,6.543,7.126,6.504,7.008,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.504
2023-02-03,7.008,7.075,6.818,6.873,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.818
2023-02-04,6.872,6.895,6.513,6.637,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.513
2023-02-05,6.638,6.789,6.401,6.494,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.401
2023-02-06,6.494,6.949,6.473,6.941,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.473
2023-02-07,6.94,7.02,6.615,6.757,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.615
2023-02-08,6.757,6.976,6.088,6.235,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.088
2023-02-09,6.235,6.308,6.12,6.186,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.12
2023-02-10,6.184,6.293,6.158,6.278,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.158
2023-02-11,6.278,6.387,6.074,6.181,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.074
2023-02-12,6.18,6.259,5.878,6.143,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,5.878
2023-02-13,6.141,6.264,5.95,6.227,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,5.95
2023-02-14,6.228,6.618,6.16,6.612,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.16
2023-02-15,6.612,6.949,6.318,6.327,high,False,,,,,,,,7.126,,,,7,3.99056,3.70552,3.27796,2.92166,2.4941,1.99528,1.49646,,B7,1.49646,6.318
2023-02-16,6.327,7.418,6.291,7.284,high,False,,,,,,,,7.418,,,,7,4.15408,3.85736,3.41228,3.04138,2.5963,2.07704,1.55778,,B7,1.55778,6.291
2023-02-17,7.284,7.375,7.105,7.229,high,False,,,,,,,,7.418,,,,7,4.15408,3.85736,3.41228,3.04138,2.5963,2.07704,1.55778,,B7,1.55778,7.105
2023-02-18,7.23,7.9,7.185,7.438,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,7.185
2023-02-19,7.44,7.568,7.25,7.551,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,7.25
2023-02-20,7.551,7.575,7.117,7.251,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,7.117
2023-02-21,7.251,7.27,6.88,7.186,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.88
2023-02-22,7.186,7.384,7.015,7.093,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,7.015
2023-02-23,7.095,7.146,6.47,6.614,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.47
2023-02-24,6.614,6.649,6.342,6.544,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.342
2023-02-25,6.544,6.73,6.503,6.691,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.503
2023-02-26,6.692,6.785,6.489,6.579,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.489
2023-02-27,6.58,6.6,6.276,6.347,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.276
2023-02-28,6.349,6.598,6.306,6.535,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.306
2023-03-01,6.534,6.56,6.221,6.335,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.221
2023-03-02,6.335,6.338,5.792,6.037,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.792
2023-03-03,6.038,6.058,5.73,5.917,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.73
2023-03-04,5.917,6.066,5.89,5.978,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.89
2023-03-05,5.977,6.043,5.856,5.92,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.856
2023-03-06,5.922,6.019,5.74,5.847,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.74
2023-03-07,5.846,5.943,5.501,5.601,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.501
2023-03-08,5.6,5.803,5.25,5.385,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.25
2023-03-09,5.386,5.582,5.15,5.549,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.15
2023-03-10,5.548,5.678,5.223,5.463,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.223
2023-03-11,5.463,5.903,5.36,5.895,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.36
2023-03-12,5.894,6.143,5.706,6.1,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.706
2023-03-13,6.101,6.537,5.987,6.223,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.987
2023-03-14,6.22,6.377,5.777,5.874,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.777
2023-03-15,5.873,6.142,5.758,6.088,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,5.758
2023-03-16,6.087,6.631,6.026,6.618,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.026
2023-03-17,6.617,6.699,6.283,6.313,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.283
2023-03-18,6.314,6.601,6.312,6.451,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.312
2023-03-19,6.454,6.485,6.052,6.092,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.052
2023-03-20,6.091,6.458,6.0,6.363,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,,B7,1.659,6.0
