date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,21.86,22.58,21.61,21.84,high,False,,,,,,,,22.58,,,,7,12.6448,11.7416,10.3868,9.2578,7.903,6.3224,4.7418,,B7,4.7418,21.61
2023-01-17,21.83,22.53,20.02,20.36,high,False,,,,,,,,22.58,,,,7,12.6448,11.7416,10.3868,9.2578,7.903,6.3224,4.7418,,B7,4.7418,20.02
2023-01-18,20.35,20.81,20.3,20.73,high,False,,,,,,,,22.58,,,,7,12.6448,11.7416,10.3868,9.2578,7.903,6.3224,4.7418,,B7,4.7418,20.3
2023-01-19,20.74,22.66,20.52,22.46,high,False,,,,,,,,22.66,,,,7,12.6896,11.7832,10.4236,9.2906,7.931,6.3448,4.7586,,B7,4.7586,20.52
2023-01-20,22.44,22.9,21.62,21.8,high,False,,,,,,,,22.9,,,,7,12.824,11.908,10.534,9.389,8.015,6.412,4.809,,B7,4.809,21.62
2023-01-21,21.8,23.65,21.6,22.55,high,False,,,,,,,,23.65,,,,7,13.244,12.298,10.879,9.6965,8.2775,6.622,4.9665,,B7,4.9665,21.6
2023-01-22,22.55,23.9,22.14,22.79,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,22.14
2023-01-23,22.79,22.99,20.5,21.18,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,20.5
2023-01-24,21.17,22.41,20.56,21.84,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,20.56
2023-01-25,21.85,22.38,21.47,21.98,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,21.47
2023-01-26,21.99,22.26,21.21,22.02,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,21.21
2023-01-27,22.02,22.23,21.48,21.72,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,21.48
2023-01-28,21.71,22.85,21.56,22.75,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,21.56
2023-01-29,22.75,23.56,20.8,21.35,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,20.8
2023-01-30,21.34,21.97,21.21,21.69,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,21.21
2023-01-31,21.68,22.51,20.98,22.35,high,False,,,,,,,,23.9,,,,7,13.384,12.428,10.994,9.799,8.365,6.692,5.019,,B7,5.019,20.98
2023-02-01,22.36,24.17,21.89,22.42,high,False,,,,,,,,24.17,,,,7,13.5352,12.5684,11.1182,9.9097,8.4595,6.7676,5.0757,,B7,5.0757,21.89
2023-02-02,22.43,23.88,22.27,23.17,high,False,,,,,,,,24.17,,,,7,13.5352,12.5684,11.1182,9.9097,8.4595,6.7676,5.0757,,B7,5.0757,22.27
2023-02-03,23.17,24.95,23.05,23.81,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,23.05
2023-02-04,23.81,24.08,22.4,22.85,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,22.4
2023-02-05,22.85,23.07,21.89,22.13,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,21.89
2023-02-06,22.12,23.3,22.0,23.2,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,22.0
2023-02-07,23.2,23.38,22.1,22.64,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,22.1
2023-02-08,22.64,22.91,20.34,20.9,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,20.34
2023-02-09,20.9,21.4,20.72,20.97,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,20.72
2023-02-10,20.97,21.51,20.94,21.49,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,20.94
2023-02-11,21.5,21.64,20.72,21.06,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,20.72
2023-02-12,21.05,21.19,20.0,20.64,high,False,,,,,,,,24.95,,,,7,13.972,12.974,11.477,10.2295,8.7325,6.986,5.2395,,B7,5.2395,20.0
