date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-07-26,1.0008,1.0017,1.0004,1.0007,high,False,,,,,,,,1.0017,,,,7,0.560952,0.520884,0.460782,0.410697,0.350595,0.280476,0.210357,,B7,0.210357,1.0004
2023-07-27,1.0007,1.0021,1.0005,1.0005,high,False,,,,,,,,1.0021,,,,7,0.561176,0.521092,0.460966,0.410861,0.350735,0.280588,0.210441,,B7,0.210441,1.0005
2023-07-28,1.0005,1.0009,1.0005,1.0007,high,False,,,,,,,,1.0021,,,,7,0.561176,0.521092,0.460966,0.410861,0.350735,0.280588,0.210441,,B7,0.210441,1.0005
2023-07-29,1.0007,1.0009,1.0004,1.0008,high,False,,,,,,,,1.0021,,,,7,0.561176,0.521092,0.460966,0.410861,0.350735,0.280588,0.210441,,B7,0.210441,1.0004
2023-07-30,1.0008,1.0008,0.9996,1.0,high,False,,,,,,,,1.0021,,,,7,0.561176,0.521092,0.460966,0.410861,0.350735,0.280588,0.210441,,B7,0.210441,0.9996
2023-07-31,1.0,1.02,1.0,1.001,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0
2023-08-01,1.001,1.0018,1.0002,1.0005,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0002
2023-08-02,1.0005,1.0017,1.0004,1.0011,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0004
2023-08-03,1.0011,1.0017,1.0007,1.0013,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0007
2023-08-04,1.0013,1.0016,1.0008,1.0009,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0008
2023-08-05,1.001,1.0011,1.0003,1.0008,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0003
2023-08-06,1.0008,1.0014,1.0,1.0006,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0
2023-08-07,1.0006,1.0011,1.0002,1.0006,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0002
2023-08-08,1.0005,1.0008,1.0004,1.0005,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0004
2023-08-09,1.0005,1.0006,1.0002,1.0005,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0002
2023-08-10,1.0005,1.0007,1.0001,1.0005,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0001
2023-08-11,1.0006,1.0009,1.0001,1.0001,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,1.0001
2023-08-12,1.0001,1.0005,0.9996,0.9998,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,0.9996
2023-08-13,0.9997,1.0003,0.9989,0.9998,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,0.9989
2023-08-14,0.9997,1.0007,0.9995,1.0003,high,False,,,,,,,,1.02,,,,7,0.5712,0.5304,0.4692,0.4182,0.357,0.2856,0.2142,,B7,0.2142,0.9995
