date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2025-04-11,0.8939,0.9267,0.8644,0.9052,high,False,,,,,,,,0.9267,,,,7,0.518952,0.481884,0.426282,0.379947,0.324345,0.259476,0.194607,,B7,0.194607,0.8644
2025-04-12,0.9053,0.9274,0.8384,0.8476,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8384
2025-04-13,0.8476,0.9136,0.8449,0.8757,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8449
2025-04-14,0.8758,0.91,0.8278,0.8321,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8278
2025-04-15,0.832,0.8443,0.8022,0.8194,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8022
2025-04-16,0.8193,0.8516,0.8174,0.8291,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8174
2025-04-17,0.8292,0.8382,0.8218,0.8308,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8218
2025-04-18,0.8306,0.8586,0.8288,0.8549,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8288
2025-04-19,0.855,0.8628,0.8199,0.8382,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8199
2025-04-20,0.8382,0.8917,0.8357,0.8513,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8357
2025-04-21,0.851,0.9222,0.8365,0.9151,high,False,,,,,,,,0.9274,,,,7,0.519344,0.482248,0.426604,0.380234,0.32459,0.259672,0.194754,,B7,0.194754,0.8365
2025-04-22,0.9151,0.9532,0.9033,0.9154,high,False,,,,,,,,0.9532,,,,7,0.533792,0.495664,0.438472,0.390812,0.33362,0.266896,0.200172,,B7,0.200172,0.9033
2025-04-23,0.9154,1.05,0.8663,0.9792,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8663
2025-04-24,0.9791,1.0376,0.9429,0.9897,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9429
2025-04-25,0.99,1.05,0.9841,0.9946,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9841
2025-04-26,0.9947,1.0073,0.9349,0.9445,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9349
2025-04-27,0.9445,0.9962,0.9139,0.9733,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9139
2025-04-28,0.9734,0.9912,0.9184,0.9295,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9184
2025-04-29,0.9296,0.9434,0.8741,0.9073,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8741
2025-04-30,0.9073,0.9367,0.9028,0.914,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.9028
2025-05-01,0.9142,0.9279,0.8911,0.9222,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8911
2025-05-02,0.9221,0.9224,0.8681,0.8747,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8681
2025-05-03,0.8747,0.8876,0.8513,0.8587,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8513
2025-05-04,0.8586,0.8912,0.8514,0.8676,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8514
2025-05-05,0.8678,0.8711,0.8285,0.8676,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8285
2025-05-06,0.8677,0.8832,0.8463,0.8725,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8463
2025-05-07,0.8725,0.9861,0.8716,0.9757,high,False,,,,,,,,1.05,,,,7,0.588,0.546,0.483,0.4305,0.3675,0.294,0.2205,,B7,0.2205,0.8716
2025-05-08,0.9756,1.062,0.9641,1.0056,high,False,,,,,,,,1.062,,,,7,0.59472,0.55224,0.48852,0.43542,0.3717,0.29736,0.22302,,B7,0.22302,0.9641
2025-05-09,1.0057,1.1081,0.9931,1.1018,high,False,,,,,,,,1.1081,,,,7,0.620536,0.576212,0.509726,0.454321,0.387835,0.310268,0.232701,,B7,0.232701,0.9931
2025-05-10,1.1017,1.11,1.0067,1.039,high,False,,,,,,,,1.11,,,,7,0.6216,0.5772,0.5106,0.4551,0.3885,0.3108,0.2331,,B7,0.2331,1.0067
2025-05-11,1.0391,1.1104,0.9743,1.0293,high,False,,,,,,,,1.1104,,,,7,0.621824,0.577408,0.510784,0.455264,0.38864,0.310912,0.233184,,B7,0.233184,0.9743
2025-05-12,1.0293,1.0786,0.9724,1.044,high,False,,,,,,,,1.1104,,,,7,0.621824,0.577408,0.510784,0.455264,0.38864,0.310912,0.233184,,B7,0.233184,0.9724
