date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,1.053e-05,1.082e-05,1.025e-05,1.055e-05,high,False,,,,,,,,1.082e-05,,,,7,6.0592e-06,5.6264e-06,4.9772e-06,4.4362e-06,3.787e-06,3.0296e-06,2.2722e-06,,B7,2.2722e-06,1.025e-05
2023-01-17,1.055e-05,1.294e-05,1.052e-05,1.117e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.052e-05
2023-01-18,1.116e-05,1.179e-05,1.08e-05,1.154e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.08e-05
2023-01-19,1.155e-05,1.242e-05,1.133e-05,1.223e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.133e-05
2023-01-20,1.222e-05,1.25e-05,1.175e-05,1.186e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.175e-05
2023-01-21,1.186e-05,1.25e-05,1.154e-05,1.2e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.154e-05
2023-01-22,1.2e-05,1.22e-05,1.179e-05,1.199e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.179e-05
2023-01-23,1.2e-05,1.22e-05,1.086e-05,1.119e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.086e-05
2023-01-24,1.119e-05,1.195e-05,1.086e-05,1.163e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.086e-05
2023-01-25,1.163e-05,1.188e-05,1.137e-05,1.162e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.137e-05
2023-01-26,1.161e-05,1.188e-05,1.129e-05,1.173e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.129e-05
2023-01-27,1.172e-05,1.233e-05,1.164e-05,1.182e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.164e-05
2023-01-28,1.182e-05,1.216e-05,1.174e-05,1.207e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.174e-05
2023-01-29,1.207e-05,1.214e-05,1.112e-05,1.152e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.112e-05
2023-01-30,1.151e-05,1.199e-05,1.144e-05,1.181e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.144e-05
2023-01-31,1.182e-05,1.206e-05,1.13e-05,1.197e-05,high,False,,,,,,,,1.294e-05,,,,7,7.2464e-06,6.7288e-06,5.9524e-06,5.3054e-06,4.529e-06,3.6232e-06,2.7174e-06,,B7,2.7174e-06,1.13e-05
2023-02-01,1.197e-05,1.3e-05,1.191e-05,1.214e-05,high,False,,,,,,,,1.3e-05,,,,7,7.28e-06,6.76e-06,5.98e-06,5.33e-06,4.55e-06,3.64e-06,2.73e-06,,B7,2.73e-06,1.191e-05
2023-02-02,1.213e-05,1.292e-05,1.205e-05,1.272e-05,high,False,,,,,,,,1.3e-05,,,,7,7.28e-06,6.76e-06,5.98e-06,5.33e-06,4.55e-06,3.64e-06,2.73e-06,,B7,2.73e-06,1.205e-05
2023-02-03,1.272e-05,1.575e-05,1.27e-05,1.47e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.27e-05
2023-02-04,1.469e-05,1.535e-05,1.393e-05,1.43e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.393e-05
2023-02-05,1.43e-05,1.484e-05,1.392e-05,1.407e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.392e-05
2023-02-06,1.408e-05,1.449e-05,1.375e-05,1.439e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.375e-05
2023-02-07,1.438e-05,1.455e-05,1.35e-05,1.375e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.35e-05
2023-02-08,1.375e-05,1.384e-05,1.17e-05,1.216e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.17e-05
2023-02-09,1.215e-05,1.332e-05,1.209e-05,1.287e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.209e-05
2023-02-10,1.287e-05,1.31e-05,1.238e-05,1.291e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.238e-05
2023-02-11,1.29e-05,1.353e-05,1.256e-05,1.283e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.256e-05
2023-02-12,1.283e-05,1.307e-05,1.198e-05,1.247e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.198e-05
2023-02-13,1.247e-05,1.284e-05,1.205e-05,1.275e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.205e-05
2023-02-14,1.276e-05,1.388e-05,1.254e-05,1.375e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.254e-05
2023-02-15,1.376e-05,1.399e-05,1.256e-05,1.269e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.256e-05
2023-02-16,1.27e-05,1.336e-05,1.262e-05,1.317e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.262e-05
2023-02-17,1.316e-05,1.341e-05,1.303e-05,1.319e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.303e-05
2023-02-18,1.319e-05,1.4e-05,1.309e-05,1.332e-05,high,False,,,,,,,,1.575e-05,,,,7,8.82e-06,8.19e-06,7.245e-06,6.4575e-06,5.5125e-06,4.41e-06,3.3075e-06,,B7,3.3075e-06,1.309e-05
