date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,0.02134,0.02177,0.02092,0.02128,high,False,,,,,,,,0.02177,,,,7,0.0121912,0.0113204,0.0100142,0.0089257,0.0076195,0.0060956,0.0045717,,B7,0.0045717,0.02092
2023-01-17,0.02127,0.02165,0.01955,0.0197,high,False,,,,,,,,0.02177,,,,7,0.0121912,0.0113204,0.0100142,0.0089257,0.0076195,0.0060956,0.0045717,,B7,0.0045717,0.01955
2023-01-18,0.0197,0.02045,0.01966,0.02031,high,False,,,,,,,,0.02177,,,,7,0.0121912,0.0113204,0.0100142,0.0089257,0.0076195,0.0060956,0.0045717,,B7,0.0045717,0.01966
2023-01-19,0.02031,0.02247,0.02002,0.02236,high,False,,,,,,,,0.02247,,,,7,0.0125832,0.0116844,0.0103362,0.0092127,0.0078645,0.0062916,0.0047187,,B7,0.0047187,0.02002
2023-01-20,0.02237,0.02254,0.0215,0.0218,high,False,,,,,,,,0.02254,,,,7,0.0126224,0.0117208,0.0103684,0.0092414,0.007889,0.0063112,0.0047334,,B7,0.0047334,0.0215
2023-01-21,0.0218,0.02292,0.02167,0.02219,high,False,,,,,,,,0.02292,,,,7,0.0128352,0.0119184,0.0105432,0.0093972,0.008022,0.0064176,0.0048132,,B7,0.0048132,0.02167
2023-01-22,0.0222,0.0231,0.0219,0.02289,high,False,,,,,,,,0.0231,,,,7,0.012936,0.012012,0.010626,0.009471,0.008085,0.006468,0.004851,,B7,0.004851,0.0219
2023-01-23,0.02289,0.02346,0.02155,0.02185,high,False,,,,,,,,0.02346,,,,7,0.0131376,0.0121992,0.0107916,0.0096186,0.008211,0.0065688,0.0049266,,B7,0.0049266,0.02155
2023-01-24,0.02184,0.02334,0.02122,0.02299,high,False,,,,,,,,0.02346,,,,7,0.0131376,0.0121992,0.0107916,0.0096186,0.008211,0.0065688,0.0049266,,B7,0.0049266,0.02122
2023-01-25,0.023,0.02406,0.02286,0.02383,high,False,,,,,,,,0.02406,,,,7,0.0134736,0.0125112,0.0110676,0.0098646,0.008421,0.0067368,0.0050526,,B7,0.0050526,0.02286
2023-01-26,0.02383,0.02513,0.02314,0.02488,high,False,,,,,,,,0.02513,,,,7,0.0140728,0.0130676,0.0115598,0.0103033,0.0087955,0.0070364,0.0052773,,B7,0.0052773,0.02314
2023-01-27,0.02488,0.02504,0.0238,0.02414,high,False,,,,,,,,0.02513,,,,7,0.0140728,0.0130676,0.0115598,0.0103033,0.0087955,0.0070364,0.0052773,,B7,0.0052773,0.0238
2023-01-28,0.02414,0.02481,0.02393,0.02459,high,False,,,,,,,,0.02513,,,,7,0.0140728,0.0130676,0.0115598,0.0103033,0.0087955,0.0070364,0.0052773,,B7,0.0052773,0.02393
2023-01-29,0.02458,0.02466,0.02252,0.02305,high,False,,,,,,,,0.02513,,,,7,0.0140728,0.0130676,0.0115598,0.0103033,0.0087955,0.0070364,0.0052773,,B7,0.0052773,0.02252
2023-01-30,0.02305,0.0235,0.02284,0.02312,high,False,,,,,,,,0.02513,,,,7,0.0140728,0.0130676,0.0115598,0.0103033,0.0087955,0.0070364,0.0052773,,B7,0.0052773,0.02284
2023-01-31,0.02312,0.02525,0.02215,0.02478,high,False,,,,,,,,0.02525,,,,7,0.01414,0.01313,0.011615,0.0103525,0.0088375,0.00707,0.0053025,,B7,0.0053025,0.02215
2023-02-01,0.02479,0.02522,0.02371,0.0241,high,False,,,,,,,,0.02525,,,,7,0.01414,0.01313,0.011615,0.0103525,0.0088375,0.00707,0.0053025,,B7,0.0053025,0.02371
2023-02-02,0.0241,0.02495,0.024,0.02483,high,False,,,,,,,,0.02525,,,,7,0.01414,0.01313,0.011615,0.0103525,0.0088375,0.00707,0.0053025,,B7,0.0053025,0.024
2023-02-03,0.02482,0.02527,0.02439,0.02491,high,False,,,,,,,,0.02527,,,,7,0.0141512,0.0131404,0.0116242,0.0103607,0.0088445,0.0070756,0.0053067,,B7,0.0053067,0.02439
2023-02-04,0.02492,0.025,0.02381,0.0242,high,False,,,,,,,,0.02527,,,,7,0.0141512,0.0131404,0.0116242,0.0103607,0.0088445,0.0070756,0.0053067,,B7,0.0053067,0.02381
