date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-04-17,7101.99,7148.12,6972.98,7027.55,none,6972.98,,,,
2020-04-18,7026.78,7293.08,7014.4,7248.6,none,6972.98,,,,
2020-04-19,7248.6,7266.15,7055.6,7120.74,none,6972.98,,,,
2020-04-20,7121.4,7220.0,6751.0,6826.83,none,6751.0,,,,
2020-04-21,6828.98,6940.0,6762.0,6841.37,none,6751.0,,,,
2020-04-22,6841.36,7156.38,6818.0,7125.14,none,6751.0,,,,
2020-04-23,7125.12,7738.0,7020.0,7482.39,none,6751.0,,,,
2020-04-24,7483.96,7615.96,7388.0,7505.0,none,6751.0,,,,
2020-04-25,7505.0,7705.0,7431.07,7538.67,none,6751.0,,,,
2020-04-26,7539.03,7700.0,7480.0,7693.1,none,6751.0,,,,
2020-04-27,7693.1,7792.02,7606.0,7774.62,none,6751.0,,,,
2020-04-28,7773.51,7780.0,7659.12,7738.98,none,6751.0,,,,
2020-04-29,7738.58,8952.89,7710.05,8778.57,none,6751.0,,,,
2020-04-30,8778.58,9460.0,8401.0,8620.0,none,6751.0,,,,
2020-05-01,8620.0,9059.18,8613.56,8826.96,none,6751.0,,,,
2020-05-02,8825.67,9010.0,8753.0,8972.05,none,6751.0,,,,
2020-05-03,8972.58,9200.0,8712.0,8894.16,none,6751.0,,,,
2020-05-04,8894.15,8950.0,8522.0,8871.96,none,6751.0,,,,
2020-05-05,8871.92,9118.58,8760.0,9021.83,none,6751.0,,,,
2020-05-06,9021.36,9395.0,8906.21,9142.92,none,6751.0,,,,
2020-05-07,9143.4,10067.0,9021.0,9986.4,none,6751.0,,,,
2020-05-08,9986.3,10035.96,9705.0,9800.01,none,6751.0,,,,
2020-05-09,9800.02,9914.25,9520.0,9539.4,none,6751.0,,,,
2020-05-10,9539.1,9574.83,8117.0,8722.77,none,6751.0,,,,
2020-05-11,8722.77,9168.0,8200.0,8561.52,none,6751.0,,,,
2020-05-12,8562.04,8978.26,8528.78,8810.79,none,6751.0,,,,
2020-05-13,8810.99,9398.0,8792.99,9309.37,none,6751.0,,,,
2020-05-14,9309.35,9939.0,9256.76,9791.98,none,6751.0,,,,
2020-05-15,9791.97,9845.62,9150.0,9316.42,none,6751.0,,,,
2020-05-16,9315.96,9588.0,9220.0,9381.27,none,6751.0,,,,
