date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-04-17,0.03305,0.03305,0.032,0.03263,none,0.032,,,,
2020-04-18,0.0325,0.03452,0.03249,0.03413,none,0.032,,,,
2020-04-19,0.03413,0.03427,0.03244,0.03297,none,0.032,,,,
2020-04-20,0.03283,0.03368,0.03024,0.03084,none,0.03024,,,,
2020-04-21,0.03085,0.03155,0.0304,0.03107,none,0.03024,,,,
2020-04-22,0.03093,0.0336,0.0306,0.03279,none,0.03024,,,,
2020-04-23,0.03269,0.03375,0.0313,0.03282,none,0.03024,,,,
2020-04-24,0.03276,0.03404,0.03266,0.03308,none,0.03024,,,,
2020-04-25,0.03309,0.034,0.03277,0.03319,none,0.03024,,,,
2020-04-26,0.03311,0.03506,0.0331,0.03429,none,0.03024,,,,
2020-04-27,0.0343,0.03471,0.0333,0.03394,none,0.03024,,,,
2020-04-28,0.03388,0.03405,0.0334,0.03361,none,0.03024,,,,
2020-04-29,0.03367,0.03538,0.03337,0.03508,none,0.03024,,,,
2020-04-30,0.03514,0.03765,0.03346,0.03529,none,0.03024,,,,
2020-05-01,0.03531,0.04331,0.03526,0.04224,none,0.03024,,,,
2020-05-02,0.04201,0.0475,0.0415,0.04387,none,0.03024,,,,
2020-05-03,0.04396,0.04396,0.03804,0.03927,none,0.03024,,,,
2020-05-04,0.03944,0.0417,0.03591,0.04164,none,0.03024,,,,
2020-05-05,0.04163,0.04281,0.0382,0.04005,none,0.03024,,,,
2020-05-06,0.03996,0.04128,0.03778,0.03852,none,0.03024,,,,
2020-05-07,0.03853,0.04,0.0375,0.0398,none,0.03024,,,,
2020-05-08,0.03987,0.04116,0.03835,0.03943,none,0.03024,,,,
2020-05-09,0.03941,0.0405,0.03872,0.03922,none,0.03024,,,,
2020-05-10,0.03894,0.03907,0.03251,0.03438,none,0.03024,,,,
2020-05-11,0.03438,0.0358,0.03126,0.03378,none,0.03024,,,,
2020-05-12,0.03365,0.03624,0.03335,0.03559,none,0.03024,,,,
2020-05-13,0.03549,0.03587,0.03483,0.03564,none,0.03024,,,,
2020-05-14,0.03576,0.0397,0.03497,0.0379,none,0.03024,,,,
2020-05-15,0.038,0.03839,0.03517,0.03583,none,0.03024,,,,
2020-05-16,0.03572,0.0371,0.03562,0.03606,none,0.03024,,,,
2020-05-17,0.03606,0.03655,0.0356,0.03614,none,0.03024,,,,
2020-05-18,0.03609,0.03714,0.03535,0.03641,none,0.03024,,,,
2020-05-19,0.03642,0.037,0.03554,0.03638,none,0.03024,,,,
2020-05-20,0.0363,0.03957,0.03615,0.03845,none,0.03024,,,,
2020-05-21,0.03844,0.03845,0.03509,0.03606,none,0.03024,,,,
