date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-16,85.94,89.39,84.52,87.02,high,False,,,,,,,,89.39,,,,7,50.0584,46.4828,41.1194,36.6499,31.2865,25.0292,18.7719,,B7,18.7719,84.52
2023-01-17,87.04,88.4,82.11,82.62,high,False,,,,,,,,89.39,,,,7,50.0584,46.4828,41.1194,36.6499,31.2865,25.0292,18.7719,,B7,18.7719,82.11
2023-01-18,82.62,84.57,81.67,84.21,high,False,,,,,,,,89.39,,,,7,50.0584,46.4828,41.1194,36.6499,31.2865,25.0292,18.7719,,B7,18.7719,81.67
2023-01-19,84.21,91.42,83.0,90.28,high,False,,,,,,,,91.42,,,,7,51.1952,47.5384,42.0532,37.4822,31.997,25.5976,19.1982,,B7,19.1982,83.0
2023-01-20,90.28,92.1,87.57,87.91,high,False,,,,,,,,92.1,,,,7,51.576,47.892,42.366,37.761,32.235,25.788,19.341,,B7,19.341,87.57
2023-01-21,87.91,90.05,86.07,87.58,high,False,,,,,,,,92.1,,,,7,51.576,47.892,42.366,37.761,32.235,25.788,19.341,,B7,19.341,86.07
2023-01-22,87.58,93.2,87.51,89.9,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,87.51
2023-01-23,89.91,91.45,86.0,87.19,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,86.0
2023-01-24,87.19,91.93,85.53,89.38,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,85.53
2023-01-25,89.38,89.96,86.82,87.52,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,86.82
2023-01-26,87.51,89.23,85.81,88.89,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,85.81
2023-01-27,88.89,89.96,86.96,89.67,high,False,,,,,,,,93.2,,,,7,52.192,48.464,42.872,38.212,32.62,26.096,19.572,,B7,19.572,86.96
2023-01-28,89.66,97.77,89.65,94.84,high,False,,,,,,,,97.77,,,,7,54.7512,50.8404,44.9742,40.0857,34.2195,27.3756,20.5317,,B7,20.5317,89.65
2023-01-29,94.86,96.06,88.3,91.37,high,False,,,,,,,,97.77,,,,7,54.7512,50.8404,44.9742,40.0857,34.2195,27.3756,20.5317,,B7,20.5317,88.3
2023-01-30,91.36,96.28,91.31,94.09,high,False,,,,,,,,97.77,,,,7,54.7512,50.8404,44.9742,40.0857,34.2195,27.3756,20.5317,,B7,20.5317,91.31
