date,open,high,low,close,mode,L,H,cand_H,thr56,event
2019-11-04,0.9992,1.0002,0.9921,0.9981,none,0.9921,,,,
2019-11-05,0.9981,0.9999,0.9974,0.9991,none,0.9921,,,,
2019-11-06,0.9989,1.0007,0.9986,1.0001,none,0.9921,,,,
2019-11-07,1.0001,1.0023,0.9998,1.0011,none,0.9921,,,,
2019-11-08,1.0011,1.0048,1.0007,1.0014,none,0.9921,,,,
2019-11-09,1.0014,1.0018,1.0002,1.0005,none,0.9921,,,,
2019-11-10,1.0005,1.001,0.9994,1.0003,none,0.9921,,,,
2019-11-11,1.0003,1.0035,1.0001,1.0015,none,0.9921,,,,
2019-11-12,1.0014,1.0036,1.0002,1.0008,none,0.9921,,,,
2019-11-13,1.0008,1.0032,0.9999,1.0014,none,0.9921,,,,
2019-11-14,1.0017,1.0042,1.001,1.0024,none,0.9921,,,,
2019-11-15,1.0024,1.0042,1.0012,1.0019,none,0.9921,,,,
2019-11-16,1.0015,1.0019,1.0003,1.0013,none,0.9921,,,,
2019-11-17,1.001,1.0017,1.0,1.0003,none,0.9921,,,,
2019-11-18,1.0003,1.0047,1.0003,1.0019,none,0.9921,,,,
2019-11-19,1.0019,1.0038,1.0014,1.0014,none,0.9921,,,,
2019-11-20,1.0017,1.004,1.001,1.0023,none,0.9921,,,,
2019-11-21,1.0022,1.01,1.001,1.0011,none,0.9921,,,,
2019-11-22,1.0011,1.0045,0.9981,0.9989,none,0.9921,,,,
2019-11-23,0.9989,0.9997,0.9979,0.9985,none,0.9921,,,,
2019-11-24,0.9985,1.0001,0.9983,0.9996,none,0.9921,,,,
2019-11-25,0.9995,1.0005,0.9984,0.9987,none,0.9921,,,,
2019-11-26,0.9988,1.0009,0.9986,0.9992,none,0.9921,,,,
2019-11-27,0.9994,1.0005,0.9984,0.9989,none,0.9921,,,,
2019-11-28,0.9989,1.0,0.9985,0.999,none,0.9921,,,,
2019-11-29,0.9989,1.0001,0.9984,0.999,none,0.9921,,,,
2019-11-30,0.9988,1.0,0.9985,0.9995,none,0.9921,,,,
2019-12-01,0.9995,1.0005,0.9987,0.9988,none,0.9921,,,,
2019-12-02,0.999,1.0004,0.9988,0.9992,none,0.9921,,,,
2019-12-03,0.9993,1.0004,0.9987,0.9991,none,0.9921,,,,
2019-12-04,0.9992,1.0005,0.998,0.9999,none,0.9921,,,,
2019-12-05,0.9996,1.0009,0.9991,0.9993,none,0.9921,,,,
2019-12-06,0.9993,1.0003,0.9983,0.9985,none,0.9921,,,,
2019-12-07,0.9988,1.0,0.9981,0.9986,none,0.9921,,,,
2019-12-08,0.9986,0.9993,0.998,0.9988,none,0.9921,,,,
2019-12-09,0.9987,1.0002,0.9982,0.9999,none,0.9921,,,,
2019-12-10,0.9999,1.002,0.9996,1.0003,none,0.9921,,,,
2019-12-11,1.0003,1.0015,0.9998,1.0011,none,0.9921,,,,
2019-12-12,1.0012,1.0022,1.0003,1.001,none,0.9921,,,,
2019-12-13,1.0011,1.002,1.0004,1.0006,none,0.9921,,,,
2019-12-14,1.0007,1.0032,1.0003,1.0006,none,0.9921,,,,
2019-12-15,1.0007,1.0016,1.0005,1.0008,none,0.9921,,,,
2019-12-16,1.0011,1.0034,1.0008,1.0023,none,0.9921,,,,
2019-12-17,1.0023,1.0028,1.0004,1.0011,none,0.9921,,,,
2019-12-18,1.0011,1.002,0.9982,0.9992,none,0.9921,,,,
2019-12-19,0.9991,1.0019,0.9984,1.0006,none,0.9921,,,,
2019-12-20,1.0006,1.0011,0.9997,0.9999,none,0.9921,,,,
2019-12-21,0.9998,1.0002,0.9994,0.9998,none,0.9921,,,,
2019-12-22,0.9996,1.0004,0.9987,0.9988,none,0.9921,,,,
2019-12-23,0.9988,1.0008,0.9981,1.0004,none,0.9921,,,,
2019-12-24,1.0004,1.0018,1.0002,1.001,none,0.9921,,,,
2019-12-25,1.001,1.002,1.0007,1.0014,none,0.9921,,,,
2019-12-26,1.0014,1.0022,1.0009,1.0017,none,0.9921,,,,
2019-12-27,1.0017,1.0044,1.0012,1.0016,none,0.9921,,,,
2019-12-28,1.0014,1.0033,1.0012,1.0019,none,0.9921,,,,
2019-12-29,1.0019,1.0035,1.0009,1.0011,none,0.9921,,,,
2019-12-30,1.0011,1.0036,1.001,1.0033,none,0.9921,,,,
2019-12-31,1.0034,1.0044,1.0026,1.0036,none,0.9921,,,,
2020-01-01,1.0036,1.0042,1.0025,1.0035,none,0.9921,,,,
2020-01-02,1.0032,1.0047,1.0024,1.0027,none,0.9921,,,,
2020-01-03,1.0026,1.0039,1.0005,1.0011,none,0.9921,,,,
2020-01-04,1.0012,1.002,1.0005,1.0008,none,0.9921,,,,
2020-01-05,1.001,1.0017,1.0,1.001,none,0.9921,,,,
2020-01-06,1.001,1.0015,0.9998,0.9999,none,0.9921,,,,
2020-01-07,0.9999,1.0012,0.9991,0.9991,none,0.9921,,,,
2020-01-08,0.9992,1.0015,0.9983,1.001,none,0.9921,,,,
2020-01-09,1.001,1.0014,0.9998,1.0007,none,0.9921,,,,
2020-01-10,1.0007,1.0024,0.9999,1.0008,none,0.9921,,,,
2020-01-11,1.0008,1.0014,0.9999,1.0005,none,0.9921,,,,
2020-01-12,1.0004,1.0012,0.9998,1.0003,none,0.9921,,,,
2020-01-13,1.0003,1.0032,1.0,1.0008,none,0.9921,,,,
2020-01-14,1.0007,1.0018,0.9986,0.9997,none,0.9921,,,,
2020-01-15,0.9997,1.0029,0.9994,1.0013,none,0.9921,,,,
2020-01-16,1.0014,1.004,1.0008,1.0014,none,0.9921,,,,
2020-01-17,1.0014,1.0029,1.0003,1.0017,none,0.9921,,,,
2020-01-18,1.0018,1.0026,1.0003,1.0009,none,0.9921,,,,
2020-01-19,1.0008,1.0077,1.0002,1.0007,none,0.9921,,,,
2020-01-20,1.0006,1.0026,1.0004,1.0018,none,0.9921,,,,
2020-01-21,1.0016,1.0031,0.999,1.0017,none,0.9921,,,,
2020-01-22,1.0016,1.0037,1.0013,1.0029,none,0.9921,,,,
2020-01-23,1.0029,1.0047,1.0014,1.0026,none,0.9921,,,,
2020-01-24,1.0026,1.0031,1.001,1.002,none,0.9921,,,,
2020-01-25,1.0019,1.0065,1.001,1.0022,none,0.9921,,,,
2020-01-26,1.0021,1.0034,1.0002,1.0024,none,0.9921,,,,
2020-01-27,1.0022,1.0036,1.0013,1.0017,none,0.9921,,,,
2020-01-28,1.0018,1.003,0.9985,0.9997,none,0.9921,,,,
2020-01-29,0.9997,1.003,0.9995,1.0016,none,0.9921,,,,
2020-01-30,1.0016,1.0035,1.0005,1.0013,none,0.9921,,,,
2020-01-31,1.0013,1.003,1.001,1.0016,none,0.9921,,,,
2020-02-01,1.0017,1.0028,1.0,1.0012,none,0.9921,,,,
2020-02-02,1.0009,1.0021,0.9999,1.0014,none,0.9921,,,,
2020-02-03,1.0014,1.0034,0.9999,1.0014,none,0.9921,,,,
2020-02-04,1.0014,1.0038,1.0009,1.0034,none,0.9921,,,,
2020-02-05,1.0034,1.0037,0.9985,1.0003,none,0.9921,,,,
2020-02-06,1.0003,1.0025,0.9995,1.0022,none,0.9921,,,,
2020-02-07,1.0022,1.0028,1.001,1.0011,none,0.9921,,,,
2020-02-08,1.0012,1.0025,0.999,0.9994,none,0.9921,,,,
2020-02-09,0.9993,1.0006,0.998,0.9993,none,0.9921,,,,
2020-02-10,0.9994,1.0022,0.9982,1.0004,none,0.9921,,,,
2020-02-11,1.0004,1.001,0.9934,0.9956,none,0.9921,,,,
2020-02-12,0.9954,1.0,0.995,0.9977,none,0.9921,,,,
2020-02-13,0.9977,1.0019,0.9967,1.0002,none,0.9921,,,,
2020-02-14,1.0003,1.0019,0.998,0.998,none,0.9921,,,,
