symbol,name,binance_symbol,market_cap
BTC,Bitcoin,BTCUSDT,2455479681391
ETH,Ethereum,ETHUSDT,547767576696
XRP,XRP,XRPUSDT,179773639522
BNB,BNB,BNBUSDT,161562056174
SOL,Solana,SOLUSDT,126195166505
USDC,USDC,USDCUSDT,75263066426
DOGE,Dogecoin,DOGEUSDT,38831673381
TRX,TRON,TRXUSDT,32420938564
ADA,Cardano,ADAUSDT,31298499250
LINK,Chainlink,LINKUSDT,15290532755
USDE,Ethena USDe,USDEUSDT,14814459137
SUI,Sui,SUIUSDT,13063965730
XLM,Stellar,XLMUSDT,12758250662
AVAX,Avalanche,AVAXUSDT,12720817461
BCH,Bitcoin Cash,BCHUSDT,11878001156
HBAR,Hedera,HBARUSDT,9343508462
LTC,Litecoin,LTCUSDT,9173695866
SHIB,Shiba Inu,SHIBUSDT,7507682387
TON,Toncoin,TONUSDT,7074322682
DOT,Polkadot,DOTUSDT,6471675595
UNI,Uniswap,UNIUSDT,4948931869
AAVE,Aave,AAVEUSDT,4407430352
ENA,Ethena,ENAUSDT,4312769432
PEPE,Pepe,PEPEUSDT,4213095928
APT,Aptos,APTUSDT,3813374874
NEAR,NEAR Protocol,NEARUSDT,3786883752
TAO,Bittensor,TAOUSDT,3091500316
ETC,Ethereum Classic,ETCUSDT,3044403600
ONDO,Ondo,ONDOUSDT,2954246963
BNSOL,Binance Staked SOL,BNSOLUSDT,2831421117
