Rank,Symbol,Name,MarketCap(USD)
1,BTCUSDT,Bitcoin,2211357357213.0
2,ETHUSDT,Ethereum,477663992432.0
3,USDTUSDT,Tether,180751475734.0
4,BNBUSDT,BNB,160946503407.0
5,XRPUSDT,XRP,144068753345.0
6,SOLUSDT,Solana,105556142297.0
7,USDCUSDT,USDC,76066366304.0
9,TRXUSDT,TRON,30180735424.0
10,DOGEUSDT,Dogecoin,29623339369.0
11,ADAUSDT,Cardano,24292805997.0
15,FIGR_HELOCUSDT,Figure Heloc,13152465567.0
16,LINKUSDT,Chainlink,12530547125.0
17,USDEUSDT,Ethena USDe,12483599378.0
19,BCHUSDT,Bitcoin Cash,10412059793.0
20,XLMUSDT,Stellar,10348509539.0
21,HYPEUSDT,Hyperliquid,10182799736.0
22,SUIUSDT,Sui,9706875469.0
23,AVAXUSDT,Avalanche,9326258423.0
26,LEOUSDT,LEO Token,8917215439.0
27,USDSUSDT,USDS,8189936483.0
29,HBARUSDT,Hedera,7588845149.0
30,USDT0USDT,USDT0,7471403019.0
31,LTCUSDT,Litecoin,7209448683.0
32,SHIBUSDT,Shiba Inu,6067856106.0
33,WBTUSDT,WhiteBIT Coin,6063529089.0
34,MNTUSDT,Mantle,5903528634.0
35,XMRUSDT,Monero,5815823089.0
36,SUSDEUSDT,Ethena Staked USDe,5720058022.0
37,TONUSDT,Toncoin,5555184856.0
38,CROUSDT,Cronos,5477825578.0
39,DOTUSDT,Polkadot,4767143172.0
40,DAIUSDT,Dai,4550307075.0
42,UNIUSDT,Uniswap,3919405048.0
41,TAOUSDT,Bittensor,3914208941.0
43,ZECUSDT,Zcash,3785285898.0
44,WLFIUSDT,World Liberty Financial,3758293148.0
45,OKBUSDT,OKB,3696183996.0
46,AAVEUSDT,Aave,3666902537.0
47,MUSDT,MemeCore,3376654233.0
48,COAIUSDT,ChainOpera AI,3342189882.0
49,BGBUSDT,Bitget Token,3326346428.0
50,ENAUSDT,Ethena,3022933482.0
51,PEPEUSDT,Pepe,3002208935.0
52,NEARUSDT,NEAR Protocol,2894273034.0
53,BUIDLUSDT,BlackRock USD Institutional Digital Liquidity Fund,2849818806.0
54,JITOSOLUSDT,Jito Staked SOL,2796634941.0
55,USD1USDT,USD1,2729694719.0
56,ASTERUSDT,Aster,2653969935.0
57,PYUSDUSDT,PayPal USD,2637284833.0
58,C1USDUSDT,Currency One USD,2550356061.0
59,SUSDSUSDT,sUSDS,2527841435.0
60,ETCUSDT,Ethereum Classic,2506752266.0
61,APTUSDT,Aptos,2490283754.0
62,ONDOUSDT,Ondo,2396838397.0
64,USDFUSDT,Falcon USD,2248672500.0
65,JLPUSDT,Jupiter Perpetuals Liquidity Provider Token,2182289581.0
66,WLDUSDT,Worldcoin,2058037033.0
67,POLUSDT,POL (ex-MATIC),2038221242.0
68,IPUSDT,Story,1954798344.0
69,HTXUSDT,HTX DAO,1894705350.0
70,BNSOLUSDT,Binance Staked SOL,1873430340.0
71,GTUSDT,Gate,1867424255.0
72,USDTBUSDT,USDtb,1832108016.0
73,KCSUSDT,KuCoin,1827381295.0
74,ICPUSDT,Internet Computer,1791332794.0
75,RETHUSDT,Rocket Pool ETH,1770545272.0
76,ARBUSDT,Arbitrum,1756787603.0
77,HASHUSDT,Provenance Blockchain,1755046377.0
78,ALGOUSDT,Algorand,1722822728.0
79,PIUSDT,Pi Network,1715179263.0
80,BFUSDUSDT,BFUSD,1699680375.0
81,XAUTUSDT,Tether Gold,1581744179.0
82,ATOMUSDT,Cosmos Hub,1578220667.0
83,RSETHUSDT,Kelp DAO Restaked ETH,1571493147.0
84,VETUSDT,VeChain,1567204471.0
86,KASUSDT,Kaspa,1514679667.0
87,OSETHUSDT,StakeWise Staked ETH,1500741603.0
88,KHYPEUSDT,Kinetiq Staked HYPE,1473376753.0
89,PENGUUSDT,Pudgy Penguins,1453105645.0
90,FLRUSDT,Flare,1439070047.0
91,LSETHUSDT,Liquid Staked ETH,1426614761.0
92,SKYUSDT,Sky,1394837269.0
93,RENDERUSDT,Render,1379296205.0
94,PUMPUSDT,Pump.fun,1348563760.0
95,SEIUSDT,Sei,1341497021.0
96,LBTCUSDT,Lombard Staked BTC,1339283795.0
97,PAXGUSDT,PAX Gold,1314744246.0
98,EZETHUSDT,Renzo Restaked ETH,1272152151.0
99,QNTUSDT,Quant,1268052103.0
100,NEXOUSDT,NEXO,1218644462.0
101,TRUMPUSDT,Official Trump,1207469575.0
102,SYRUPUSDCUSDT,Syrup USDC,1181628133.0
103,BONKUSDT,Bonk,1166525096.0
105,JUPUSDT,Jupiter,1139657671.0
106,FILUSDT,Filecoin,1115719131.0
107,SOLVBTCUSDT,Solv Protocol BTC,1108921706.0
108,XDCUSDT,XDC Network,1064258236.0
110,SPXUSDT,SPX6900,1047548351.0
109,FDUSDUSDT,First Digital USD,1046263499.0
111,CAKEUSDT,PancakeSwap,1035052864.0
