date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-04-17,0.01303,0.01312,0.01272,0.01289,none,0.01272,,,,
2020-04-18,0.01288,0.01356,0.01283,0.01339,none,0.01272,,,,
2020-04-19,0.0134,0.01342,0.01277,0.0129,none,0.01272,,,,
2020-04-20,0.01291,0.01318,0.01222,0.0124,none,0.01222,,,,
2020-04-21,0.0124,0.01277,0.01229,0.01249,none,0.01222,,,,
2020-04-22,0.01249,0.01315,0.01242,0.01298,none,0.01222,,,,
2020-04-23,0.01298,0.0139,0.01278,0.01361,none,0.01222,,,,
2020-04-24,0.01361,0.01433,0.01358,0.01392,none,0.01222,,,,
2020-04-25,0.01392,0.01428,0.0133,0.01396,none,0.01222,,,,
2020-04-26,0.01395,0.0143,0.01383,0.01426,none,0.01222,,,,
2020-04-27,0.01427,0.01464,0.01414,0.01452,none,0.01222,,,,
2020-04-28,0.01452,0.01536,0.0143,0.01528,none,0.01222,,,,
2020-04-29,0.01527,0.01653,0.01507,0.01624,none,0.01222,,,,
2020-04-30,0.01623,0.01672,0.01493,0.01519,none,0.01222,,,,
2020-05-01,0.01518,0.01638,0.01517,0.01581,none,0.01222,,,,
2020-05-02,0.01581,0.01641,0.01567,0.01635,none,0.01222,,,,
2020-05-03,0.01635,0.01661,0.01553,0.01599,none,0.01222,,,,
2020-05-04,0.01598,0.0164,0.01511,0.01623,none,0.01222,,,,
2020-05-05,0.01622,0.01669,0.01564,0.0159,none,0.01222,,,,
2020-05-06,0.0159,0.01627,0.01548,0.01554,none,0.01222,,,,
2020-05-07,0.01553,0.01622,0.01535,0.01603,none,0.01222,,,,
2020-05-08,0.01603,0.01652,0.01589,0.01627,none,0.01222,,,,
2020-05-09,0.01627,0.0166,0.01604,0.01609,none,0.01222,,,,
2020-05-10,0.01609,0.01611,0.01284,0.01426,none,0.01222,,,,
2020-05-11,0.01426,0.01451,0.0132,0.01398,none,0.01222,,,,
2020-05-12,0.01398,0.015,0.01393,0.01455,none,0.01222,,,,
2020-05-13,0.01455,0.01541,0.01449,0.01501,none,0.01222,,,,
2020-05-14,0.015,0.01538,0.01476,0.01527,none,0.01222,,,,
2020-05-15,0.01526,0.01535,0.01456,0.01488,none,0.01222,,,,
2020-05-16,0.01488,0.01513,0.01478,0.01497,none,0.01222,,,,
2020-05-17,0.01497,0.01519,0.01491,0.015,none,0.01222,,,,
2020-05-18,0.015,0.01559,0.01498,0.01537,none,0.01222,,,,
2020-05-19,0.01537,0.01563,0.01504,0.01553,none,0.01222,,,,
2020-05-20,0.01553,0.01555,0.01459,0.015,none,0.01222,,,,
2020-05-21,0.01499,0.01509,0.01383,0.01421,none,0.01222,,,,
2020-05-22,0.01422,0.01509,0.01408,0.01484,none,0.01222,,,,
2020-05-23,0.01484,0.01573,0.01482,0.01496,none,0.01222,,,,
2020-05-24,0.01496,0.01531,0.01418,0.01421,none,0.01222,,,,
2020-05-25,0.01421,0.01476,0.01406,0.01472,none,0.01222,,,,
2020-05-26,0.01472,0.01476,0.01423,0.01458,none,0.01222,,,,
2020-05-27,0.01457,0.015,0.01443,0.0147,none,0.01222,,,,
2020-05-28,0.01471,0.01518,0.01454,0.01514,none,0.01222,,,,
2020-05-29,0.01513,0.01535,0.01491,0.015,none,0.01222,,,,
2020-05-30,0.01499,0.01645,0.01491,0.01638,none,0.01222,,,,
2020-05-31,0.01638,0.01723,0.01539,0.01582,none,0.01222,,,,
2020-06-01,0.01582,0.0171,0.01577,0.01707,none,0.01222,,,,
2020-06-02,0.01707,0.01755,0.0155,0.01637,none,0.01222,,,,
2020-06-03,0.01635,0.01698,0.01593,0.01691,none,0.01222,,,,
2020-06-04,0.01692,0.01735,0.01623,0.01687,none,0.01222,,,,
2020-06-05,0.01687,0.01729,0.01673,0.01685,none,0.01222,,,,
2020-06-06,0.01683,0.01716,0.01649,0.01704,none,0.01222,,,,
2020-06-07,0.01704,0.01824,0.01682,0.0182,none,0.01222,,,,
2020-06-08,0.01819,0.01862,0.01773,0.01794,none,0.01222,,,,
2020-06-09,0.01794,0.01808,0.01743,0.01754,none,0.01222,,,,
2020-06-10,0.01754,0.01768,0.01708,0.0176,none,0.01222,,,,
2020-06-11,0.01761,0.01775,0.0151,0.01573,none,0.01222,,,,
2020-06-12,0.01573,0.0167,0.01562,0.01644,none,0.01222,,,,
2020-06-13,0.01644,0.01674,0.01611,0.01668,none,0.01222,,,,
2020-06-14,0.0167,0.01671,0.01599,0.01616,none,0.01222,,,,
2020-06-15,0.01616,0.0162,0.015,0.01606,none,0.01222,,,,
2020-06-16,0.01608,0.01629,0.01597,0.01613,none,0.01222,,,,
2020-06-17,0.01613,0.01649,0.01582,0.01621,none,0.01222,,,,
2020-06-18,0.01621,0.01623,0.01579,0.01602,none,0.01222,,,,
2020-06-19,0.01601,0.01616,0.01566,0.01586,none,0.01222,,,,
2020-06-20,0.01586,0.01607,0.01556,0.01597,none,0.01222,,,,
2020-06-21,0.01598,0.01603,0.01577,0.01582,none,0.01222,,,,
2020-06-22,0.01582,0.01645,0.0158,0.01638,none,0.01222,,,,
2020-06-23,0.01638,0.01677,0.01622,0.0165,none,0.01222,,,,
2020-06-24,0.01651,0.01682,0.01557,0.01593,none,0.01222,,,,
