date,open,high,low,close,mode,L,H,cand_H,thr56,event
2019-12-28,1.001,1.0018,0.9996,1.0005,none,0.9996,,,,
2019-12-29,0.9999,1.002,0.998,1.002,none,0.998,,,,
2019-12-30,1.0014,1.0021,0.9994,1.0008,none,0.998,,,,
2019-12-31,1.0008,1.008,1.0007,1.008,none,0.998,,,,
2020-01-01,1.0053,1.03,1.003,1.0089,none,0.998,,,,
2020-01-02,1.0089,1.0146,0.998,1.0033,none,0.998,,,,
2020-01-03,0.9999,1.0099,0.9985,1.0082,none,0.998,,,,
2020-01-04,1.0035,1.0083,1.0007,1.0035,none,0.998,,,,
2020-01-05,1.0014,1.0056,0.9978,0.9985,none,0.9978,,,,
2020-01-06,0.9997,1.0003,0.9978,0.998,none,0.9978,,,,
2020-01-07,0.9991,1.0008,0.9979,0.9995,none,0.9978,,,,
2020-01-08,0.9995,1.0019,0.9978,1.0015,none,0.9978,,,,
2020-01-09,0.9998,1.0016,0.9978,1.0006,none,0.9978,,,,
2020-01-10,0.9991,1.0014,0.9981,1.0012,none,0.9978,,,,
2020-01-11,0.9997,1.0013,0.9981,0.9993,none,0.9978,,,,
2020-01-12,0.999,1.0014,0.9981,1.0008,none,0.9978,,,,
2020-01-13,1.0006,1.0018,0.9983,0.9993,none,0.9978,,,,
2020-01-14,0.9994,1.0026,0.998,0.9994,none,0.9978,,,,
2020-01-15,0.999,1.0018,0.9982,1.0006,none,0.9978,,,,
2020-01-16,1.0006,1.0018,0.9987,1.0016,none,0.9978,,,,
2020-01-17,1.0001,1.002,0.9993,1.0019,none,0.9978,,,,
2020-01-18,1.0006,1.0019,0.9987,1.0002,none,0.9978,,,,
2020-01-19,0.999,1.0017,0.9987,0.9994,none,0.9978,,,,
2020-01-20,0.999,1.0012,0.9987,0.9991,none,0.9978,,,,
2020-01-21,1.0001,1.0017,0.9991,0.9999,none,0.9978,,,,
2020-01-22,0.9999,1.0018,0.9988,1.0017,none,0.9978,,,,
2020-01-23,1.0017,1.002,0.9992,0.9997,none,0.9978,,,,
2020-01-24,0.9996,1.0017,0.9987,0.9988,none,0.9978,,,,
2020-01-25,0.9989,1.0012,0.9988,1.001,none,0.9978,,,,
2020-01-26,0.999,1.0025,0.9989,1.0025,none,0.9978,,,,
2020-01-27,1.0025,1.0025,0.9988,1.0025,none,0.9978,,,,
2020-01-28,1.0025,1.0025,0.9991,1.0006,none,0.9978,,,,
2020-01-29,1.0004,1.0024,0.9991,1.0012,none,0.9978,,,,
2020-01-30,1.0012,1.003,1.0005,1.0022,none,0.9978,,,,
2020-01-31,1.0024,1.003,1.0006,1.0007,none,0.9978,,,,
2020-02-01,1.0007,1.0021,1.0,1.0003,none,0.9978,,,,
2020-02-02,1.0003,1.0024,0.999,1.0009,none,0.9978,,,,
2020-02-03,1.0007,1.0022,0.9989,1.002,none,0.9978,,,,
2020-02-04,1.002,1.0024,1.0,1.0019,none,0.9978,,,,
2020-02-05,1.0025,1.0028,0.999,0.9993,none,0.9978,,,,
2020-02-06,0.9992,1.0024,0.9988,1.0006,none,0.9978,,,,
2020-02-07,1.0006,1.0017,0.9991,1.0011,none,0.9978,,,,
2020-02-08,0.9996,1.0019,0.9989,0.9989,none,0.9978,,,,
2020-02-09,0.9989,1.0036,0.9989,1.0001,none,0.9978,,,,
2020-02-10,1.0001,1.0021,0.9985,0.9991,none,0.9978,,,,
2020-02-11,0.9991,1.0044,0.997,1.0008,none,0.997,,,,
2020-02-12,1.0008,1.028,0.9973,1.0014,none,0.997,,,,
2020-02-13,1.0014,1.1566,0.9999,1.0015,none,0.997,,,,
2020-02-14,1.0057,1.1111,1.0014,1.006,none,0.997,,,,
2020-02-15,1.0099,1.1489,1.0006,1.0045,none,0.997,,,,
2020-02-16,1.0089,1.0115,1.0001,1.0014,none,0.997,,,,
2020-02-17,1.0056,1.018,0.998,1.0059,none,0.997,,,,
2020-02-18,1.0059,1.0457,1.0003,1.0059,none,0.997,,,,
2020-02-19,1.0099,1.015,0.9983,1.0019,none,0.997,,,,
2020-02-20,1.0017,1.006,0.998,0.9985,none,0.997,,,,
2020-02-21,0.9985,1.0,0.997,0.9991,none,0.997,,,,
2020-02-22,0.9995,0.9995,0.9971,0.9991,none,0.997,,,,
2020-02-23,0.9987,1.0009,0.995,0.9982,none,0.995,,,,
2020-02-24,0.9973,1.0,0.995,0.9985,none,0.995,,,,
2020-02-25,0.9983,1.0,0.995,0.995,none,0.995,,,,
2020-02-26,0.995,0.9982,0.9751,0.9804,none,0.9751,,,,
2020-02-27,0.9828,0.99,0.94,0.9721,none,0.94,,,,
2020-02-28,0.9818,0.9996,0.975,0.9954,none,0.94,,,,
2020-02-29,0.9984,0.9996,0.9921,0.997,none,0.94,,,,
2020-03-01,0.994,0.9992,0.9902,0.9953,none,0.94,,,,
2020-03-02,0.9979,0.998,0.993,0.9974,none,0.94,,,,
2020-03-03,0.9973,0.9988,0.9905,0.9985,none,0.94,,,,
2020-03-04,0.9985,0.9985,0.9948,0.9951,none,0.94,,,,
2020-03-05,0.9951,0.9984,0.9868,0.9868,none,0.94,,,,
