date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-04-17,0.04917,0.04954,0.04818,0.04856,none,0.04818,,,,
2020-04-18,0.04856,0.05104,0.04851,0.05056,none,0.04818,,,,
2020-04-19,0.05058,0.05069,0.04823,0.0488,none,0.04818,,,,
2020-04-20,0.04881,0.05337,0.04854,0.04947,none,0.04818,,,,
2020-04-21,0.04944,0.05181,0.0492,0.05085,none,0.04818,,,,
2020-04-22,0.05085,0.05499,0.05068,0.05498,none,0.04818,,,,
2020-04-23,0.05496,0.06629,0.05496,0.06208,none,0.04818,,,,
2020-04-24,0.06208,0.0662,0.06006,0.06116,none,0.04818,,,,
2020-04-25,0.0612,0.06335,0.06066,0.06177,none,0.04818,,,,
2020-04-26,0.06178,0.06295,0.06076,0.06188,none,0.04818,,,,
2020-04-27,0.06194,0.06874,0.06123,0.06719,none,0.04818,,,,
2020-04-28,0.06718,0.07148,0.06636,0.06855,none,0.04818,,,,
2020-04-29,0.06853,0.07295,0.06806,0.07216,none,0.04818,,,,
2020-04-30,0.07218,0.0745,0.06546,0.06756,none,0.04818,,,,
2020-05-01,0.06749,0.07365,0.06745,0.0729,none,0.04818,,,,
2020-05-02,0.07288,0.07634,0.07143,0.07552,none,0.04818,,,,
2020-05-03,0.07549,0.07713,0.07148,0.073,none,0.04818,,,,
2020-05-04,0.07294,0.07438,0.06723,0.07332,none,0.04818,,,,
2020-05-05,0.07337,0.07443,0.07022,0.07208,none,0.04818,,,,
2020-05-06,0.07208,0.0732,0.06943,0.06962,none,0.04818,,,,
2020-05-07,0.06962,0.07358,0.06857,0.07207,none,0.04818,,,,
2020-05-08,0.07207,0.0745,0.07036,0.07252,none,0.04818,,,,
2020-05-09,0.07255,0.07365,0.07132,0.07141,none,0.04818,,,,
2020-05-10,0.07141,0.07148,0.05873,0.06405,none,0.04818,,,,
2020-05-11,0.06403,0.06523,0.06023,0.06234,none,0.04818,,,,
2020-05-12,0.06239,0.07046,0.06208,0.07017,none,0.04818,,,,
2020-05-13,0.07013,0.0709,0.06801,0.06977,none,0.04818,,,,
2020-05-14,0.06978,0.07073,0.06795,0.06926,none,0.04818,,,,
2020-05-15,0.06926,0.06989,0.06678,0.06728,none,0.04818,,,,
2020-05-16,0.06731,0.06859,0.0666,0.06806,none,0.04818,,,,
2020-05-17,0.06806,0.07167,0.06781,0.06873,none,0.04818,,,,
2020-05-18,0.06874,0.07135,0.0686,0.07027,none,0.04818,,,,
2020-05-19,0.07027,0.07029,0.0685,0.06979,none,0.04818,,,,
2020-05-20,0.06976,0.07214,0.06725,0.07093,none,0.04818,,,,
2020-05-21,0.07095,0.0718,0.06415,0.06644,none,0.04818,,,,
2020-05-22,0.06648,0.06939,0.0655,0.06811,none,0.04818,,,,
2020-05-23,0.06812,0.06923,0.06658,0.06713,none,0.04818,,,,
2020-05-24,0.06711,0.06825,0.06381,0.0639,none,0.04818,,,,
2020-05-25,0.06391,0.06625,0.0634,0.06624,none,0.04818,,,,
2020-05-26,0.06623,0.0664,0.06359,0.06506,none,0.04818,,,,
2020-05-27,0.06506,0.06766,0.06449,0.06597,none,0.04818,,,,
2020-05-28,0.06603,0.06991,0.0657,0.0691,none,0.04818,,,,
2020-05-29,0.06906,0.06989,0.06697,0.06777,none,0.04818,,,,
2020-05-30,0.06776,0.07311,0.06706,0.07252,none,0.04818,,,,
2020-05-31,0.07253,0.07648,0.06884,0.0705,none,0.04818,,,,
2020-06-01,0.0705,0.07637,0.06993,0.07573,none,0.04818,,,,
2020-06-02,0.07574,0.08444,0.07298,0.07951,none,0.04818,,,,
2020-06-03,0.07949,0.08334,0.07671,0.08278,none,0.04818,,,,
2020-06-04,0.08278,0.08631,0.07902,0.08204,none,0.04818,,,,
2020-06-05,0.08203,0.08299,0.07881,0.07888,none,0.04818,,,,
2020-06-06,0.07887,0.08114,0.07821,0.0797,none,0.04818,,,,
2020-06-07,0.07968,0.08074,0.07545,0.0788,none,0.04818,,,,
2020-06-08,0.07881,0.08037,0.07799,0.08006,none,0.04818,,,,
2020-06-09,0.08007,0.08032,0.07712,0.07817,none,0.04818,,,,
