date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,86.6,88.5,78.8,79.9,high,False,,,,,,,,88.5,,,,7,49.56,46.02,40.71,36.285,30.975,24.78,18.585,,B7,18.585,78.8
2023-01-24,79.9,87.6,78.1,85.7,high,False,,,,,,,,88.5,,,,7,49.56,46.02,40.71,36.285,30.975,24.78,18.585,,B7,18.585,78.1
2023-01-25,85.7,90.7,85.1,88.8,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,85.1
2023-01-26,88.8,89.7,85.2,87.2,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,85.2
2023-01-27,87.3,88.2,83.2,84.3,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,83.2
2023-01-28,84.2,88.5,83.4,87.6,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,83.4
2023-01-29,87.7,88.4,79.2,81.2,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,79.2
2023-01-30,81.2,83.8,80.2,82.9,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,80.2
2023-01-31,82.9,88.5,80.3,88.3,high,False,,,,,,,,90.7,,,,7,50.792,47.164,41.722,37.187,31.745,25.396,19.047,,B7,19.047,80.3
2023-02-01,88.4,93.4,87.7,88.3,high,False,,,,,,,,93.4,,,,7,52.304,48.568,42.964,38.294,32.69,26.152,19.614,,B7,19.614,87.7
2023-02-02,88.3,94.5,86.9,91.2,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,86.9
2023-02-03,91.1,92.1,88.1,89.0,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,88.1
2023-02-04,89.0,89.2,83.3,85.7,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,83.3
2023-02-05,85.6,87.8,83.3,84.1,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,83.3
2023-02-06,84.1,89.3,84.0,88.7,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,84.0
2023-02-07,88.7,90.2,84.5,87.0,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,84.5
2023-02-08,87.0,91.0,76.2,77.8,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,76.2
2023-02-09,77.8,80.6,76.6,78.7,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,76.6
2023-02-10,78.7,79.5,77.7,79.4,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,77.7
2023-02-11,79.5,80.5,76.2,77.4,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,76.2
2023-02-12,77.4,84.1,73.6,82.4,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,73.6
2023-02-13,82.5,83.8,78.5,83.1,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,78.5
2023-02-14,83.1,89.6,82.2,89.5,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,82.2
2023-02-15,89.5,90.6,83.7,84.0,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,83.7
2023-02-16,84.1,88.4,83.4,86.4,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,83.4
2023-02-17,86.4,91.4,86.4,91.0,high,False,,,,,,,,94.5,,,,7,52.92,49.14,43.47,38.745,33.075,26.46,19.845,,B7,19.845,86.4
2023-02-18,91.0,95.5,89.1,90.1,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,89.1
2023-02-19,90.0,93.1,86.9,92.0,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,86.9
2023-02-20,92.0,92.8,85.6,87.8,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,85.6
2023-02-21,87.8,87.8,82.0,85.0,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,82.0
2023-02-22,85.1,87.6,83.8,85.6,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,83.8
2023-02-23,85.6,86.8,79.9,81.6,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,79.9
2023-02-24,81.6,83.7,77.2,80.0,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,77.2
2023-02-25,80.0,82.5,79.7,82.2,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,79.7
2023-02-26,82.3,83.6,79.5,80.2,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,79.5
2023-02-27,80.2,80.3,76.7,77.7,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,76.7
2023-02-28,77.6,83.2,77.0,82.9,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,77.0
2023-03-01,82.9,83.1,78.3,79.9,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,78.3
2023-03-02,80.0,80.0,73.0,76.8,high,False,,,,,,,,95.5,,,,7,53.48,49.66,43.93,39.155,33.425,26.74,20.055,,B7,20.055,73.0
