date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,12.3407,18.9,12.2356,18.38,high,False,,,,,,,,18.9,,,,7,10.584,9.828,8.694,7.749,6.615,5.292,3.969,3.591,,B7,3.969,12.2356
2023-01-25,18.3793,20.4,17.1609,18.1429,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,17.1609
2023-01-26,18.1543,18.7985,17.2,17.7599,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,17.2
2023-01-27,17.756,19.2,16.6209,17.8192,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.6209
2023-01-28,17.812,18.95,17.46,18.3357,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,17.46
2023-01-29,18.3226,20.3835,16.21,17.2225,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.21
2023-01-30,17.2173,17.4416,16.0982,16.7445,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.0982
2023-01-31,16.7402,18.43,15.5676,18.264,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,15.5676
2023-02-01,18.2582,18.6909,16.9102,17.2237,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.9102
2023-02-02,17.225,17.5278,16.5313,17.0157,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.5313
2023-02-03,17.0158,17.0758,16.2978,16.4861,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,16.2978
2023-02-04,16.4849,17.0599,14.8,15.423,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,14.8
2023-02-05,15.4261,15.9759,14.3123,14.9482,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,14.3123
2023-02-06,14.9511,16.2455,14.9345,16.0525,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,14.9345
2023-02-07,16.0534,16.35,14.7161,15.0804,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,14.7161
2023-02-08,15.0878,15.1733,12.6666,13.3407,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,12.6666
2023-02-09,13.3455,13.75,12.5883,13.6562,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,12.5883
2023-02-10,13.6554,14.677,13.2337,13.8858,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,13.2337
2023-02-11,13.8858,14.1875,12.9055,13.1054,high,False,,,,,,,,20.4,,,,7,11.424,10.608,9.384,8.364,7.14,5.712,4.284,3.876,,B7,4.284,12.9055
