date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,16.99,18.27,16.52,17.79,high,False,,,,,,,,18.27,,,,7,10.2312,9.5004,8.4042,7.4907,6.3945,5.1156,3.8367,,B7,3.8367,16.52
2023-01-25,17.8,18.8,17.78,18.08,high,False,,,,,,,,18.8,,,,7,10.528,9.776,8.648,7.708,6.58,5.264,3.948,,B7,3.948,17.78
2023-01-26,18.09,21.67,17.45,21.2,high,False,,,,,,,,21.67,,,,7,12.1352,11.2684,9.9682,8.8847,7.5845,6.0676,4.5507,,B7,4.5507,17.45
2023-01-27,21.19,21.81,20.05,20.54,high,False,,,,,,,,21.81,,,,7,12.2136,11.3412,10.0326,8.9421,7.6335,6.1068,4.5801,,B7,4.5801,20.05
2023-01-28,20.54,21.17,20.08,20.99,high,False,,,,,,,,21.81,,,,7,12.2136,11.3412,10.0326,8.9421,7.6335,6.1068,4.5801,,B7,4.5801,20.08
2023-01-29,20.99,21.31,19.25,19.74,high,False,,,,,,,,21.81,,,,7,12.2136,11.3412,10.0326,8.9421,7.6335,6.1068,4.5801,,B7,4.5801,19.25
2023-01-30,19.73,20.19,19.31,19.8,high,False,,,,,,,,21.81,,,,7,12.2136,11.3412,10.0326,8.9421,7.6335,6.1068,4.5801,,B7,4.5801,19.31
2023-01-31,19.8,21.06,18.69,20.95,high,False,,,,,,,,21.81,,,,7,12.2136,11.3412,10.0326,8.9421,7.6335,6.1068,4.5801,,B7,4.5801,18.69
2023-02-01,20.95,22.79,20.82,21.21,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,20.82
2023-02-02,21.21,21.96,20.68,21.36,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,20.68
2023-02-03,21.35,21.69,20.84,21.04,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,20.84
2023-02-04,21.03,21.15,19.71,20.08,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,19.71
2023-02-05,20.09,20.43,19.42,19.58,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,19.42
2023-02-06,19.58,21.0,19.51,20.83,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,19.51
2023-02-07,20.83,21.02,19.62,20.11,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,19.62
2023-02-08,20.11,20.24,17.44,17.9,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,17.44
2023-02-09,17.9,18.24,17.49,17.79,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,17.49
2023-02-10,17.78,18.11,17.66,18.01,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,17.66
2023-02-11,18.02,18.49,17.52,17.78,high,False,,,,,,,,22.79,,,,7,12.7624,11.8508,10.4834,9.3439,7.9765,6.3812,4.7859,,B7,4.7859,17.52
