date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,305.2,323.5,299.2,300.3,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,299.2
2023-01-24,300.3,314.0,293.4,306.9,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,293.4
2023-01-25,306.9,309.5,301.6,304.7,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,301.6
2023-01-26,304.8,310.5,298.8,308.0,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,298.8
2023-01-27,308.0,313.6,303.6,306.1,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,303.6
2023-01-28,306.2,320.5,304.8,317.2,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,304.8
2023-01-29,317.1,320.8,302.0,307.2,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,302.0
2023-01-30,307.2,314.4,305.3,312.0,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,305.3
2023-01-31,312.1,319.4,305.6,317.0,high,False,,,,,,,,323.5,,,,7,181.16,168.22,148.81,132.635,113.225,90.58,67.935,,B7,67.935,305.6
2023-02-01,317.1,334.4,316.3,323.5,high,False,,,,,,,,334.4,,,,7,187.264,173.888,153.824,137.104,117.04,93.632,70.224,,B7,70.224,316.3
2023-02-02,323.5,335.5,318.3,332.2,high,False,,,,,,,,335.5,,,,7,187.88,174.46,154.33,137.555,117.425,93.94,70.455,,B7,70.455,318.3
2023-02-03,332.3,334.1,327.0,330.4,high,False,,,,,,,,335.5,,,,7,187.88,174.46,154.33,137.555,117.425,93.94,70.455,,B7,70.455,327.0
2023-02-04,330.4,337.8,324.0,327.8,high,False,,,,,,,,337.8,,,,7,189.168,175.656,155.388,138.498,118.23,94.584,70.938,,B7,70.938,324.0
2023-02-05,327.8,331.5,320.7,324.3,high,False,,,,,,,,337.8,,,,7,189.168,175.656,155.388,138.498,118.23,94.584,70.938,,B7,70.938,320.7
2023-02-06,324.4,333.7,323.2,333.0,high,False,,,,,,,,337.8,,,,7,189.168,175.656,155.388,138.498,118.23,94.584,70.938,,B7,70.938,323.2
2023-02-07,333.1,335.8,323.6,328.2,high,False,,,,,,,,337.8,,,,7,189.168,175.656,155.388,138.498,118.23,94.584,70.938,,B7,70.938,323.6
2023-02-08,328.2,329.3,302.0,306.2,high,False,,,,,,,,337.8,,,,7,189.168,175.656,155.388,138.498,118.23,94.584,70.938,,B7,70.938,302.0
