date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,22631.94,23816.73,22300.0,23060.94,high,False,,,,,,,,23816.73,,,,7,13337.3688,12384.6996,10955.6958,9764.8593,8335.8555,6668.6844,5001.5133,4525.1787,,B7,5001.5133,22300.0
2023-01-25,23060.42,23282.47,22850.01,23009.65,high,False,,,,,,,,23816.73,,,,7,13337.3688,12384.6996,10955.6958,9764.8593,8335.8555,6668.6844,5001.5133,4525.1787,,B7,5001.5133,22850.01
2023-01-26,23009.65,23500.0,22534.88,23074.16,high,False,,,,,,,,23816.73,,,,7,13337.3688,12384.6996,10955.6958,9764.8593,8335.8555,6668.6844,5001.5133,4525.1787,,B7,5001.5133,22534.88
2023-01-27,23074.16,23189.0,22878.46,23022.6,high,False,,,,,,,,23816.73,,,,7,13337.3688,12384.6996,10955.6958,9764.8593,8335.8555,6668.6844,5001.5133,4525.1787,,B7,5001.5133,22878.46
2023-01-28,23021.4,23960.54,22967.76,23742.3,high,False,,,,,,,,23960.54,,,,7,13417.9024,12459.4808,11021.8484,9823.8214,8386.189,6708.9512,5031.7134,4552.5026,,B7,5031.7134,22967.76
2023-01-29,23743.37,23800.51,22500.0,22826.15,high,False,,,,,,,,23960.54,,,,7,13417.9024,12459.4808,11021.8484,9823.8214,8386.189,6708.9512,5031.7134,4552.5026,,B7,5031.7134,22500.0
2023-01-30,22827.38,23320.0,22714.77,23125.13,high,False,,,,,,,,23960.54,,,,7,13417.9024,12459.4808,11021.8484,9823.8214,8386.189,6708.9512,5031.7134,4552.5026,,B7,5031.7134,22714.77
2023-01-31,23125.13,23812.66,22760.23,23732.66,high,False,,,,,,,,23960.54,,,,7,13417.9024,12459.4808,11021.8484,9823.8214,8386.189,6708.9512,5031.7134,4552.5026,,B7,5031.7134,22760.23
2023-02-01,23731.41,24255.0,23363.27,23488.94,high,False,,,,,,,,24255.0,,,,7,13582.8,12612.6,11157.3,9944.55,8489.25,6791.4,5093.55,4608.45,,B7,5093.55,23363.27
2023-02-02,23489.33,23715.7,23204.62,23431.9,high,False,,,,,,,,24255.0,,,,7,13582.8,12612.6,11157.3,9944.55,8489.25,6791.4,5093.55,4608.45,,B7,5093.55,23204.62
2023-02-03,23431.9,23587.78,23253.96,23326.84,high,False,,,,,,,,24255.0,,,,7,13582.8,12612.6,11157.3,9944.55,8489.25,6791.4,5093.55,4608.45,,B7,5093.55,23253.96
