date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-31,4.036,4.106,3.926,4.082,high,False,,,,,,,,4.106,,,,7,2.29936,2.13512,1.88876,1.68346,1.4371,1.14968,0.86226,0.78014,,B7,0.86226,3.926
2023-02-01,4.082,4.321,4.082,4.145,high,False,,,,,,,,4.321,,,,7,2.41976,2.24692,1.98766,1.77161,1.51235,1.20988,0.90741,0.82099,,B7,0.90741,4.082
2023-02-02,4.147,4.4,4.058,4.363,high,False,,,,,,,,4.4,,,,7,2.464,2.288,2.024,1.804,1.54,1.232,0.924,0.836,,B7,0.924,4.058
2023-02-03,4.363,4.6,4.272,4.521,high,False,,,,,,,,4.6,,,,7,2.576,2.392,2.116,1.886,1.61,1.288,0.966,0.874,,B7,0.966,4.272
2023-02-04,4.521,4.659,4.348,4.424,high,False,,,,,,,,4.659,,,,7,2.60904,2.42268,2.14314,1.91019,1.63065,1.30452,0.97839,0.88521,,B7,0.97839,4.348
2023-02-05,4.424,4.627,4.301,4.427,high,False,,,,,,,,4.659,,,,7,2.60904,2.42268,2.14314,1.91019,1.63065,1.30452,0.97839,0.88521,,B7,0.97839,4.301
2023-02-06,4.425,4.592,4.423,4.567,high,False,,,,,,,,4.659,,,,7,2.60904,2.42268,2.14314,1.91019,1.63065,1.30452,0.97839,0.88521,,B7,0.97839,4.423
2023-02-07,4.564,4.719,4.5,4.69,high,False,,,,,,,,4.719,,,,7,2.64264,2.45388,2.17074,1.93479,1.65165,1.32132,0.99099,0.89661,,B7,0.99099,4.5
2023-02-08,4.692,4.738,3.998,4.184,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,3.998
2023-02-09,4.18,4.196,4.088,4.128,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.088
2023-02-10,4.128,4.208,4.074,4.196,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.074
2023-02-11,4.196,4.304,4.136,4.171,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.136
2023-02-12,4.171,4.233,3.793,3.937,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,3.793
2023-02-13,3.939,3.997,3.844,3.961,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,3.844
2023-02-14,3.962,4.269,3.909,4.256,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,3.909
2023-02-15,4.254,4.376,4.004,4.007,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.004
2023-02-16,4.009,4.2,4.0,4.174,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.0
2023-02-17,4.175,4.24,4.16,4.217,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.16
2023-02-18,4.217,4.302,4.149,4.16,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.149
2023-02-19,4.163,4.301,4.133,4.223,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.133
2023-02-20,4.225,4.277,4.037,4.155,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.037
2023-02-21,4.154,4.165,4.008,4.123,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.008
2023-02-22,4.122,4.169,4.026,4.068,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,4.026
2023-02-23,4.068,4.121,3.886,3.983,high,False,,,,,,,,4.738,,,,7,2.65328,2.46376,2.17948,1.94258,1.6583,1.32664,0.99498,0.90022,,B7,0.99498,3.886
