date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,0.08851,0.0908,0.0821,0.08392,high,False,,,,,,,,0.0908,,,,7,0.050848,0.047216,0.041768,0.037228,0.03178,0.025424,0.019068,,B7,0.019068,0.0821
2023-01-24,0.08392,0.08818,0.08165,0.08654,high,False,,,,,,,,0.0908,,,,7,0.050848,0.047216,0.041768,0.037228,0.03178,0.025424,0.019068,,B7,0.019068,0.08165
2023-01-25,0.08655,0.08771,0.08451,0.08633,high,False,,,,,,,,0.0908,,,,7,0.050848,0.047216,0.041768,0.037228,0.03178,0.025424,0.019068,,B7,0.019068,0.08451
2023-01-26,0.08634,0.088,0.08352,0.08723,high,False,,,,,,,,0.0908,,,,7,0.050848,0.047216,0.041768,0.037228,0.03178,0.025424,0.019068,,B7,0.019068,0.08352
2023-01-27,0.08723,0.09381,0.08671,0.08773,high,False,,,,,,,,0.09381,,,,7,0.0525336,0.0487812,0.0431526,0.0384621,0.0328335,0.0262668,0.0197001,,B7,0.0197001,0.08671
2023-01-28,0.08773,0.09102,0.08725,0.09009,high,False,,,,,,,,0.09381,,,,7,0.0525336,0.0487812,0.0431526,0.0384621,0.0328335,0.0262668,0.0197001,,B7,0.0197001,0.08725
2023-01-29,0.09009,0.09286,0.0845,0.08837,high,False,,,,,,,,0.09381,,,,7,0.0525336,0.0487812,0.0431526,0.0384621,0.0328335,0.0262668,0.0197001,,B7,0.0197001,0.0845
2023-01-30,0.08833,0.09867,0.08822,0.09612,high,False,,,,,,,,0.09867,,,,7,0.0552552,0.0513084,0.0453882,0.0404547,0.0345345,0.0276276,0.0207207,,B7,0.0207207,0.08822
2023-01-31,0.09613,0.09717,0.08812,0.09403,high,False,,,,,,,,0.09867,,,,7,0.0552552,0.0513084,0.0453882,0.0404547,0.0345345,0.0276276,0.0207207,,B7,0.0207207,0.08812
2023-02-01,0.09403,0.09594,0.09006,0.09099,high,False,,,,,,,,0.09867,,,,7,0.0552552,0.0513084,0.0453882,0.0404547,0.0345345,0.0276276,0.0207207,,B7,0.0207207,0.09006
