date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,1626.28,1641.46,1535.0,1555.97,high,False,,,,,,,,1641.46,,,,7,919.2176,853.5592,755.0716,672.9986,574.511,459.6088,344.7066,,B7,344.7066,1535.0
2023-01-24,1555.97,1641.0,1518.0,1611.94,high,False,,,,,,,,1641.46,,,,7,919.2176,853.5592,755.0716,672.9986,574.511,459.6088,344.7066,,B7,344.7066,1518.0
2023-01-25,1611.95,1632.84,1577.43,1601.09,high,False,,,,,,,,1641.46,,,,7,919.2176,853.5592,755.0716,672.9986,574.511,459.6088,344.7066,,B7,344.7066,1577.43
2023-01-26,1601.08,1621.0,1552.54,1597.62,high,False,,,,,,,,1641.46,,,,7,919.2176,853.5592,755.0716,672.9986,574.511,459.6088,344.7066,,B7,344.7066,1552.54
2023-01-27,1597.61,1606.83,1555.99,1572.1,high,False,,,,,,,,1641.46,,,,7,919.2176,853.5592,755.0716,672.9986,574.511,459.6088,344.7066,,B7,344.7066,1555.99
2023-01-28,1572.1,1660.0,1566.33,1644.72,high,False,,,,,,,,1660.0,,,,7,929.6,863.2,763.6,680.6,581.0,464.8,348.6,,B7,348.6,1566.33
2023-01-29,1644.73,1647.53,1535.0,1566.2,high,False,,,,,,,,1660.0,,,,7,929.6,863.2,763.6,680.6,581.0,464.8,348.6,,B7,348.6,1535.0
2023-01-30,1566.21,1605.18,1561.63,1585.33,high,False,,,,,,,,1660.0,,,,7,929.6,863.2,763.6,680.6,581.0,464.8,348.6,,B7,348.6,1561.63
2023-01-31,1585.32,1647.77,1555.18,1641.68,high,False,,,,,,,,1660.0,,,,7,929.6,863.2,763.6,680.6,581.0,464.8,348.6,,B7,348.6,1555.18
2023-02-01,1641.67,1714.68,1626.85,1643.12,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1626.85
2023-02-02,1643.12,1676.0,1625.93,1663.52,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1625.93
2023-02-03,1663.52,1695.29,1645.43,1666.38,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1645.43
2023-02-04,1666.39,1673.81,1609.3,1629.02,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1609.3
2023-02-05,1629.01,1658.56,1605.01,1614.29,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1605.01
2023-02-06,1614.28,1678.37,1613.14,1671.03,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1613.14
2023-02-07,1671.03,1697.91,1630.47,1650.43,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1630.47
2023-02-08,1650.42,1656.17,1524.4,1545.35,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1524.4
2023-02-09,1545.35,1555.01,1490.0,1513.06,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1490.0
2023-02-10,1513.05,1543.0,1505.0,1538.51,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1505.0
2023-02-11,1538.5,1548.02,1493.08,1514.83,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1493.08
2023-02-12,1514.82,1526.1,1461.93,1505.24,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1461.93
2023-02-13,1505.25,1569.0,1482.66,1555.71,high,False,,,,,,,,1714.68,,,,7,960.2208,891.6336,788.7528,703.0188,600.138,480.1104,360.0828,,B7,360.0828,1482.66
