date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,4.995,5.7,4.808,5.45,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,4.808
2023-01-25,5.451,5.664,5.171,5.433,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,5.171
2023-01-26,5.433,5.485,5.177,5.391,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,5.177
2023-01-27,5.39,5.614,5.156,5.274,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,5.156
2023-01-28,5.272,5.568,5.254,5.477,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,5.254
2023-01-29,5.478,5.531,4.85,5.098,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,4.85
2023-01-30,5.097,5.44,5.004,5.229,high,False,,,,,,,,5.7,,,,7,3.192,2.964,2.622,2.337,1.995,1.596,1.197,1.083,,B7,1.197,5.004
2023-01-31,5.229,5.797,5.042,5.687,high,False,,,,,,,,5.797,,,,7,3.24632,3.01444,2.66662,2.37677,2.02895,1.62316,1.21737,1.10143,,B7,1.21737,5.042
2023-02-01,5.686,5.87,5.443,5.473,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.443
2023-02-02,5.476,5.791,5.411,5.675,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.411
2023-02-03,5.675,5.725,5.48,5.521,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.48
2023-02-04,5.521,5.55,5.16,5.299,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.16
2023-02-05,5.3,5.427,5.072,5.125,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.072
2023-02-06,5.126,5.565,5.118,5.537,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.118
2023-02-07,5.537,5.718,5.258,5.442,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.258
2023-02-08,5.445,5.519,4.61,4.789,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.61
2023-02-09,4.79,5.009,4.718,4.848,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.718
2023-02-10,4.847,5.121,4.836,5.102,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.836
2023-02-11,5.103,5.157,4.85,4.919,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.85
2023-02-12,4.919,4.967,4.684,4.867,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.684
2023-02-13,4.868,5.104,4.75,5.091,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,4.75
2023-02-14,5.091,5.496,5.005,5.483,high,False,,,,,,,,5.87,,,,7,3.2872,3.0524,2.7002,2.4067,2.0545,1.6436,1.2327,1.1153,,B7,1.2327,5.005
2023-02-15,5.482,6.0,5.351,5.403,high,False,,,,,,,,6.0,,,,7,3.36,3.12,2.76,2.46,2.1,1.68,1.26,1.14,,B7,1.26,5.351
2023-02-16,5.404,7.9,5.397,7.609,high,False,,,,,,,,7.9,,,,7,4.424,4.108,3.634,3.239,2.765,2.212,1.659,1.501,,B7,1.659,5.397
2023-02-17,7.599,7.979,7.186,7.52,high,False,,,,,,,,7.979,,,,7,4.46824,4.14908,3.67034,3.27139,2.79265,2.23412,1.67559,1.51601,,B7,1.67559,7.186
2023-02-18,7.52,9.5,7.52,8.466,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,7.52
2023-02-19,8.467,8.719,8.066,8.526,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,8.066
2023-02-20,8.529,8.686,7.67,8.182,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,7.67
2023-02-21,8.184,9.183,7.513,8.031,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,7.513
2023-02-22,8.029,8.276,7.625,7.846,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,7.625
2023-02-23,7.847,8.052,6.605,6.853,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.605
2023-02-24,6.852,6.997,6.35,6.706,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.35
2023-02-25,6.709,7.0,6.637,6.906,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.637
2023-02-26,6.905,7.274,6.668,6.851,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.668
2023-02-27,6.853,6.881,6.309,6.484,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.309
2023-02-28,6.484,7.296,6.408,7.251,high,False,,,,,,,,9.5,,,,7,5.32,4.94,4.37,3.895,3.325,2.66,1.995,1.805,,B7,1.995,6.408
