date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-31,0.0646,0.0705,0.0622,0.0696,high,False,,,,,,,,0.0705,,,,7,0.03948,0.03666,0.03243,0.028905,0.024675,0.01974,0.014805,0.013395,,B7,0.014805,0.0622
2023-02-01,0.0696,0.0709,0.0664,0.067,high,False,,,,,,,,0.0709,,,,7,0.039704,0.036868,0.032614,0.029069,0.024815,0.019852,0.014889,0.013471,,B7,0.014889,0.0664
2023-02-02,0.067,0.0737,0.0667,0.0722,high,False,,,,,,,,0.0737,,,,7,0.041272,0.038324,0.033902,0.030217,0.025795,0.020636,0.015477,0.014003,,B7,0.015477,0.0667
2023-02-03,0.0723,0.0779,0.0702,0.0733,high,False,,,,,,,,0.0779,,,,7,0.043624,0.040508,0.035834,0.031939,0.027265,0.021812,0.016359,0.014801,,B7,0.016359,0.0702
2023-02-04,0.0734,0.0747,0.068,0.0699,high,False,,,,,,,,0.0779,,,,7,0.043624,0.040508,0.035834,0.031939,0.027265,0.021812,0.016359,0.014801,,B7,0.016359,0.068
2023-02-05,0.0699,0.0715,0.0667,0.0675,high,False,,,,,,,,0.0779,,,,7,0.043624,0.040508,0.035834,0.031939,0.027265,0.021812,0.016359,0.014801,,B7,0.016359,0.0667
2023-02-06,0.0674,0.0789,0.0674,0.0748,high,False,,,,,,,,0.0789,,,,7,0.044184,0.041028,0.036294,0.032349,0.027615,0.022092,0.016569,0.014991,,B7,0.016569,0.0674
2023-02-07,0.0749,0.0794,0.0724,0.0752,high,False,,,,,,,,0.0794,,,,7,0.044464,0.041288,0.036524,0.032554,0.02779,0.022232,0.016674,0.015086,,B7,0.016674,0.0724
2023-02-08,0.0751,0.0763,0.0676,0.0716,high,False,,,,,,,,0.0794,,,,7,0.044464,0.041288,0.036524,0.032554,0.02779,0.022232,0.016674,0.015086,,B7,0.016674,0.0676
2023-02-09,0.0715,0.0784,0.0713,0.0761,high,False,,,,,,,,0.0794,,,,7,0.044464,0.041288,0.036524,0.032554,0.02779,0.022232,0.016674,0.015086,,B7,0.016674,0.0713
2023-02-10,0.076,0.0907,0.0757,0.0881,high,False,,,,,,,,0.0907,,,,7,0.050792,0.047164,0.041722,0.037187,0.031745,0.025396,0.019047,0.017233,,B7,0.019047,0.0757
2023-02-11,0.088,0.0987,0.0859,0.0868,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0859
2023-02-12,0.0868,0.0889,0.0789,0.086,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0789
2023-02-13,0.086,0.091,0.0833,0.0876,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0833
2023-02-14,0.0876,0.0926,0.0841,0.0915,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0841
2023-02-15,0.0915,0.0928,0.0833,0.0839,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0833
2023-02-16,0.0839,0.0879,0.0836,0.0853,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0836
2023-02-17,0.0853,0.087,0.0843,0.0864,high,False,,,,,,,,0.0987,,,,7,0.055272,0.051324,0.045402,0.040467,0.034545,0.027636,0.020727,0.018753,,B7,0.020727,0.0843
