date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-31,5.868,6.189,5.64,6.058,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.64
2023-02-01,6.06,6.15,5.726,5.783,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.726
2023-02-02,5.781,5.904,5.726,5.865,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.726
2023-02-03,5.864,5.973,5.761,5.795,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.761
2023-02-04,5.795,5.961,5.556,5.621,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.556
2023-02-05,5.621,5.691,5.374,5.446,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.374
2023-02-06,5.446,5.887,5.428,5.849,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.428
2023-02-07,5.847,5.983,5.615,5.725,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,5.615
2023-02-08,5.724,5.754,4.961,5.08,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,4.961
2023-02-09,5.079,5.193,4.988,5.072,high,False,,,,,,,,6.189,,,,7,3.46584,3.21828,2.84694,2.53749,2.16615,1.73292,1.29969,1.17591,,B7,1.29969,4.988
