date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2025-10-03,1.873,1.908,1.809,1.854,high,False,,,,,,,,1.908,,,,7,1.06848,0.99216,0.87768,0.78228,0.6678,0.53424,0.40068,0.36252,,B7,0.40068,1.809
2025-10-04,1.855,1.917,1.824,1.885,high,False,,,,,,,,1.917,,,,7,1.07352,0.99684,0.88182,0.78597,0.67095,0.53676,0.40257,0.36423,,B7,0.40257,1.824
2025-10-05,1.885,2.01,1.834,1.917,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.834
2025-10-06,1.916,1.952,1.773,1.779,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.773
2025-10-07,1.779,1.818,1.744,1.789,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.744
2025-10-08,1.79,1.794,1.705,1.705,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.705
2025-10-09,1.706,1.706,1.361,1.361,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.361
2025-10-10,1.361,1.979,1.322,1.608,high,False,,,,,,,,2.01,,,,7,1.1256,1.0452,0.9246,0.8241,0.7035,0.5628,0.4221,0.3819,,B7,0.4221,1.322
2025-10-11,1.608,2.046,1.574,1.967,high,False,,,,,,,,2.046,,,,7,1.14576,1.06392,0.94116,0.83886,0.7161,0.57288,0.42966,0.38874,,B7,0.42966,1.574
2025-10-12,1.967,2.017,1.917,1.982,high,False,,,,,,,,2.046,,,,7,1.14576,1.06392,0.94116,0.83886,0.7161,0.57288,0.42966,0.38874,,B7,0.42966,1.917
2025-10-13,1.983,2.0,1.745,1.989,high,False,,,,,,,,2.046,,,,7,1.14576,1.06392,0.94116,0.83886,0.7161,0.57288,0.42966,0.38874,,B7,0.42966,1.745
2025-10-14,1.988,2.082,1.855,1.902,high,False,,,,,,,,2.082,,,,7,1.16592,1.08264,0.95772,0.85362,0.7287,0.58296,0.43722,0.39558,,B7,0.43722,1.855
2025-10-15,1.902,2.0,1.744,1.777,high,False,,,,,,,,2.082,,,,7,1.16592,1.08264,0.95772,0.85362,0.7287,0.58296,0.43722,0.39558,,B7,0.43722,1.744
2025-10-16,1.778,1.81,1.611,1.775,high,False,,,,,,,,2.082,,,,7,1.16592,1.08264,0.95772,0.85362,0.7287,0.58296,0.43722,0.39558,,B7,0.43722,1.611
2025-10-17,1.775,1.918,1.767,1.892,high,False,,,,,,,,2.082,,,,7,1.16592,1.08264,0.95772,0.85362,0.7287,0.58296,0.43722,0.39558,,B7,0.43722,1.767
2025-10-18,1.892,2.041,1.808,1.944,high,False,,,,,,,,2.082,,,,7,1.16592,1.08264,0.95772,0.85362,0.7287,0.58296,0.43722,0.39558,,B7,0.43722,1.808
