date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,2.544,2.622,2.308,2.355,high,False,,,,,,,,2.622,,,,7,1.46832,1.36344,1.20612,1.07502,0.9177,0.73416,0.55062,,B7,0.55062,2.308
2023-01-24,2.355,2.635,2.278,2.545,high,False,,,,,,,,2.635,,,,7,1.4756,1.3702,1.2121,1.08035,0.92225,0.7378,0.55335,,B7,0.55335,2.278
2023-01-25,2.547,2.72,2.49,2.521,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.49
2023-01-26,2.521,2.588,2.381,2.557,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.381
2023-01-27,2.559,2.69,2.429,2.47,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.429
2023-01-28,2.47,2.608,2.433,2.571,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.433
2023-01-29,2.571,2.584,2.222,2.307,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.222
2023-01-30,2.306,2.38,2.271,2.328,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.271
2023-01-31,2.327,2.433,2.165,2.427,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.165
2023-02-01,2.427,2.578,2.403,2.444,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.403
2023-02-02,2.444,2.521,2.4,2.507,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.4
2023-02-03,2.507,2.58,2.426,2.501,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.426
2023-02-04,2.501,2.556,2.328,2.386,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.328
2023-02-05,2.386,2.43,2.281,2.308,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.281
2023-02-06,2.309,2.512,2.303,2.493,high,False,,,,,,,,2.72,,,,7,1.5232,1.4144,1.2512,1.1152,0.952,0.7616,0.5712,,B7,0.5712,2.303
2023-02-07,2.493,2.846,2.472,2.639,high,False,,,,,,,,2.846,,,,7,1.59376,1.47992,1.30916,1.16686,0.9961,0.79688,0.59766,,B7,0.59766,2.472
2023-02-08,2.638,2.642,2.201,2.27,high,False,,,,,,,,2.846,,,,7,1.59376,1.47992,1.30916,1.16686,0.9961,0.79688,0.59766,,B7,0.59766,2.201
2023-02-09,2.27,2.306,2.198,2.25,high,False,,,,,,,,2.846,,,,7,1.59376,1.47992,1.30916,1.16686,0.9961,0.79688,0.59766,,B7,0.59766,2.198
2023-02-10,2.25,2.295,2.203,2.285,high,False,,,,,,,,2.846,,,,7,1.59376,1.47992,1.30916,1.16686,0.9961,0.79688,0.59766,,B7,0.59766,2.203
