date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,0.83,0.831,0.785,0.803,high,False,,,,,,,,0.831,,,,7,0.46536,0.43212,0.38226,0.34071,0.29085,0.23268,0.17451,,B7,0.17451,0.785
2023-01-24,0.802,0.85,0.777,0.841,high,False,,,,,,,,0.85,,,,7,0.476,0.442,0.391,0.3485,0.2975,0.238,0.1785,,B7,0.1785,0.777
2023-01-25,0.842,0.87,0.82,0.839,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.82
2023-01-26,0.84,0.852,0.809,0.843,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.809
2023-01-27,0.843,0.855,0.827,0.837,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.827
2023-01-28,0.836,0.86,0.833,0.853,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.833
2023-01-29,0.852,0.86,0.795,0.822,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.795
2023-01-30,0.822,0.829,0.807,0.821,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.807
2023-01-31,0.819,0.828,0.789,0.824,high,False,,,,,,,,0.87,,,,7,0.4872,0.4524,0.4002,0.3567,0.3045,0.2436,0.1827,,B7,0.1827,0.789
2023-02-01,0.824,0.947,0.79,0.809,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.79
2023-02-02,0.809,0.82,0.796,0.812,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.796
2023-02-03,0.81,0.817,0.769,0.781,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.769
2023-02-04,0.781,0.798,0.76,0.769,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.76
2023-02-05,0.769,0.78,0.752,0.755,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.752
2023-02-06,0.755,0.776,0.747,0.774,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.747
2023-02-07,0.773,0.78,0.744,0.748,high,False,,,,,,,,0.947,,,,7,0.53032,0.49244,0.43562,0.38827,0.33145,0.26516,0.19887,,B7,0.19887,0.744
