date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-05-05,3.73e-06,3.85e-06,2.29e-06,2.63e-06,high,False,,,,,,,,3.85e-06,,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B7,8.085e-07,2.29e-06
2023-05-06,2.63e-06,3.1e-06,2.41e-06,2.79e-06,high,False,,,,,,,,3.85e-06,,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B7,8.085e-07,2.41e-06
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,1,BUY B1,LOW,B1,2.16e-06,1.54e-06,2.16e-06,3.85e-06,1.54e-06,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B1,2.156e-06,1.54e-06
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,2,ADD B2,LOW,B2,2e-06,1.54e-06,2e-06,3.85e-06,1.54e-06,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B2,2.002e-06,1.54e-06
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,3,ADD B3,LOW,B3,1.77e-06,1.54e-06,1.77e-06,3.85e-06,1.54e-06,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B3,1.771e-06,1.54e-06
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,4,ADD B4,LOW,B4,1.58e-06,1.54e-06,1.58e-06,3.85e-06,1.54e-06,,,7,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,,B4,1.5785e-06,1.54e-06
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,False,,SELL S,HIGH,,,2.12e-06,2.12e-06,3.85e-06,1.54e-06,,37.4,6,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,2.116e-06,,,
2023-05-07,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,False,,,,,,,,3.85e-06,1.54e-06,82.467532,37.4,6,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,2.116e-06,B2,2.002e-06,1.54e-06
2023-05-08,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,True,2,BUY B2,LOW,B2,2e-06,1.73e-06,2e-06,3.85e-06,1.54e-06,,,6,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,2.116e-06,B2,2.002e-06,1.73e-06
2023-05-08,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,True,3,ADD B3,LOW,B3,1.77e-06,1.73e-06,1.77e-06,3.85e-06,1.54e-06,,,6,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,2.116e-06,B3,1.771e-06,1.73e-06
2023-05-08,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,False,,SELL S,HIGH,,,1.92e-06,1.92e-06,3.85e-06,1.54e-06,,24.4,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,,,
2023-05-08,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,False,,,,,,,,3.85e-06,1.54e-06,38.961039,24.4,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B3,1.771e-06,1.73e-06
2023-05-09,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,True,3,BUY B3,LOW,B3,1.77e-06,1.69e-06,1.77e-06,3.85e-06,1.54e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B3,1.771e-06,1.69e-06
2023-05-09,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,False,,SELL S,HIGH,,,1.92e-06,1.92e-06,3.85e-06,1.54e-06,,24.4,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,,,
2023-05-09,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,False,,,,,,,,3.85e-06,1.54e-06,38.311688,24.4,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B3,1.771e-06,1.69e-06
2023-05-10,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,True,3,BUY B3,LOW,B3,1.77e-06,1.25e-06,1.77e-06,3.85e-06,1.25e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B3,1.771e-06,1.25e-06
2023-05-10,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,True,4,ADD B4,LOW,B4,1.58e-06,1.25e-06,1.58e-06,3.85e-06,1.25e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B4,1.5785e-06,1.25e-06
2023-05-10,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,True,5,ADD B5,LOW,B5,1.35e-06,1.25e-06,1.35e-06,3.85e-06,1.25e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9158e-06,B5,1.3475e-06,1.25e-06
2023-05-10,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,False,,SELL S,HIGH,,,1.91e-06,1.91e-06,3.85e-06,1.25e-06,,52.7,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,,,
2023-05-10,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,False,,,,,,,,3.85e-06,1.25e-06,55.2,52.7,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,B3,1.771e-06,1.25e-06
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,True,3,BUY B3,LOW,B3,1.77e-06,1.05e-06,1.77e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,B3,1.771e-06,1.05e-06
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,True,4,ADD B4,LOW,B4,1.58e-06,1.05e-06,1.58e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,B4,1.5785e-06,1.05e-06
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,True,5,ADD B5,LOW,B5,1.35e-06,1.05e-06,1.35e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,B5,1.3475e-06,1.05e-06
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,True,6,ADD B6,LOW,B6,1.08e-06,1.05e-06,1.08e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.9088e-06,B6,1.078e-06,1.05e-06
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,False,,SELL S,HIGH,,,1.89e-06,1.89e-06,3.85e-06,1.05e-06,,79.9,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.8889e-06,,,
2023-05-11,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,False,,,,,,,,3.85e-06,1.05e-06,80.952381,79.9,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.8889e-06,B3,1.771e-06,1.05e-06
2023-05-12,1.75e-06,2.08e-06,1.54e-06,1.87e-06,wait,True,3,BUY B3,LOW,B3,1.77e-06,1.54e-06,1.77e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.8889e-06,B3,1.771e-06,1.54e-06
2023-05-12,1.75e-06,2.08e-06,1.54e-06,1.87e-06,wait,True,4,ADD B4,LOW,B4,1.58e-06,1.54e-06,1.58e-06,3.85e-06,1.05e-06,,,5,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.8889e-06,B4,1.5785e-06,1.54e-06
2023-05-12,1.75e-06,2.08e-06,1.54e-06,1.87e-06,wait,False,,SELL S,HIGH,,,1.44e-06,1.75e-06,3.85e-06,1.05e-06,,37.4,4,2.156e-06,2.002e-06,1.771e-06,1.5785e-06,1.3475e-06,1.078e-06,8.085e-07,7.315e-07,1.75e-06,,,
