date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,151.0,165.0,145.8,155.3,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,145.8
2023-01-25,155.2,157.7,147.4,149.1,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,147.4
2023-01-26,149.1,154.7,145.0,153.3,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,145.0
2023-01-27,153.3,153.7,147.5,149.7,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,147.5
2023-01-28,149.6,153.4,148.5,151.4,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,148.5
2023-01-29,151.4,152.3,137.5,141.0,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,137.5
2023-01-30,140.9,145.3,139.6,142.1,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,139.6
2023-01-31,142.1,158.6,135.3,148.1,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,135.3
2023-02-01,148.2,151.7,142.2,144.8,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,142.2
2023-02-02,144.8,146.7,142.5,145.5,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,142.5
2023-02-03,145.4,146.0,140.6,141.7,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,140.6
2023-02-04,141.7,143.7,136.5,138.8,high,False,,,,,,,,165.0,,,,7,92.4,85.8,75.9,67.65,57.75,46.2,34.65,31.35,,B7,34.65,136.5
