date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-08-15,0.1788,0.283,0.1703,0.2148,high,False,,,,,,,,0.283,,,,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,,B7,0.05943,0.1703
2023-08-16,0.2146,0.2155,0.155,0.1717,wait,True,1,BUY B1,LOW,B1,0.15848,0.155,0.15848,0.283,0.155,,,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,,B1,0.15848,0.155
2023-08-16,0.2146,0.2155,0.155,0.1717,wait,False,,SELL S,HIGH,,,0.166935,0.166935,0.283,0.155,,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.166935,,,
2023-08-16,0.2146,0.2155,0.155,0.1717,wait,False,,,,,,,,0.283,0.155,39.032258,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.166935,B1,0.15848,0.155
2023-08-17,0.1716,0.1769,0.1482,0.1672,wait,True,1,BUY B1,LOW,B1,0.15848,0.1482,0.15848,0.283,0.1482,,,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.166935,B1,0.15848,0.1482
2023-08-17,0.1716,0.1769,0.1482,0.1672,wait,False,,SELL S,HIGH,,,0.1596114,0.1596114,0.283,0.1482,,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.1596114,,,
2023-08-17,0.1716,0.1769,0.1482,0.1672,wait,False,,,,,,,,0.283,0.1482,19.365722,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.1596114,B1,0.15848,0.1482
2023-08-18,0.1671,0.171,0.154,0.1599,wait,True,1,BUY B1,LOW,B1,0.15848,0.154,0.15848,0.283,0.1482,,,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.1596114,B1,0.15848,0.154
2023-08-18,0.1671,0.171,0.154,0.1599,wait,False,,SELL S,HIGH,,,0.1596114,0.1596114,0.283,0.1482,,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.1596114,,,
2023-08-18,0.1671,0.171,0.154,0.1599,wait,False,,,,,,,,0.283,0.1482,15.384615,7.7,7,0.15848,0.14716,0.13018,0.11603,0.09905,0.07924,0.05943,0.05377,0.1596114,B1,0.15848,0.154
