date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-24,22.77,25.43,22.24,24.52,high,False,,,,,,,,25.43,,,,7,14.2408,13.2236,11.6978,10.4263,8.9005,7.1204,5.3403,,B7,5.3403,22.24
2023-01-25,24.53,25.23,23.73,24.33,high,False,,,,,,,,25.43,,,,7,14.2408,13.2236,11.6978,10.4263,8.9005,7.1204,5.3403,,B7,5.3403,23.73
2023-01-26,24.33,24.96,23.27,24.43,high,False,,,,,,,,25.43,,,,7,14.2408,13.2236,11.6978,10.4263,8.9005,7.1204,5.3403,,B7,5.3403,23.27
2023-01-27,24.43,25.24,23.7,24.0,high,False,,,,,,,,25.43,,,,7,14.2408,13.2236,11.6978,10.4263,8.9005,7.1204,5.3403,,B7,5.3403,23.7
2023-01-28,24.0,26.8,23.73,26.07,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,23.73
2023-01-29,26.07,26.31,23.11,23.96,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,23.11
2023-01-30,23.97,24.47,23.49,23.92,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,23.49
2023-01-31,23.93,25.22,22.48,25.0,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,22.48
2023-02-01,25.0,26.15,24.05,24.32,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,24.05
2023-02-02,24.32,25.07,24.01,24.69,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,24.01
2023-02-03,24.69,24.95,24.17,24.34,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,24.17
2023-02-04,24.34,24.46,23.02,23.47,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,23.02
2023-02-05,23.46,23.72,22.45,22.66,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,22.45
2023-02-06,22.65,23.96,22.54,23.82,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,22.54
2023-02-07,23.82,24.24,22.8,23.22,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,22.8
2023-02-08,23.21,23.35,20.0,20.48,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,20.0
2023-02-09,20.48,21.2,19.68,20.11,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,19.68
2023-02-10,20.1,20.92,20.1,20.81,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,20.1
2023-02-11,20.81,22.59,20.62,21.49,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,20.62
2023-02-12,21.49,21.61,19.73,20.77,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,19.73
2023-02-13,20.77,22.37,20.66,21.84,high,False,,,,,,,,26.8,,,,7,15.008,13.936,12.328,10.988,9.38,7.504,5.628,,B7,5.628,20.66
