date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-31,6.558,6.92,6.317,6.798,high,False,,,,,,,,6.92,,,,7,3.8752,3.5984,3.1832,2.8372,2.422,1.9376,1.4532,1.3148,,B7,1.4532,6.317
2023-02-01,6.8,7.528,6.8,7.11,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.8
2023-02-02,7.114,7.295,6.909,7.061,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.909
2023-02-03,7.059,7.35,7.013,7.204,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,7.013
2023-02-04,7.204,7.325,6.75,6.886,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.75
2023-02-05,6.89,6.976,6.592,6.647,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.592
2023-02-06,6.646,7.013,6.63,6.979,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.63
2023-02-07,6.978,7.061,6.578,6.812,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.578
2023-02-08,6.813,6.867,6.161,6.33,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.161
2023-02-09,6.327,6.479,6.248,6.365,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.248
2023-02-10,6.361,6.504,6.334,6.481,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.334
2023-02-11,6.481,6.556,6.292,6.346,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.292
2023-02-12,6.349,6.382,6.087,6.244,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.087
2023-02-13,6.245,6.59,6.224,6.589,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.224
2023-02-14,6.587,6.946,6.5,6.93,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.5
2023-02-15,6.932,7.04,6.465,6.477,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.465
2023-02-16,6.474,6.83,6.439,6.738,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.439
2023-02-17,6.737,7.149,6.727,6.976,high,False,,,,,,,,7.528,,,,7,4.21568,3.91456,3.46288,3.08648,2.6348,2.10784,1.58088,1.43032,,B7,1.58088,6.727
2023-02-18,6.974,7.619,6.956,7.21,high,False,,,,,,,,7.619,,,,7,4.26664,3.96188,3.50474,3.12379,2.66665,2.13332,1.59999,1.44761,,B7,1.59999,6.956
2023-02-19,7.209,7.383,7.042,7.371,high,False,,,,,,,,7.619,,,,7,4.26664,3.96188,3.50474,3.12379,2.66665,2.13332,1.59999,1.44761,,B7,1.59999,7.042
2023-02-20,7.371,7.436,6.888,7.036,high,False,,,,,,,,7.619,,,,7,4.26664,3.96188,3.50474,3.12379,2.66665,2.13332,1.59999,1.44761,,B7,1.59999,6.888
2023-02-21,7.034,7.05,6.705,6.931,high,False,,,,,,,,7.619,,,,7,4.26664,3.96188,3.50474,3.12379,2.66665,2.13332,1.59999,1.44761,,B7,1.59999,6.705
