date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-07-24,2.16,2.458,1.85,2.257,high,False,,,,,,,,2.458,,,,7,1.37648,1.27816,1.13068,1.00778,0.8603,0.68824,0.51618,0.46702,,B7,0.51618,1.85
2023-07-25,2.257,2.55,2.149,2.25,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.149
2023-07-26,2.25,2.32,2.066,2.096,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.066
2023-07-27,2.096,2.237,2.05,2.219,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.05
2023-07-28,2.219,2.379,2.174,2.347,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.174
2023-07-29,2.346,2.493,2.222,2.288,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.222
2023-07-30,2.288,2.376,2.244,2.316,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.244
2023-07-31,2.316,2.451,2.196,2.43,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.196
2023-08-01,2.43,2.525,2.298,2.36,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.298
2023-08-02,2.36,2.376,2.253,2.325,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.253
2023-08-03,2.324,2.341,2.147,2.174,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.147
2023-08-04,2.174,2.183,2.084,2.13,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.084
2023-08-05,2.13,2.17,2.011,2.039,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.011
2023-08-06,2.042,2.11,2.018,2.039,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,2.018
2023-08-07,2.041,2.051,1.906,1.942,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.906
2023-08-08,1.941,1.964,1.808,1.834,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.808
2023-08-09,1.835,1.854,1.664,1.68,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.664
2023-08-10,1.681,1.773,1.65,1.746,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.65
2023-08-11,1.745,1.822,1.726,1.758,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.726
2023-08-12,1.758,1.837,1.758,1.768,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.758
2023-08-13,1.768,1.817,1.745,1.768,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.745
2023-08-14,1.768,1.794,1.581,1.62,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.581
2023-08-15,1.62,1.635,1.481,1.522,high,False,,,,,,,,2.55,,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B7,0.5355,1.481
2023-08-16,1.523,1.544,1.2,1.367,wait,True,1,BUY B1,LOW,B1,1.428,1.2,1.428,2.55,1.2,,,7,1.428,1.326,1.173,1.0455,0.8925,0.714,0.5355,0.4845,,B1,1.428,1.2
