date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-01-23,46.9,48.3,43.6,44.4,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,43.6
2023-01-24,44.4,46.5,43.5,45.4,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,43.5
2023-01-25,45.4,47.1,44.5,46.8,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,44.5
2023-01-26,46.8,47.2,45.4,46.5,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,45.4
2023-01-27,46.6,47.0,44.6,45.3,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,44.6
2023-01-28,45.3,48.1,45.0,47.1,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,45.0
2023-01-29,47.1,47.4,43.6,44.6,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,43.6
2023-01-30,44.6,46.0,44.1,45.2,high,False,,,,,,,,48.3,,,,7,27.048,25.116,22.218,19.803,16.905,13.524,10.143,,B7,10.143,44.1
2023-01-31,45.1,48.8,43.9,47.1,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.9
2023-02-01,47.1,48.4,45.4,45.9,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,45.4
2023-02-02,45.9,47.7,45.5,47.0,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,45.5
2023-02-03,47.0,47.4,46.1,46.6,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,46.1
2023-02-04,46.5,46.7,43.5,44.2,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.5
2023-02-05,44.3,44.9,42.6,43.4,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,42.6
2023-02-06,43.3,47.1,43.2,46.8,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.2
2023-02-07,46.7,47.2,44.5,45.3,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,44.5
2023-02-08,45.3,45.7,41.8,42.9,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,41.8
2023-02-09,42.8,44.7,42.3,43.6,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,42.3
2023-02-10,43.5,47.0,43.3,45.7,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.3
2023-02-11,45.7,48.7,44.4,46.3,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,44.4
2023-02-12,46.3,46.8,42.2,43.6,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,42.2
2023-02-13,43.5,44.2,41.9,43.6,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,41.9
2023-02-14,43.7,46.5,43.0,46.3,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.0
2023-02-15,46.2,47.1,43.1,43.5,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.1
2023-02-16,43.5,45.9,43.2,45.3,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,43.2
2023-02-17,45.3,47.1,45.3,46.1,high,False,,,,,,,,48.8,,,,7,27.328,25.376,22.448,20.008,17.08,13.664,10.248,,B7,10.248,45.3
2023-02-18,46.0,49.7,45.8,47.9,high,False,,,,,,,,49.7,,,,7,27.832,25.844,22.862,20.377,17.395,13.916,10.437,,B7,10.437,45.8
2023-02-19,47.8,51.3,46.6,50.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,46.6
2023-02-20,50.2,50.6,47.2,49.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,47.2
2023-02-21,49.5,50.0,45.7,48.0,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,45.7
2023-02-22,47.9,48.4,46.4,48.0,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,46.4
2023-02-23,47.9,48.7,44.3,45.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,44.3
2023-02-24,45.2,45.4,43.4,44.5,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,43.4
2023-02-25,44.5,45.4,44.1,45.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,44.1
2023-02-26,45.2,45.3,43.3,44.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,43.3
2023-02-27,44.2,44.6,42.7,43.0,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,42.7
2023-02-28,43.1,44.8,42.8,44.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,42.8
2023-03-01,44.3,44.5,42.9,43.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,42.9
2023-03-02,43.7,43.7,36.7,39.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.7
2023-03-03,39.6,40.0,37.3,38.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.3
2023-03-04,38.5,39.3,37.8,38.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.8
2023-03-05,38.1,38.8,37.3,38.5,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.3
2023-03-06,38.5,38.9,36.5,37.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.5
2023-03-07,37.7,37.9,35.0,35.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.0
2023-03-08,35.7,37.1,33.0,34.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,33.0
2023-03-09,34.1,34.3,30.5,32.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,30.5
2023-03-10,32.0,32.9,29.7,31.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,29.7
2023-03-11,31.4,34.4,30.4,34.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,30.4
2023-03-12,34.2,35.7,32.5,35.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,32.5
2023-03-13,35.3,37.8,34.3,36.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.3
2023-03-14,36.1,37.1,32.5,33.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,32.5
2023-03-15,33.2,34.3,32.7,33.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,32.7
2023-03-16,33.9,37.1,33.4,37.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,33.4
2023-03-17,37.1,38.0,35.2,35.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.2
2023-03-18,35.9,37.6,35.6,36.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.6
2023-03-19,36.6,37.8,34.0,34.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.0
2023-03-20,34.2,37.1,31.9,36.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,31.9
2023-03-21,36.3,36.5,33.5,34.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,33.5
2023-03-22,34.6,38.3,34.2,38.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.2
2023-03-23,38.0,38.6,35.0,35.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.0
2023-03-24,35.9,36.1,34.7,35.5,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.7
2023-03-25,35.5,36.9,35.2,36.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.2
2023-03-26,36.2,37.4,34.5,35.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.5
2023-03-27,35.9,37.2,35.4,36.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.4
2023-03-28,36.4,38.1,36.2,37.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.2
2023-03-29,37.2,38.0,36.1,37.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.1
2023-03-30,37.8,39.3,37.4,38.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.4
2023-03-31,38.8,38.9,37.3,38.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.3
2023-04-01,38.2,38.3,35.9,36.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.9
2023-04-02,36.5,37.2,35.0,36.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.0
2023-04-03,36.4,38.0,36.1,37.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.1
2023-04-04,37.7,38.7,37.4,38.0,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.4
2023-04-05,38.0,38.2,37.0,37.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.0
2023-04-06,37.7,39.0,36.6,37.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.6
2023-04-07,37.8,38.8,37.4,38.4,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.4
2023-04-08,38.4,40.1,37.5,39.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.5
2023-04-09,39.7,40.0,38.2,39.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,38.2
2023-04-10,39.6,41.2,39.0,39.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,39.0
2023-04-11,39.8,39.9,38.1,39.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,38.1
2023-04-12,39.7,42.2,39.5,41.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,39.5
2023-04-13,41.2,42.8,40.6,42.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,40.6
2023-04-14,42.1,43.3,41.1,42.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,41.1
2023-04-15,42.8,43.3,41.9,42.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,41.9
2023-04-16,42.6,42.7,41.3,41.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,41.3
2023-04-17,41.6,43.2,41.0,42.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,41.0
2023-04-18,42.6,42.7,37.2,38.2,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.2
2023-04-19,38.2,38.9,36.8,37.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.8
2023-04-20,37.7,38.5,35.6,36.6,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.6
2023-04-21,36.6,37.8,36.2,37.7,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.2
2023-04-22,37.8,37.9,35.5,37.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.5
2023-04-23,37.1,37.7,35.9,36.9,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.9
2023-04-24,36.9,37.5,35.6,37.3,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,35.6
2023-04-25,37.4,39.3,34.7,36.5,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,34.7
2023-04-26,36.5,38.7,36.2,38.1,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,36.2
2023-04-27,38.1,38.3,37.2,37.8,high,False,,,,,,,,51.3,,,,7,28.728,26.676,23.598,21.033,17.955,14.364,10.773,,B7,10.773,37.2
