Rank,Symbol,Name,MarketCap(USD)
1,BTCUSDT,Bitcoin,2145443814236.0
2,ETHUSDT,Ethereum,473007168533.0
3,USDTUSDT,Tether,181961889554.0
5,XRPUSDT,XRP,142310676261.0
6,SOLUSDT,Solana,103285027282.0
7,USDCUSDT,USDC,75941587952.0
9,TRXUSDT,TRON,30131682436.0
10,DOGEUSDT,Dogecoin,29369634745.0
11,ADAUSDT,Cardano,23478395968.0
15,FIGR_HELOCUSDT,Figure Heloc,13083031175.0
16,USDEUSDT,Ethena USDe,12085869312.0
17,LINKUSDT,Chainlink,11946268782.0
19,HYPEUSDT,Hyperliquid,10122654001.0
20,XLMUSDT,Stellar,10094674713.0
21,SUIUSDT,Sui,9398506627.0
22,BCHUSDT,Bitcoin Cash,9393998369.0
25,AVAXUSDT,Avalanche,8727173083.0
26,LEOUSDT,LEO Token,8694792021.0
27,USDSUSDT,USDS,8482841418.0
28,USDT0USDT,USDT0,7720985919.0
30,LTCUSDT,Litecoin,7140193157.0
31,HBARUSDT,Hedera,7089573574.0
32,WBTUSDT,WhiteBIT Coin,5935573167.0
33,SHIBUSDT,Shiba Inu,5904606537.0
34,XMRUSDT,Monero,5819624173.0
35,MNTUSDT,Mantle,5768822618.0
36,SUSDEUSDT,Ethena Staked USDe,5558232667.0
37,TONUSDT,Toncoin,5533483485.0
38,CROUSDT,Cronos,5243666227.0
39,DAIUSDT,Dai,4631642956.0
40,DOTUSDT,Polkadot,4533184857.0
41,TAOUSDT,Bittensor,4307334833.0
42,UNIUSDT,Uniswap,3688763612.0
43,WLFIUSDT,World Liberty Financial,3566898828.0
45,ZECUSDT,Zcash,3550605722.0
44,OKBUSDT,OKB,3549885858.0
47,AAVEUSDT,Aave,3357355330.0
48,MUSDT,MemeCore,3290999730.0
49,BGBUSDT,Bitget Token,3271728269.0
50,PEPEUSDT,Pepe,2884291319.0
51,BUIDLUSDT,BlackRock USD Institutional Digital Liquidity Fund,2850442376.0
52,NEARUSDT,NEAR Protocol,2771851875.0
53,PYUSDUSDT,PayPal USD,2739305700.0
55,JITOSOLUSDT,Jito Staked SOL,2721577739.0
56,SUSDSUSDT,sUSDS,2655870336.0
57,C1USDUSDT,Currency One USD,2550083098.0
58,ETCUSDT,Ethereum Classic,2399092050.0
59,ASTERUSDT,Aster,2383399724.0
61,ONDOUSDT,Ondo,2295101040.0
62,APTUSDT,Aptos,2270546785.0
64,USDFUSDT,Falcon USD,2212702773.0
63,XAUTUSDT,Tether Gold,2212200760.0
65,JLPUSDT,Jupiter Perpetuals Liquidity Provider Token,2112285661.0
66,POLUSDT,POL (ex-MATIC),2018769788.0
67,WLDUSDT,Worldcoin,1994040660.0
68,GTUSDT,Gate,1871846595.0
69,HTXUSDT,HTX DAO,1868877452.0
70,USDTBUSDT,USDtb,1829446455.0
71,HASHUSDT,Provenance Blockchain,1776309104.0
72,IPUSDT,Story,1762352184.0
73,RETHUSDT,Rocket Pool ETH,1751555384.0
75,ARBUSDT,Arbitrum,1726877885.0
74,KCSUSDT,KuCoin,1725071812.0
78,PIUSDT,Pi Network,1696924547.0
79,ICPUSDT,Internet Computer,1652375217.0
80,ALGOUSDT,Algorand,1618222202.0
81,COAIUSDT,ChainOpera AI,1570846456.0
82,RSETHUSDT,Kelp DAO Restaked ETH,1554436592.0
83,ATOMUSDT,Cosmos Hub,1521276801.0
84,VETUSDT,VeChain,1505332364.0
85,OSETHUSDT,StakeWise Staked ETH,1485337192.0
87,KHYPEUSDT,Kinetiq Staked HYPE,1433346653.0
88,LSETHUSDT,Liquid Staked ETH,1400009808.0
89,PENGUUSDT,Pudgy Penguins,1387132801.0
90,SKYUSDT,Sky,1384825531.0
91,KASUSDT,Kaspa,1368269953.0
92,PUMPUSDT,Pump.fun,1365388807.0
93,PAXGUSDT,PAX Gold,1359096138.0
94,FLRUSDT,Flare,1327166777.0
95,RENDERUSDT,Render,1307422618.0
96,LBTCUSDT,Lombard Staked BTC,1290804226.0
97,EZETHUSDT,Renzo Restaked ETH,1256931894.0
98,SYRUPUSDCUSDT,Syrup USDC,1240489530.0
99,SEIUSDT,Sei,1214053587.0
100,QNTUSDT,Quant,1198592052.0
101,TRUMPUSDT,Official Trump,1182817806.0
102,NEXOUSDT,NEXO,1168215047.0
104,BONKUSDT,Bonk,1118962230.0
105,JUPUSDT,Jupiter,1095099924.0
106,SOLVBTCUSDT,Solv Protocol BTC,1086086733.0
107,XDCUSDT,XDC Network,1069605991.0
108,FILUSDT,Filecoin,1056900377.0
109,MORPHOUSDT,Morpho,1037130942.0
110,FDUSDUSDT,First Digital USD,1009765744.0
111,CAKEUSDT,PancakeSwap,997653594.0
112,IMXUSDT,Immutable,982007475.0
113,METHUSDT,Mantle Staked Ether,976941157.0
114,JUPSOLUSDT,Jupiter Staked SOL,934640661.0
115,SPXUSDT,SPX6900,901618323.0
116,USDGUSDT,Global Dollar,891555226.0
