date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-10-09,0.09632,0.10255,0.09485,0.10129,none,0.09485,,,,
2020-10-10,0.10133,0.11151,0.10133,0.10493,none,0.09485,,,,
2020-10-11,0.10488,0.10899,0.10415,0.10648,none,0.09485,,,,
2020-10-12,0.10652,0.11369,0.10216,0.10945,none,0.09485,,,,
2020-10-13,0.10951,0.11428,0.10751,0.10925,none,0.09485,,,,
2020-10-14,0.10927,0.11238,0.10519,0.10703,none,0.09485,,,,
2020-10-15,0.10703,0.10782,0.10441,0.10666,none,0.09485,,,,
2020-10-16,0.10664,0.10733,0.10218,0.10414,none,0.09485,,,,
2020-10-17,0.10415,0.10739,0.10316,0.10598,none,0.09485,,,,
2020-10-18,0.10589,0.10761,0.10501,0.10735,none,0.09485,,,,
2020-10-19,0.10737,0.1111,0.10598,0.10859,none,0.09485,,,,
2020-10-20,0.10856,0.10883,0.10058,0.10238,none,0.09485,,,,
2020-10-21,0.10237,0.10858,0.10128,0.10589,none,0.09485,,,,
2020-10-22,0.10585,0.11279,0.10507,0.11077,none,0.09485,,,,
2020-10-23,0.11075,0.11228,0.10515,0.10805,none,0.09485,,,,
2020-10-24,0.10801,0.1099,0.10726,0.10797,none,0.09485,,,,
2020-10-25,0.10795,0.10879,0.10603,0.10639,none,0.09485,,,,
2020-10-26,0.1064,0.1076,0.09892,0.10306,none,0.09485,,,,
2020-10-27,0.103,0.10568,0.10178,0.10256,none,0.09485,,,,
2020-10-28,0.10254,0.10331,0.09501,0.09869,none,0.09485,,,,
2020-10-29,0.09872,0.10082,0.09484,0.09531,none,0.09484,,,,
2020-10-30,0.09527,0.09569,0.08915,0.0933,none,0.08915,,,,
2020-10-31,0.09326,0.09555,0.09196,0.093,none,0.08915,,,,
2020-11-01,0.09296,0.09868,0.09241,0.09827,none,0.08915,,,,
2020-11-02,0.09827,0.10004,0.09151,0.09221,none,0.08915,,,,
2020-11-03,0.09222,0.09417,0.08793,0.09357,none,0.08793,,,,
2020-11-04,0.0936,0.09628,0.09155,0.0955,none,0.08793,,,,
2020-11-05,0.09553,0.0981,0.09207,0.09752,none,0.08793,,,,
2020-11-06,0.09749,0.11,0.09706,0.1091,none,0.08793,,,,
2020-11-07,0.10912,0.11387,0.09861,0.10128,none,0.08793,,,,
2020-11-08,0.10131,0.10832,0.0997,0.10655,none,0.08793,,,,
2020-11-09,0.10652,0.10799,0.10114,0.10561,none,0.08793,,,,
2020-11-10,0.10555,0.10915,0.10355,0.1059,none,0.08793,,,,
2020-11-11,0.1059,0.1089,0.10541,0.10599,none,0.08793,,,,
2020-11-12,0.10597,0.10667,0.10254,0.1046,none,0.08793,,,,
2020-11-13,0.10462,0.10798,0.10401,0.10629,none,0.08793,,,,
2020-11-14,0.10633,0.1073,0.10142,0.10411,none,0.08793,,,,
2020-11-15,0.10411,0.10527,0.0985,0.10046,none,0.08793,,,,
2020-11-16,0.10045,0.10499,0.0995,0.10387,none,0.08793,,,,
2020-11-17,0.10387,0.11246,0.10354,0.10947,none,0.08793,,,,
2020-11-18,0.10944,0.11161,0.10171,0.10658,none,0.08793,,,,
2020-11-19,0.10662,0.10816,0.10435,0.1059,none,0.08793,,,,
2020-11-20,0.1059,0.119,0.10549,0.11828,none,0.08793,,,,
2020-11-21,0.11826,0.13472,0.11605,0.13334,none,0.08793,,,,
2020-11-22,0.13335,0.15352,0.12,0.14599,none,0.08793,,,,
2020-11-23,0.14593,0.15925,0.141,0.15445,none,0.08793,,,,
2020-11-24,0.15451,0.183,0.15,0.16721,high,0.08793,0.183,,,START_+98.5%_H=p
2020-11-25,0.16722,0.17549,0.14702,0.15473,high,0.08793,0.183,0.183,0.10248,
2020-11-26,0.15474,0.16085,0.1123,0.13843,high,0.08793,0.183,0.183,0.10248,
2020-11-27,0.13835,0.14559,0.1307,0.14178,high,0.08793,0.183,0.183,0.10248,
2020-11-28,0.14178,0.17233,0.13878,0.16489,high,0.08793,0.183,0.183,0.10248,
2020-11-29,0.16487,0.17136,0.15712,0.16663,high,0.08793,0.183,0.183,0.10248,
2020-11-30,0.16666,0.17399,0.16011,0.17204,high,0.08793,0.183,0.183,0.10248,
2020-12-01,0.17207,0.17456,0.14132,0.15562,high,0.08793,0.183,0.183,0.10248,
2020-12-02,0.15554,0.15997,0.15065,0.15845,high,0.08793,0.183,0.183,0.10248,
