universe,symbol,name,error
COIN,SUIUSDT,Sui,'str' object has no attribute 'read_text'
COIN,BTCUSDT,Bitcoin,'str' object has no attribute 'read_text'
COIN,XRPUSDT,XRP,'str' object has no attribute 'read_text'
COIN,BNBUSDT,BNB,'str' object has no attribute 'read_text'
COIN,SOLUSDT,Solana,'str' object has no attribute 'read_text'
COIN,ETHUSDT,Ethereum,'str' object has no attribute 'read_text'
COIN,TRXUSDT,TRON,'str' object has no attribute 'read_text'
COIN,DOGEUSDT,Dogecoin,'str' object has no attribute 'read_text'
COIN,LINKUSDT,Chainlink,'str' object has no attribute 'read_text'
COIN,ADAUSDT,Cardano,'str' object has no attribute 'read_text'
COIN,AVAXUSDT,Avalanche,'str' object has no attribute 'read_text'
COIN,TONUSDT,Toncoin,'str' object has no attribute 'read_text'
COIN,ENAUSDT,Ethena,'str' object has no attribute 'read_text'
COIN,PEPEUSDT,Pepe,'str' object has no attribute 'read_text'
COIN,XLMUSDT,Stellar,'str' object has no attribute 'read_text'
COIN,TAOUSDT,Bittensor,'str' object has no attribute 'read_text'
COIN,BCHUSDT,Bitcoin Cash,'str' object has no attribute 'read_text'
COIN,ONDOUSDT,Ondo,'str' object has no attribute 'read_text'
COIN,HBARUSDT,Hedera,'str' object has no attribute 'read_text'
COIN,LTCUSDT,Litecoin,'str' object has no attribute 'read_text'
COIN,BNSOLUSDT,Binance Staked SOL,'str' object has no attribute 'read_text'
COIN,UNIUSDT,Uniswap,'str' object has no attribute 'read_text'
COIN,APTUSDT,Aptos,'str' object has no attribute 'read_text'
COIN,USD1USDT,USD1,'str' object has no attribute 'read_text'
COIN,SHIBUSDT,Shiba Inu,'str' object has no attribute 'read_text'
COIN,AAVEUSDT,Aave,'str' object has no attribute 'read_text'
COIN,POLUSDT,POL (ex-MATIC),'str' object has no attribute 'read_text'
COIN,DOTUSDT,Polkadot,'str' object has no attribute 'read_text'
COIN,NEARUSDT,NEAR Protocol,'str' object has no attribute 'read_text'
COIN,ETCUSDT,Ethereum Classic,'str' object has no attribute 'read_text'
