universe,symbol,name,market_cap,last_price,mode,in_position,stage,next_buy_level,next_buy_price,pct_to_next_buy,pct_to_next_buy_abs,H,L_now,drawdown_from_H_pct,rebound_from_L_pct,buy_allowed_today,sell_restricted,notes
COIN,BTCUSDT,Bitcoin,2452341819697.0,122986.33,high,N,0,B7,2243.1927,-98.176,98.176,10681.87,,1051.356,,,,
COIN,ETHUSDT,Ethereum,547663832867.0,4529.31,high,N,0,B7,71.9985,-98.41,98.41,342.85,,1221.076,,,,
COIN,XRPUSDT,XRP,179767889454.0,2.9969,high,N,0,B7,0.052796,-98.238,98.238,0.25141,,1092.037,,,,
COIN,BNBUSDT,BNB,161986352349.0,1161.33,high,N,0,B7,5.858265,-99.496,99.496,27.8965,,4062.995,,,,
COIN,SOLUSDT,Solana,125554851841.0,229.86,high,N,0,B7,0.505743,-99.78,99.78,2.4083,,9444.492,,,,
COIN,DOGEUSDT,Dogecoin,38728304591.0,0.25551,high,N,0,B7,0.000548,-99.785,99.785,0.002611,,9685.531,,,,
COIN,TRXUSDT,TRON,32387303289.0,0.342,high,N,0,B7,0.005389,-98.424,98.424,0.02566,,1232.814,,,,
COIN,ADAUSDT,Cardano,31179785543.0,0.8508,high,N,0,B7,0.019843,-97.668,97.668,0.09449,,800.413,,,,
COIN,LINKUSDT,Chainlink,15281741954.0,22.51,high,N,0,B7,1.8921,-91.594,91.594,9.01,,149.834,,,,
COIN,SUIUSDT,Sui,13028930390.0,3.5866,high,N,0,B7,0.42,-88.29,88.29,2.0,,79.33,,,,
COIN,AVAXUSDT,Avalanche,12761779827.0,30.19,high,N,0,B7,0.744702,-97.533,97.533,3.5462,,751.334,,,,
COIN,XLMUSDT,Stellar,12759919497.0,0.3979,high,N,0,B7,0.015393,-96.131,96.131,0.0733,,442.838,,,,
COIN,BCHUSDT,Bitcoin Cash,11889926491.0,595.9,high,N,0,B7,47.1723,-92.084,92.084,224.63,,165.281,,,,
COIN,HBARUSDT,Hedera,9294400996.0,0.21846,high,N,0,B7,0.006411,-97.065,97.065,0.03053,,615.558,,,,
COIN,LTCUSDT,Litecoin,9146314838.0,119.55,high,N,0,B7,9.8616,-91.751,91.751,46.96,,154.578,,,,
COIN,SHIBUSDT,Shiba Inu,7449579344.0,1.3e-05,wait,Y,7,B7,1e-05,-16.799,16.799,5e-05,1e-05,-74.76,29.283,,,cutoff
COIN,TONUSDT,Toncoin,7091241525.0,2.809,wait,Y,4,B7,1.3587,-51.63,51.63,6.47,2.354,-56.584,21.793,,,cutoff
COIN,DOTUSDT,Polkadot,6453188692.0,4.23,high,N,0,B7,0.818244,-80.656,80.656,3.8964,,8.562,,,,
COIN,UNIUSDT,Uniswap,4911806461.0,8.163,high,N,0,B7,0.63,-92.282,92.282,3.0,,172.1,,,,
COIN,AAVEUSDT,Aave,4426991553.0,289.32,high,N,0,B7,12.39,-95.718,95.718,59.0,,390.373,,,,
COIN,ENAUSDT,Ethena,4333082430.0,0.6029,high,N,0,B7,0.19173,-68.199,68.199,0.913,,-33.965,,,,
COIN,PEPEUSDT,Pepe,4222504139.0,1e-05,high,N,0,B7,1e-06,-90.772,90.772,4e-06,,127.563,,,,
COIN,APTUSDT,Aptos,3880172201.0,5.512,wait,N,0,-,,,,100.0,3.747,-94.488,,,,
COIN,NEARUSDT,NEAR Protocol,3772870981.0,3.008,high,N,0,B7,0.3948,-86.875,86.875,1.88,,60.0,,,,
COIN,TAOUSDT,Bittensor,3095108750.0,321.6,wait,Y,6,B7,262.29,-18.442,18.442,1249.0,287.5,-74.251,14.087,,,
COIN,ETCUSDT,Ethereum Classic,3040202369.0,19.71,high,N,0,B7,1.10334,-94.402,94.402,5.254,,275.143,,,,
COIN,ONDOUSDT,Ondo,2941057738.0,0.9298,high,N,0,B7,0.195027,-79.025,79.025,0.9287,,0.118,,,,
COIN,BNSOLUSDT,Binance Staked SOL,2823603262.0,247.4,high,N,0,B7,35.28,-85.74,85.74,168.0,,47.262,,,,
COIN,USD1USDT,USD1,2682474924.0,0.9994,high,N,0,B7,0.2163,-78.357,78.357,1.03,,-2.971,,,,
COIN,POLUSDT,POL (ex-MATIC),2514876424.0,0.2385,wait,Y,7,B7,0.21,-11.95,11.95,1.0,0.1519,-76.15,61.883,,,cutoff
