universe,symbol,name,error
COIN,BTCUSDT,Bitcoin,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,ETHUSDT,Ethereum,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,XRPUSDT,XRP,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,BNBUSDT,BNB,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,SOLUSDT,Solana,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,DOGEUSDT,Dogecoin,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,WBETHUSDT,Wrapped Beacon ETH,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,TRXUSDT,TRON,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,ADAUSDT,Cardano,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,LINKUSDT,Chainlink,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,USDCUSDT,USDC,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,USDEUSDT,Ethena USDe,Too few rows for USDEUSDT: 27
COIN,WBTCUSDT,Wrapped Bitcoin,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,XLMUSDT,Stellar,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,SUIUSDT,Sui,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,AVAXUSDT,Avalanche,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,BCHUSDT,Bitcoin Cash,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,HBARUSDT,Hedera,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,SHIBUSDT,Shiba Inu,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,LTCUSDT,Litecoin,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,WLFIUSDT,World Liberty Financial,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,TONUSDT,Toncoin,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,DOTUSDT,Polkadot,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,UNIUSDT,Uniswap,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,AAVEUSDT,Aave,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,PEPEUSDT,Pepe,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,ENAUSDT,Ethena,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,APTUSDT,Aptos,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
COIN,NEARUSDT,NEAR Protocol,"run_phase1_5_simulation() missing 3 required positional arguments: 'ohlc', 'seed_H', and 'out_csv'"
