date,open,high,low,close,position,stage,L,rebound_pct,trigger_pct,event,last_sell_trigger_price,allowed_buys_count
2020-09-09,0.0027455,0.002805,0.0026863,0.002779,True,1,0.0026863,3.450843,7.7,BUY_FULL@B1,,7
2020-09-10,0.0027779,0.002848,0.0027522,0.0028077,True,1,0.0026863,4.519227,7.7,,,7
2020-09-11,0.002806,0.00282,0.0027364,0.0027956,True,1,0.0026863,4.068794,7.7,,,7
2020-09-12,0.0027952,0.0028321,0.00276,0.0028141,True,1,0.0026863,4.757473,7.7,,,7
2020-09-13,0.002814,0.0028199,0.0027403,0.002783,True,1,0.0026863,3.599747,7.7,,,7
2020-09-14,0.0027836,0.0028143,0.0027334,0.0027851,True,1,0.0026863,3.677921,7.7,,,7
2020-09-15,0.0027876,0.0028699,0.0027751,0.0028278,True,1,0.0026863,5.267468,7.7,,,7
2020-09-16,0.002827,0.00285,0.00278,0.0028053,True,1,0.0026863,4.429885,7.7,,,7
2020-09-17,0.0028079,0.0028577,0.0027625,0.0028078,True,1,0.0026863,4.52295,7.7,,,7
2020-09-18,0.0028047,0.002815,0.0027468,0.0027892,True,1,0.0026863,3.830548,7.7,,,7
2020-09-19,0.0027876,0.0028099,0.0027635,0.0027901,True,1,0.0026863,3.864051,7.7,,,7
2020-09-20,0.0027918,0.0028009,0.0027234,0.0027729,True,1,0.0026863,3.223765,7.7,,,7
2020-09-21,0.0027732,0.0028035,0.0025688,0.0025972,True,1,0.0025688,1.105575,7.7,,,7
2020-09-22,0.0025946,0.0026588,0.0025802,0.0026432,True,1,0.0025688,2.896294,7.7,,,7
2020-09-23,0.002641,0.0026493,0.0025364,0.0025444,True,1,0.0025364,0.315408,7.7,,,7
2020-09-24,0.0025403,0.0026612,0.0025277,0.0026297,True,1,0.0025277,4.035289,7.7,,,7
2020-09-25,0.0026297,0.0027192,0.0026146,0.0027015,True,1,0.0025277,6.875816,7.7,,,7
2020-09-26,0.0027044,0.002761,0.0026724,0.0026972,True,1,0.0025277,6.705701,7.7,,,7
2020-09-27,0.0026973,0.0027351,0.0026581,0.0026954,True,1,0.0025277,6.63449,7.7,,,7
2020-09-28,0.0026989,0.002744,0.0026183,0.0026504,True,1,0.0025277,4.854215,7.7,,,7
2020-09-29,0.0026474,0.0027049,0.0026307,0.0026727,True,1,0.0025277,5.73644,7.7,,,7
2020-09-30,0.0026726,0.0026767,0.0026158,0.002635,True,1,0.0025277,4.244966,7.7,,,7
2020-10-01,0.0026361,0.002682,0.0025575,0.0026246,True,1,0.0025277,3.833525,7.7,,,7
2020-10-02,0.0026272,0.0026273,0.0025307,0.0025902,True,1,0.0025277,2.472604,7.7,,,7
2020-10-03,0.0025902,0.002637,0.0025737,0.0025955,True,1,0.0025277,2.68228,7.7,,,7
2020-10-04,0.0025964,0.00268,0.0025893,0.002633,True,1,0.0025277,4.165842,7.7,,,7
2020-10-05,0.0026328,0.0026577,0.0025983,0.0026182,True,1,0.0025277,3.58033,7.7,,,7
2020-10-06,0.00262,0.0026285,0.0025687,0.002597,True,1,0.0025277,2.741623,7.7,,,7
2020-10-07,0.0025969,0.0026111,0.002556,0.0025895,True,1,0.0025277,2.44491,7.7,,,7
2020-10-08,0.0025881,0.00263,0.002541,0.0026098,True,1,0.0025277,3.248012,7.7,,,7
2020-10-09,0.0026097,0.0026701,0.0025891,0.0026556,True,1,0.0025277,5.059936,7.7,,,7
2020-10-10,0.002657,0.0027291,0.0026472,0.0026621,True,1,0.0025277,5.317087,7.7,,,7
2020-10-11,0.0026583,0.0027065,0.0026499,0.0026701,True,1,0.0025277,5.63358,7.7,,,7
2020-10-12,0.0026711,0.0027069,0.0026251,0.002667,True,1,0.0025277,5.510939,7.7,,,7
2020-10-13,0.0026669,0.0026745,0.0026285,0.0026385,True,1,0.0025277,4.383432,7.7,,,7
2020-10-14,0.0026353,0.0026609,0.0026173,0.002639,True,1,0.0025277,4.403212,7.7,,,7
2020-10-15,0.002639,0.0026391,0.0025648,0.0025953,True,1,0.0025277,2.674368,7.7,,,7
2020-10-16,0.0025953,0.0026243,0.0025511,0.002604,True,1,0.0025277,3.018554,7.7,,,7
2020-10-17,0.0026029,0.0026091,0.0025733,0.0025834,True,1,0.0025277,2.203584,7.7,,,7
2020-10-18,0.0025842,0.0026055,0.00258,0.0025874,True,1,0.0025277,2.361831,7.7,,,7
2020-10-19,0.0025884,0.002622,0.002569,0.0025921,True,1,0.0025277,2.547771,7.7,,,7
2020-10-20,0.002592,0.0026252,0.0025792,0.0025944,True,1,0.0025277,2.638763,7.7,,,7
2020-10-21,0.0025956,0.00266,0.002593,0.002623,True,1,0.0025277,3.770226,7.7,,,7
2020-10-22,0.002623,0.002693,0.0026159,0.002646,True,1,0.0025277,4.680144,7.7,,,7
2020-10-23,0.0026453,0.0026889,0.0026225,0.0026423,True,1,0.0025277,4.533766,7.7,,,7
2020-10-24,0.0026423,0.002647,0.00261,0.0026365,True,1,0.0025277,4.304308,7.7,,,7
2020-10-25,0.0026354,0.0026749,0.002617,0.0026528,True,1,0.0025277,4.949163,7.7,,,7
2020-10-26,0.0026529,0.0029115,0.002632,0.002665,True,1,0.0025277,5.431815,7.7,,,7
2020-10-27,0.0026658,0.0027076,0.002615,0.0026702,True,1,0.0025277,5.637536,7.7,,,7
2020-10-28,0.0026719,0.0026907,0.0025628,0.0025801,True,1,0.0025277,2.073031,7.7,,,7
2020-10-29,0.00258,0.0026117,0.0025061,0.0025733,True,1,0.0025061,2.681457,7.7,,,7
2020-10-30,0.0025726,0.0026002,0.002501,0.0025833,True,1,0.002501,3.290684,7.7,,,7
2020-10-31,0.0025833,0.0026004,0.00255,0.0025666,True,1,0.002501,2.622951,7.7,,,7
2020-11-01,0.0025676,0.002586,0.0025521,0.0025745,True,1,0.002501,2.938824,7.7,,,7
2020-11-02,0.0025765,0.0025887,0.0025065,0.0025162,True,1,0.002501,0.607757,7.7,,,7
2020-11-03,0.0025164,0.002531,0.0024519,0.0025141,True,1,0.0024519,2.536808,7.7,,,7
2020-11-04,0.0025189,0.002565,0.002486,0.002546,True,1,0.0024519,3.83784,7.7,,,7
2020-11-05,0.0025467,0.0026769,0.0025467,0.0026347,True,1,0.0024519,7.455443,7.7,,,7
2020-11-06,0.002635,0.0028201,0.0026298,0.002757,False,,,,7.7,SELL_FULL@S1,0.002757,0
2020-11-07,0.0027578,0.0028424,0.002592,0.00267,False,,,,,,0.002757,0
2020-11-08,0.0026724,0.002739,0.0026513,0.002707,False,,,,,,0.002757,0
2020-11-09,0.002707,0.0028095,0.002657,0.002672,False,,,,,,0.002757,0
2020-11-10,0.0026671,0.0029198,0.0026536,0.002761,False,,,,,,0.002757,0
2020-11-11,0.0027601,0.00295,0.0027419,0.002758,False,,,,,,0.002757,0
2020-11-12,0.00276,0.002802,0.0027253,0.0027788,False,,,,,,0.002757,0
2020-11-13,0.0027791,0.0028483,0.0027666,0.0028114,False,,,,,,0.002757,0
2020-11-14,0.0028156,0.0028239,0.002708,0.0027689,False,,,,,,0.002757,0
2020-11-15,0.0027731,0.0028285,0.0027221,0.0027718,False,,,,,,0.002757,0
2020-11-16,0.0027715,0.0030452,0.0027522,0.00289,False,,,,,,0.002757,0
2020-11-17,0.0028936,0.0030094,0.0028832,0.0029398,False,,,,,,0.002757,0
2020-11-18,0.0029385,0.003021,0.00281,0.0029085,False,,,,,,0.002757,0
2020-11-19,0.002909,0.0029689,0.0028549,0.0029068,False,,,,,,0.002757,0
2020-11-20,0.0029096,0.0030245,0.0029005,0.002987,False,,,,,,0.002757,0
2020-11-21,0.0029872,0.0036062,0.0029796,0.0035132,False,,,,,,0.002757,0
2020-11-22,0.0035091,0.00369,0.0031507,0.0033415,False,,,,,,0.002757,0
2020-11-23,0.0033416,0.0037,0.0032201,0.0036845,False,,,,,,0.002757,0
2020-11-24,0.0036894,0.0042925,0.0035,0.0042592,False,,,,,,0.002757,0
2020-11-25,0.0042589,0.0042978,0.003581,0.0037081,False,,,,,,0.002757,0
2020-11-26,0.0037139,0.0037979,0.0029395,0.0032492,False,,,,,,0.002757,0
2020-11-27,0.003256,0.0033656,0.0030763,0.0032752,False,,,,,,0.002757,0
2020-11-28,0.0032752,0.0034841,0.003236,0.0033945,False,,,,,,0.002757,0
2020-11-29,0.0033946,0.0035384,0.00335,0.0034365,False,,,,,,0.002757,0
2020-11-30,0.0034427,0.0035955,0.0034001,0.003561,False,,,,,,0.002757,0
2020-12-01,0.0035597,0.00358,0.0032276,0.0033211,False,,,,,,0.002757,0
2020-12-02,0.003324,0.0034423,0.0032642,0.0033624,False,,,,,,0.002757,0
2020-12-03,0.003365,0.0035481,0.003345,0.003429,False,,,,,,0.002757,0
2020-12-04,0.003423,0.0034484,0.0032705,0.003283,False,,,,,,0.002757,0
2020-12-05,0.0032821,0.0034153,0.00325,0.0033917,False,,,,,,0.002757,0
2020-12-06,0.003392,0.0034424,0.0033461,0.0033857,False,,,,,,0.002757,0
2020-12-07,0.0033881,0.0033985,0.0033,0.003336,False,,,,,,0.002757,0
2020-12-08,0.003336,0.0033624,0.0031105,0.0031723,False,,,,,,0.002757,0
2020-12-09,0.0031725,0.0031851,0.0030037,0.0031562,False,,,,,,0.002757,0
2020-12-10,0.0031563,0.003171,0.003059,0.0031043,False,,,,,,0.002757,0
2020-12-11,0.0031091,0.0031171,0.0029969,0.0030732,False,,,,,,0.002757,0
2020-12-12,0.0030732,0.00319,0.0030732,0.0031609,False,,,,,,0.002757,0
2020-12-13,0.0031631,0.0032776,0.0031479,0.00326,False,,,,,,0.002757,0
2020-12-14,0.0032604,0.0032888,0.003191,0.003226,False,,,,,,0.002757,0
2020-12-15,0.003225,0.0032516,0.0031611,0.0032078,False,,,,,,0.002757,0
2020-12-16,0.0032073,0.0034448,0.00318,0.0034183,False,,,,,,0.002757,0
2020-12-17,0.0034179,0.0041458,0.003404,0.003722,False,,,,,,0.002757,0
2020-12-18,0.0037182,0.0039976,0.0035975,0.0038675,False,,,,,,0.002757,0
2020-12-19,0.0038646,0.0040379,0.0037952,0.0039291,False,,,,,,0.002757,0
2020-12-20,0.0039264,0.0047496,0.0038,0.0046381,False,,,,,,0.002757,0
2020-12-21,0.0046405,0.0055,0.004255,0.0047784,False,,,,,,0.002757,0
2020-12-22,0.0047747,0.0048479,0.00433,0.0045159,False,,,,,,0.002757,0
2020-12-23,0.0045168,0.0048,0.003623,0.0037449,False,,,,,,0.002757,0
