date,symbol,action,cand_H,level,qty,price,note,pnl
2020-09-05,ADA,LADDER_CREATE,0.15464,,,,,
2020-09-05,ADA,BUY,,0.44,1.0,0.0865984,FILL,
2020-09-21,ADA,BUY,,0.48,1.0,0.0804128,FILL,
2020-11-22,ADA,SELL,,0.44,1.0,0.14599,CYCLE_RESET,0.0593916
2020-11-22,ADA,SELL,,0.48,1.0,0.14599,CYCLE_RESET,0.0655772
2021-05-19,ADA,LADDER_CREATE,2.47,,,,,
2021-05-19,ADA,BUY,,0.44,1.0,1.3832000000000002,FILL,
2021-05-19,ADA,BUY,,0.48,1.0,1.2844000000000002,FILL,
2021-05-19,ADA,BUY,,0.54,1.0,1.1362,FILL,
2021-05-19,ADA,BUY,,0.59,1.0,1.0127000000000002,FILL,
2021-08-13,ADA,SELL,,0.44,1.0,2.1386,CYCLE_RESET,0.7553999999999996
2021-08-13,ADA,SELL,,0.48,1.0,2.1386,CYCLE_RESET,0.8541999999999996
2021-08-13,ADA,SELL,,0.54,1.0,2.1386,CYCLE_RESET,1.0023999999999997
2021-08-13,ADA,SELL,,0.59,1.0,2.1386,CYCLE_RESET,1.1258999999999997
2021-11-18,ADA,LADDER_CREATE,3.101,,,,,
2021-11-18,ADA,BUY,,0.44,1.0,1.73656,FILL,
2021-11-24,ADA,BUY,,0.48,1.0,1.61252,FILL,
2021-11-28,ADA,BUY,,0.54,1.0,1.4264599999999998,FILL,
2021-12-04,ADA,BUY,,0.59,1.0,1.2714100000000002,FILL,
2022-01-10,ADA,BUY,,0.65,1.0,1.0853499999999998,FILL,
2022-02-21,ADA,BUY,,0.72,1.0,0.86828,FILL,
2022-05-09,ADA,BUY,,0.79,1.0,0.6512099999999998,FILL,
2023-12-06,ADA,SELL,,0.44,1.0,0.4429,CYCLE_RESET,-1.29366
2023-12-06,ADA,SELL,,0.48,1.0,0.4429,CYCLE_RESET,-1.1696199999999999
2023-12-06,ADA,SELL,,0.54,1.0,0.4429,CYCLE_RESET,-0.9835599999999998
2023-12-06,ADA,SELL,,0.59,1.0,0.4429,CYCLE_RESET,-0.8285100000000001
2023-12-06,ADA,SELL,,0.65,1.0,0.4429,CYCLE_RESET,-0.6424499999999997
2023-12-06,ADA,SELL,,0.72,1.0,0.4429,CYCLE_RESET,-0.42538000000000004
2023-12-06,ADA,SELL,,0.79,1.0,0.4429,CYCLE_RESET,-0.20830999999999983
2024-04-12,ADA,LADDER_CREATE,0.8104,,,,,
2024-04-12,ADA,BUY,,0.44,1.0,0.45382400000000006,FILL,
2024-04-13,ADA,BUY,,0.48,1.0,0.421408,FILL,
2024-06-18,ADA,BUY,,0.54,1.0,0.37278399999999995,FILL,
2024-07-05,ADA,BUY,,0.59,1.0,0.332264,FILL,
2024-08-05,ADA,BUY,,0.65,1.0,0.28364,FILL,
2024-11-10,ADA,SELL,,0.44,1.0,0.5901,CYCLE_RESET,0.1362759999999999
2024-11-10,ADA,SELL,,0.48,1.0,0.5901,CYCLE_RESET,0.16869199999999995
2024-11-10,ADA,SELL,,0.54,1.0,0.5901,CYCLE_RESET,0.217316
2024-11-10,ADA,SELL,,0.59,1.0,0.5901,CYCLE_RESET,0.25783599999999995
2024-11-10,ADA,SELL,,0.65,1.0,0.5901,CYCLE_RESET,0.30645999999999995
2025-02-03,ADA,LADDER_CREATE,1.3264,,,,,
2025-02-03,ADA,BUY,,0.44,1.0,0.7427840000000001,FILL,
2025-02-03,ADA,BUY,,0.48,1.0,0.689728,FILL,
2025-02-03,ADA,BUY,,0.54,1.0,0.6101439999999999,FILL,
2025-02-03,ADA,BUY,,0.59,1.0,0.5438240000000001,FILL,
2025-03-02,ADA,SELL,,0.44,1.0,1.135,CYCLE_RESET,0.3922159999999999
2025-03-02,ADA,SELL,,0.48,1.0,1.135,CYCLE_RESET,0.445272
2025-03-02,ADA,SELL,,0.54,1.0,1.135,CYCLE_RESET,0.5248560000000001
2025-03-02,ADA,SELL,,0.59,1.0,1.135,CYCLE_RESET,0.5911759999999999
2025-03-11,ADA,LADDER_CREATE,1.1747,,,,,
2025-03-11,ADA,BUY,,0.44,1.0,0.6578320000000001,FILL,
2025-04-06,ADA,BUY,,0.48,1.0,0.610844,FILL,
2025-04-07,ADA,BUY,,0.54,1.0,0.540362,FILL,
2025-08-14,ADA,SELL,,0.44,1.0,0.9258,CYCLE_RESET,0.2679679999999999
2025-08-14,ADA,SELL,,0.48,1.0,0.9258,CYCLE_RESET,0.3149559999999999
2025-08-14,ADA,SELL,,0.54,1.0,0.9258,CYCLE_RESET,0.38543799999999995
