date,symbol,action,cand_H,level,qty,price,note,pnl
2020-09-23,AVAX,LADDER_CREATE,7.0,,,,,
2020-09-23,AVAX,BUY,,0.44,1.0,3.9200000000000004,FILL,
2020-09-23,AVAX,BUY,,0.48,1.0,3.64,FILL,
2020-10-07,AVAX,BUY,,0.54,1.0,3.2199999999999998,FILL,
2020-12-09,AVAX,BUY,,0.59,1.0,2.87,FILL,
2021-01-08,AVAX,SELL,,0.44,1.0,5.7,CYCLE_RESET,1.7799999999999998
2021-01-08,AVAX,SELL,,0.48,1.0,5.7,CYCLE_RESET,2.06
2021-01-08,AVAX,SELL,,0.54,1.0,5.7,CYCLE_RESET,2.4800000000000004
2021-01-08,AVAX,SELL,,0.59,1.0,5.7,CYCLE_RESET,2.83
2021-02-10,AVAX,LADDER_CREATE,60.3035,,,,,
2021-02-10,AVAX,BUY,,0.44,1.0,33.769960000000005,FILL,
2021-02-10,AVAX,BUY,,0.48,1.0,31.35782,FILL,
2021-02-22,AVAX,BUY,,0.54,1.0,27.73961,FILL,
2021-02-23,AVAX,BUY,,0.59,1.0,24.724435000000003,FILL,
2021-04-23,AVAX,BUY,,0.65,1.0,21.106225,FILL,
2021-05-07,AVAX,SELL,,0.44,1.0,37.875,CYCLE_RESET,4.105039999999995
2021-05-07,AVAX,SELL,,0.48,1.0,37.875,CYCLE_RESET,6.51718
2021-05-07,AVAX,SELL,,0.54,1.0,37.875,CYCLE_RESET,10.135390000000001
2021-05-07,AVAX,SELL,,0.59,1.0,37.875,CYCLE_RESET,13.150564999999997
2021-05-07,AVAX,SELL,,0.65,1.0,37.875,CYCLE_RESET,16.768775
2021-05-19,AVAX,LADDER_CREATE,43.885,,,,,
2021-05-19,AVAX,BUY,,0.44,1.0,24.5756,FILL,
2021-05-19,AVAX,BUY,,0.48,1.0,22.8202,FILL,
2021-05-19,AVAX,BUY,,0.54,1.0,20.187099999999997,FILL,
2021-05-19,AVAX,BUY,,0.59,1.0,17.99285,FILL,
2021-05-23,AVAX,BUY,,0.65,1.0,15.359749999999998,FILL,
2021-05-23,AVAX,BUY,,0.72,1.0,12.2878,FILL,
2021-08-15,AVAX,SELL,,0.44,1.0,18.762,CYCLE_RESET,-5.813600000000001
2021-08-15,AVAX,SELL,,0.48,1.0,18.762,CYCLE_RESET,-4.058199999999999
2021-08-15,AVAX,SELL,,0.54,1.0,18.762,CYCLE_RESET,-1.425099999999997
2021-08-15,AVAX,SELL,,0.59,1.0,18.762,CYCLE_RESET,0.7691499999999998
2021-08-15,AVAX,SELL,,0.65,1.0,18.762,CYCLE_RESET,3.402250000000002
2021-08-15,AVAX,SELL,,0.72,1.0,18.762,CYCLE_RESET,6.4742
2021-09-07,AVAX,LADDER_CREATE,58.977,,,,,
2021-09-07,AVAX,BUY,,0.44,1.0,33.027120000000004,FILL,
2021-09-12,AVAX,SELL,,0.44,1.0,59.22,CYCLE_RESET,26.192879999999995
