date,symbol,action,cand_H,level,qty,price,note,pnl
2021-02-19,BNB,LADDER_CREATE,348.6969,,,,,
2021-02-19,BNB,BUY,,0.44,1.0,195.27026400000003,FILL,
2021-04-04,BNB,SELL,,0.44,1.0,348.8617,NEAR_H_EXIT,153.59143599999996
2021-05-19,BNB,LADDER_CREATE,691.77,,,,,
2021-05-19,BNB,BUY,,0.44,1.0,387.3912,FILL,
2021-05-19,BNB,BUY,,0.48,1.0,359.7204,FILL,
2021-05-19,BNB,BUY,,0.54,1.0,318.21419999999995,FILL,
2021-05-19,BNB,BUY,,0.59,1.0,283.6257,FILL,
2021-05-23,BNB,BUY,,0.65,1.0,242.1195,FILL,
2021-06-03,BNB,SELL,,0.44,1.0,428.48,CYCLE_RESET,41.08879999999999
2021-06-03,BNB,SELL,,0.48,1.0,428.48,CYCLE_RESET,68.75960000000003
2021-06-03,BNB,SELL,,0.54,1.0,428.48,CYCLE_RESET,110.26580000000007
2021-06-03,BNB,SELL,,0.59,1.0,428.48,CYCLE_RESET,144.85430000000002
2021-06-03,BNB,SELL,,0.65,1.0,428.48,CYCLE_RESET,186.36050000000003
2021-06-22,BNB,LADDER_CREATE,433.0,,,,,
2021-06-22,BNB,BUY,,0.44,1.0,242.48000000000002,FILL,
2021-08-19,BNB,SELL,,0.44,1.0,431.27,NEAR_H_EXIT,188.78999999999996
2022-01-21,BNB,LADDER_CREATE,669.3,,,,,
2022-01-21,BNB,BUY,,0.44,1.0,374.808,FILL,
2022-01-22,BNB,BUY,,0.48,1.0,348.036,FILL,
2022-05-09,BNB,BUY,,0.54,1.0,307.87799999999993,FILL,
2022-05-11,BNB,BUY,,0.59,1.0,274.413,FILL,
2022-05-12,BNB,BUY,,0.65,1.0,234.25499999999997,FILL,
2022-06-18,BNB,BUY,,0.72,1.0,187.404,FILL,
2022-11-08,BNB,SELL,,0.44,1.0,327.4,CYCLE_RESET,-47.408000000000015
2022-11-08,BNB,SELL,,0.48,1.0,327.4,CYCLE_RESET,-20.636000000000024
2022-11-08,BNB,SELL,,0.54,1.0,327.4,CYCLE_RESET,19.522000000000048
2022-11-08,BNB,SELL,,0.59,1.0,327.4,CYCLE_RESET,52.986999999999966
2022-11-08,BNB,SELL,,0.65,1.0,327.4,CYCLE_RESET,93.14500000000001
2022-11-08,BNB,SELL,,0.72,1.0,327.4,CYCLE_RESET,139.99599999999998
2022-12-17,BNB,LADDER_CREATE,398.3,,,,,
2022-12-17,BNB,BUY,,0.44,1.0,223.04800000000003,FILL,
2023-08-21,BNB,BUY,,0.48,1.0,207.116,FILL,
2024-02-26,BNB,SELL,,0.44,1.0,401.6,CYCLE_RESET,178.552
2024-02-26,BNB,SELL,,0.48,1.0,401.6,CYCLE_RESET,194.484
2024-08-05,BNB,LADDER_CREATE,721.8,,,,,
2024-08-05,BNB,BUY,,0.44,1.0,404.208,FILL,
2024-12-03,BNB,SELL,,0.44,1.0,734.64,NEAR_H_EXIT,330.43199999999996
