date,symbol,action,cand_H,level,qty,price,note,pnl
2021-05-19,BTC,LADDER_CREATE,64854.0,,,,,
2021-05-19,BTC,BUY,,0.44,1.0,36318.240000000005,FILL,
2021-05-19,BTC,BUY,,0.48,1.0,33724.08,FILL,
2021-06-22,BTC,BUY,,0.54,1.0,29832.839999999997,FILL,
2021-10-11,BTC,SELL,,0.44,1.0,57471.35,CYCLE_RESET,21153.109999999993
2021-10-11,BTC,SELL,,0.48,1.0,57471.35,CYCLE_RESET,23747.269999999997
2021-10-11,BTC,SELL,,0.54,1.0,57471.35,CYCLE_RESET,27638.510000000002
2022-01-21,BTC,LADDER_CREATE,69000.0,,,,,
2022-01-21,BTC,BUY,,0.44,1.0,38640.00000000001,FILL,
2022-01-21,BTC,BUY,,0.48,1.0,35880.0,FILL,
2022-05-09,BTC,BUY,,0.54,1.0,31739.999999999996,FILL,
2022-05-11,BTC,BUY,,0.59,1.0,28290.000000000004,FILL,
2022-06-13,BTC,BUY,,0.65,1.0,24150.0,FILL,
2022-06-18,BTC,BUY,,0.72,1.0,19320.000000000004,FILL,
2023-04-14,BTC,SELL,,0.44,1.0,30466.93,CYCLE_RESET,-8173.070000000007
2023-04-14,BTC,SELL,,0.48,1.0,30466.93,CYCLE_RESET,-5413.07
2023-04-14,BTC,SELL,,0.54,1.0,30466.93,CYCLE_RESET,-1273.069999999996
2023-04-14,BTC,SELL,,0.59,1.0,30466.93,CYCLE_RESET,2176.9299999999967
2023-04-14,BTC,SELL,,0.65,1.0,30466.93,CYCLE_RESET,6316.93
2023-04-14,BTC,SELL,,0.72,1.0,30466.93,CYCLE_RESET,11146.929999999997
