date,symbol,action,cand_H,level,qty,price,note,pnl
2020-07-13,DOGE,LADDER_CREATE,0.0055999,,,,,
2020-07-13,DOGE,BUY,,0.44,1.0,0.0031359440000000003,FILL,
2020-07-16,DOGE,BUY,,0.48,1.0,0.002911948,FILL,
2020-09-21,DOGE,BUY,,0.54,1.0,0.0025759539999999997,FILL,
2020-12-21,DOGE,SELL,,0.44,1.0,0.0047784,CYCLE_RESET,0.001642456
2020-12-21,DOGE,SELL,,0.48,1.0,0.0047784,CYCLE_RESET,0.0018664520000000002
2020-12-21,DOGE,SELL,,0.54,1.0,0.0047784,CYCLE_RESET,0.0022024460000000007
2021-01-02,DOGE,LADDER_CREATE,0.013988,,,,,
2021-01-02,DOGE,BUY,,0.44,1.0,0.007833280000000001,FILL,
2021-01-02,DOGE,BUY,,0.48,1.0,0.007273760000000001,FILL,
2021-01-02,DOGE,BUY,,0.54,1.0,0.006434479999999999,FILL,
2021-01-02,DOGE,BUY,,0.59,1.0,0.005735080000000001,FILL,
2021-01-03,DOGE,SELL,,0.44,1.0,0.0098209,CYCLE_RESET,0.001987619999999999
2021-01-03,DOGE,SELL,,0.48,1.0,0.0098209,CYCLE_RESET,0.00254714
2021-01-03,DOGE,SELL,,0.54,1.0,0.0098209,CYCLE_RESET,0.003386420000000001
2021-01-03,DOGE,SELL,,0.59,1.0,0.0098209,CYCLE_RESET,0.0040858199999999996
2021-01-04,DOGE,LADDER_CREATE,0.01405,,,,,
2021-01-04,DOGE,BUY,,0.44,1.0,0.007868,FILL,
2021-01-11,DOGE,BUY,,0.48,1.0,0.007306,FILL,
2021-01-28,DOGE,SELL,,0.44,1.0,0.0364995,CYCLE_RESET,0.028631499999999997
2021-01-28,DOGE,SELL,,0.48,1.0,0.0364995,CYCLE_RESET,0.029193499999999997
2021-01-29,DOGE,LADDER_CREATE,0.0875,,,,,
2021-01-29,DOGE,BUY,,0.44,1.0,0.049,FILL,
2021-01-29,DOGE,BUY,,0.48,1.0,0.0455,FILL,
2021-01-29,DOGE,BUY,,0.54,1.0,0.040249999999999994,FILL,
2021-01-29,DOGE,BUY,,0.59,1.0,0.035875,FILL,
2021-01-30,DOGE,SELL,,0.44,1.0,0.02826,CYCLE_RESET,-0.02074
2021-01-30,DOGE,SELL,,0.48,1.0,0.02826,CYCLE_RESET,-0.01724
2021-01-30,DOGE,SELL,,0.54,1.0,0.02826,CYCLE_RESET,-0.011989999999999994
2021-01-30,DOGE,SELL,,0.59,1.0,0.02826,CYCLE_RESET,-0.007614999999999997
2021-01-31,DOGE,LADDER_CREATE,0.0508804,,,,,
2021-01-31,DOGE,BUY,,0.44,1.0,0.028493024000000002,FILL,
2021-02-04,DOGE,SELL,,0.44,1.0,0.0529081,CYCLE_RESET,0.024415075999999997
2021-02-15,DOGE,LADDER_CREATE,0.087297,,,,,
2021-02-15,DOGE,BUY,,0.44,1.0,0.048886320000000004,FILL,
2021-02-23,DOGE,BUY,,0.48,1.0,0.04539444,FILL,
2021-04-13,DOGE,SELL,,0.44,1.0,0.094402,CYCLE_RESET,0.045515679999999996
2021-04-13,DOGE,SELL,,0.48,1.0,0.094402,CYCLE_RESET,0.04900756
2021-04-16,DOGE,LADDER_CREATE,0.45,,,,,
2021-04-16,DOGE,BUY,,0.44,1.0,0.25200000000000006,FILL,
2021-04-16,DOGE,BUY,,0.48,1.0,0.234,FILL,
2021-04-16,DOGE,BUY,,0.54,1.0,0.207,FILL,
2021-04-16,DOGE,BUY,,0.59,1.0,0.18450000000000003,FILL,
2021-04-17,DOGE,SELL,,0.44,1.0,0.2822532,CYCLE_RESET,0.030253199999999925
2021-04-17,DOGE,SELL,,0.48,1.0,0.2822532,CYCLE_RESET,0.04825319999999997
2021-04-17,DOGE,SELL,,0.54,1.0,0.2822532,CYCLE_RESET,0.07525319999999999
2021-04-17,DOGE,SELL,,0.59,1.0,0.2822532,CYCLE_RESET,0.09775319999999996
2021-04-23,DOGE,LADDER_CREATE,0.435546,,,,,
2021-04-23,DOGE,BUY,,0.44,1.0,0.24390576000000003,FILL,
2021-04-23,DOGE,BUY,,0.48,1.0,0.22648392,FILL,
2021-04-23,DOGE,BUY,,0.54,1.0,0.20035115999999997,FILL,
2021-04-23,DOGE,BUY,,0.59,1.0,0.17857386,FILL,
2021-04-28,DOGE,SELL,,0.44,1.0,0.32311,CYCLE_RESET,0.07920423999999998
2021-04-28,DOGE,SELL,,0.48,1.0,0.32311,CYCLE_RESET,0.09662608
2021-04-28,DOGE,SELL,,0.54,1.0,0.32311,CYCLE_RESET,0.12275884000000004
2021-04-28,DOGE,SELL,,0.59,1.0,0.32311,CYCLE_RESET,0.14453614
2021-05-12,DOGE,LADDER_CREATE,0.73995,,,,,
2021-05-12,DOGE,BUY,,0.44,1.0,0.414372,FILL,
2021-05-12,DOGE,BUY,,0.48,1.0,0.384774,FILL,
2021-05-19,DOGE,SELL,,0.44,1.0,0.32945,CYCLE_RESET,-0.084922
2021-05-19,DOGE,SELL,,0.48,1.0,0.32945,CYCLE_RESET,-0.055323999999999984
2021-05-23,DOGE,LADDER_CREATE,0.4794,,,,,
2021-05-23,DOGE,BUY,,0.44,1.0,0.26846400000000004,FILL,
2021-05-23,DOGE,BUY,,0.48,1.0,0.249288,FILL,
2021-06-21,DOGE,BUY,,0.54,1.0,0.22052399999999997,FILL,
2021-06-21,DOGE,BUY,,0.59,1.0,0.196554,FILL,
2021-06-21,DOGE,BUY,,0.65,1.0,0.16779,FILL,
2021-08-15,DOGE,SELL,,0.44,1.0,0.33984,CYCLE_RESET,0.07137599999999994
2021-08-15,DOGE,SELL,,0.48,1.0,0.33984,CYCLE_RESET,0.09055199999999997
2021-08-15,DOGE,SELL,,0.54,1.0,0.33984,CYCLE_RESET,0.119316
2021-08-15,DOGE,SELL,,0.59,1.0,0.33984,CYCLE_RESET,0.14328599999999997
2021-08-15,DOGE,SELL,,0.65,1.0,0.33984,CYCLE_RESET,0.17204999999999998
2021-09-24,DOGE,LADDER_CREATE,0.3517,,,,,
2021-09-24,DOGE,BUY,,0.44,1.0,0.19695200000000002,FILL,
2021-12-04,DOGE,BUY,,0.48,1.0,0.18288400000000002,FILL,
2021-12-04,DOGE,BUY,,0.54,1.0,0.16178199999999998,FILL,
2021-12-04,DOGE,BUY,,0.59,1.0,0.14419700000000002,FILL,
2022-01-22,DOGE,BUY,,0.65,1.0,0.123095,FILL,
2022-05-11,DOGE,BUY,,0.72,1.0,0.09847600000000001,FILL,
2022-05-11,DOGE,BUY,,0.79,1.0,0.07385699999999999,FILL,
2022-10-29,DOGE,SELL,,0.44,1.0,0.12176,CYCLE_RESET,-0.07519200000000002
2022-10-29,DOGE,SELL,,0.48,1.0,0.12176,CYCLE_RESET,-0.061124000000000026
2022-10-29,DOGE,SELL,,0.54,1.0,0.12176,CYCLE_RESET,-0.04002199999999999
2022-10-29,DOGE,SELL,,0.59,1.0,0.12176,CYCLE_RESET,-0.022437000000000026
2022-10-29,DOGE,SELL,,0.65,1.0,0.12176,CYCLE_RESET,-0.0013350000000000029
2022-10-29,DOGE,SELL,,0.72,1.0,0.12176,CYCLE_RESET,0.023283999999999985
2022-10-29,DOGE,SELL,,0.79,1.0,0.12176,CYCLE_RESET,0.047903
2022-11-08,DOGE,LADDER_CREATE,0.15893,,,,,
2022-11-08,DOGE,BUY,,0.44,1.0,0.0890008,FILL,
2022-11-08,DOGE,BUY,,0.48,1.0,0.0826436,FILL,
