date,symbol,action,cand_H,level,qty,price,note,pnl
2021-05-19,ETH,LADDER_CREATE,4372.72,,,,,
2021-05-19,ETH,BUY,,0.44,1.0,2448.7232000000004,FILL,
2021-05-19,ETH,BUY,,0.48,1.0,2273.8144,FILL,
2021-05-19,ETH,BUY,,0.54,1.0,2011.4512,FILL,
2021-05-23,ETH,BUY,,0.59,1.0,1792.8152000000002,FILL,
2021-08-23,ETH,SELL,,0.44,1.0,3321.28,CYCLE_RESET,872.5567999999998
2021-08-23,ETH,SELL,,0.48,1.0,3321.28,CYCLE_RESET,1047.4656
2021-08-23,ETH,SELL,,0.54,1.0,3321.28,CYCLE_RESET,1309.8288000000002
2021-08-23,ETH,SELL,,0.59,1.0,3321.28,CYCLE_RESET,1528.4648
2022-01-21,ETH,LADDER_CREATE,4868.0,,,,,
2022-01-21,ETH,BUY,,0.44,1.0,2726.0800000000004,FILL,
2022-01-21,ETH,BUY,,0.48,1.0,2531.36,FILL,
2022-01-24,ETH,BUY,,0.54,1.0,2239.2799999999997,FILL,
2022-05-12,ETH,BUY,,0.59,1.0,1995.88,FILL,
2022-05-27,ETH,BUY,,0.65,1.0,1703.8,FILL,
2022-06-13,ETH,BUY,,0.72,1.0,1363.0400000000002,FILL,
2022-06-15,ETH,BUY,,0.79,1.0,1022.2799999999999,FILL,
2022-07-28,ETH,SELL,,0.44,1.0,1724.52,CYCLE_RESET,-1001.5600000000004
2022-07-28,ETH,SELL,,0.48,1.0,1724.52,CYCLE_RESET,-806.8400000000001
2022-07-28,ETH,SELL,,0.54,1.0,1724.52,CYCLE_RESET,-514.7599999999998
2022-07-28,ETH,SELL,,0.59,1.0,1724.52,CYCLE_RESET,-271.3600000000001
2022-07-28,ETH,SELL,,0.65,1.0,1724.52,CYCLE_RESET,20.720000000000027
2022-07-28,ETH,SELL,,0.72,1.0,1724.52,CYCLE_RESET,361.4799999999998
2022-07-28,ETH,SELL,,0.79,1.0,1724.52,CYCLE_RESET,702.2400000000001
2022-11-09,ETH,LADDER_CREATE,2030.0,,,,,
2022-11-09,ETH,BUY,,0.44,1.0,1136.8000000000002,FILL,
2023-04-13,ETH,SELL,,0.44,1.0,2012.01,NEAR_H_EXIT,875.2099999999998
2024-08-05,ETH,LADDER_CREATE,4093.92,,,,,
2024-08-05,ETH,BUY,,0.44,1.0,2292.5952,FILL,
2024-08-05,ETH,BUY,,0.48,1.0,2128.8384,FILL,
2025-03-10,ETH,BUY,,0.54,1.0,1883.2032,FILL,
2025-04-06,ETH,BUY,,0.59,1.0,1678.5072000000002,FILL,
2025-04-07,ETH,BUY,,0.65,1.0,1432.8719999999998,FILL,
2025-05-29,ETH,SELL,,0.44,1.0,2631.39,CYCLE_RESET,338.79479999999967
2025-05-29,ETH,SELL,,0.48,1.0,2631.39,CYCLE_RESET,502.5515999999998
2025-05-29,ETH,SELL,,0.54,1.0,2631.39,CYCLE_RESET,748.1868
2025-05-29,ETH,SELL,,0.59,1.0,2631.39,CYCLE_RESET,952.8827999999996
2025-05-29,ETH,SELL,,0.65,1.0,2631.39,CYCLE_RESET,1198.518
