date,symbol,action,cand_H,level,qty,price,note,pnl
2020-09-07,HBAR,LADDER_CREATE,0.06176,,,,,
2020-09-07,HBAR,BUY,,0.44,1.0,0.03458560000000001,FILL,
2020-09-21,HBAR,BUY,,0.48,1.0,0.0321152,FILL,
2020-11-03,HBAR,BUY,,0.54,1.0,0.0284096,FILL,
2021-01-08,HBAR,SELL,,0.44,1.0,0.06091,CYCLE_RESET,0.02632439999999999
2021-01-08,HBAR,SELL,,0.48,1.0,0.06091,CYCLE_RESET,0.028794799999999995
2021-01-08,HBAR,SELL,,0.54,1.0,0.06091,CYCLE_RESET,0.0325004
2021-01-11,HBAR,LADDER_CREATE,0.06741,,,,,
2021-01-11,HBAR,BUY,,0.44,1.0,0.0377496,FILL,
2021-01-19,HBAR,SELL,,0.44,1.0,0.07166,NEAR_H_EXIT,0.0339104
2021-04-18,HBAR,LADDER_CREATE,0.4555,,,,,
2021-04-18,HBAR,BUY,,0.44,1.0,0.25508000000000003,FILL,
2021-04-23,HBAR,BUY,,0.48,1.0,0.23686000000000001,FILL,
2021-04-23,HBAR,BUY,,0.54,1.0,0.20953,FILL,
2021-05-13,HBAR,SELL,,0.44,1.0,0.33435,CYCLE_RESET,0.07926999999999995
2021-05-13,HBAR,SELL,,0.48,1.0,0.33435,CYCLE_RESET,0.09748999999999997
2021-05-13,HBAR,SELL,,0.54,1.0,0.33435,CYCLE_RESET,0.12481999999999999
2021-05-19,HBAR,LADDER_CREATE,0.40949,,,,,
2021-05-19,HBAR,BUY,,0.44,1.0,0.22931440000000003,FILL,
2021-05-19,HBAR,BUY,,0.48,1.0,0.2129348,FILL,
2021-05-19,HBAR,BUY,,0.54,1.0,0.1883654,FILL,
2021-05-19,HBAR,BUY,,0.59,1.0,0.1678909,FILL,
2021-06-22,HBAR,BUY,,0.65,1.0,0.1433215,FILL,
2021-08-14,HBAR,SELL,,0.44,1.0,0.26285,CYCLE_RESET,0.03353559999999994
2021-08-14,HBAR,SELL,,0.48,1.0,0.26285,CYCLE_RESET,0.049915199999999965
2021-08-14,HBAR,SELL,,0.54,1.0,0.26285,CYCLE_RESET,0.07448459999999998
2021-08-14,HBAR,SELL,,0.59,1.0,0.26285,CYCLE_RESET,0.09495909999999996
2021-08-14,HBAR,SELL,,0.65,1.0,0.26285,CYCLE_RESET,0.11952849999999998
2021-09-20,HBAR,LADDER_CREATE,0.576,,,,,
2021-09-20,HBAR,BUY,,0.44,1.0,0.32256,FILL,
2021-09-21,HBAR,BUY,,0.48,1.0,0.29952,FILL,
2021-12-04,HBAR,BUY,,0.54,1.0,0.26496,FILL,
