date,symbol,action,cand_H,level,qty,price,note,pnl
2021-05-19,LTC,LADDER_CREATE,413.49,,,,,
2021-05-19,LTC,BUY,,0.44,1.0,231.55440000000002,FILL,
2021-05-19,LTC,BUY,,0.48,1.0,215.0148,FILL,
2021-05-19,LTC,BUY,,0.54,1.0,190.2054,FILL,
2021-05-19,LTC,BUY,,0.59,1.0,169.5309,FILL,
2021-05-23,LTC,BUY,,0.65,1.0,144.7215,FILL,
2021-06-22,LTC,BUY,,0.72,1.0,115.77720000000001,FILL,
2021-09-03,LTC,SELL,,0.44,1.0,212.9,CYCLE_RESET,-18.65440000000001
2021-09-03,LTC,SELL,,0.48,1.0,212.9,CYCLE_RESET,-2.1148000000000025
2021-09-03,LTC,SELL,,0.54,1.0,212.9,CYCLE_RESET,22.69460000000001
2021-09-03,LTC,SELL,,0.59,1.0,212.9,CYCLE_RESET,43.3691
2021-09-03,LTC,SELL,,0.65,1.0,212.9,CYCLE_RESET,68.17850000000001
2021-09-03,LTC,SELL,,0.72,1.0,212.9,CYCLE_RESET,97.1228
2021-12-04,LTC,LADDER_CREATE,295.7,,,,,
2021-12-04,LTC,BUY,,0.44,1.0,165.592,FILL,
2021-12-04,LTC,BUY,,0.48,1.0,153.764,FILL,
2021-12-04,LTC,BUY,,0.54,1.0,136.022,FILL,
2022-01-10,LTC,BUY,,0.59,1.0,121.23700000000001,FILL,
2022-01-22,LTC,BUY,,0.65,1.0,103.49499999999999,FILL,
2022-05-09,LTC,BUY,,0.72,1.0,82.796,FILL,
2022-05-12,LTC,BUY,,0.79,1.0,62.09699999999999,FILL,
2022-11-23,LTC,SELL,,0.44,1.0,79.02,CYCLE_RESET,-86.57200000000002
2022-11-23,LTC,SELL,,0.48,1.0,79.02,CYCLE_RESET,-74.74400000000001
2022-11-23,LTC,SELL,,0.54,1.0,79.02,CYCLE_RESET,-57.001999999999995
2022-11-23,LTC,SELL,,0.59,1.0,79.02,CYCLE_RESET,-42.21700000000001
2022-11-23,LTC,SELL,,0.65,1.0,79.02,CYCLE_RESET,-24.474999999999994
2022-11-23,LTC,SELL,,0.72,1.0,79.02,CYCLE_RESET,-3.7760000000000105
2022-11-23,LTC,SELL,,0.79,1.0,79.02,CYCLE_RESET,16.92300000000001
2023-08-17,LTC,LADDER_CREATE,115.0,,,,,
2023-08-17,LTC,BUY,,0.44,1.0,64.4,FILL,
2023-08-17,LTC,BUY,,0.48,1.0,59.800000000000004,FILL,
2024-04-01,LTC,SELL,,0.44,1.0,99.2,CYCLE_RESET,34.8
2024-04-01,LTC,SELL,,0.48,1.0,99.2,CYCLE_RESET,39.4
2024-07-05,LTC,LADDER_CREATE,112.8,,,,,
2024-07-05,LTC,BUY,,0.44,1.0,63.168000000000006,FILL,
2024-07-05,LTC,BUY,,0.48,1.0,58.656,FILL,
2024-08-05,LTC,BUY,,0.54,1.0,51.888,FILL,
2024-11-23,LTC,SELL,,0.44,1.0,99.5,CYCLE_RESET,36.331999999999994
2024-11-23,LTC,SELL,,0.48,1.0,99.5,CYCLE_RESET,40.844
2024-11-23,LTC,SELL,,0.54,1.0,99.5,CYCLE_RESET,47.612
2025-02-03,LTC,LADDER_CREATE,147.06,,,,,
2025-02-03,LTC,BUY,,0.44,1.0,82.35360000000001,FILL,
2025-04-06,LTC,BUY,,0.48,1.0,76.47120000000001,FILL,
2025-04-07,LTC,BUY,,0.54,1.0,67.6476,FILL,
2025-08-05,LTC,SELL,,0.44,1.0,120.27,CYCLE_RESET,37.91639999999998
2025-08-05,LTC,SELL,,0.48,1.0,120.27,CYCLE_RESET,43.798799999999986
2025-08-05,LTC,SELL,,0.54,1.0,120.27,CYCLE_RESET,52.6224
