date,symbol,action,cand_H,level,qty,price,note,pnl
2021-05-19,SOL,LADDER_CREATE,58.38,,,,,
2021-05-19,SOL,BUY,,0.44,1.0,32.692800000000005,FILL,
2021-05-19,SOL,BUY,,0.48,1.0,30.3576,FILL,
2021-05-19,SOL,BUY,,0.54,1.0,26.854799999999997,FILL,
2021-05-20,SOL,SELL,,0.44,1.0,44.42,CYCLE_RESET,11.727199999999996
2021-05-20,SOL,SELL,,0.48,1.0,44.42,CYCLE_RESET,14.0624
2021-05-20,SOL,SELL,,0.54,1.0,44.42,CYCLE_RESET,17.565200000000004
2021-05-23,SOL,LADDER_CREATE,53.0,,,,,
2021-05-23,SOL,BUY,,0.44,1.0,29.680000000000003,FILL,
2021-05-23,SOL,BUY,,0.48,1.0,27.560000000000002,FILL,
2021-05-23,SOL,BUY,,0.54,1.0,24.38,FILL,
2021-05-23,SOL,BUY,,0.59,1.0,21.73,FILL,
2021-06-03,SOL,SELL,,0.44,1.0,39.602,CYCLE_RESET,9.921999999999993
2021-06-03,SOL,SELL,,0.48,1.0,39.602,CYCLE_RESET,12.041999999999994
2021-06-03,SOL,SELL,,0.54,1.0,39.602,CYCLE_RESET,15.221999999999998
2021-06-03,SOL,SELL,,0.59,1.0,39.602,CYCLE_RESET,17.871999999999996
2021-06-22,SOL,LADDER_CREATE,44.2,,,,,
2021-06-22,SOL,BUY,,0.44,1.0,24.752000000000002,FILL,
2021-06-22,SOL,BUY,,0.48,1.0,22.984,FILL,
2021-06-22,SOL,BUY,,0.54,1.0,20.332,FILL,
2021-08-06,SOL,SELL,,0.44,1.0,39.525,CYCLE_RESET,14.772999999999996
2021-08-06,SOL,SELL,,0.48,1.0,39.525,CYCLE_RESET,16.540999999999997
2021-08-06,SOL,SELL,,0.54,1.0,39.525,CYCLE_RESET,19.192999999999998
2021-09-21,SOL,LADDER_CREATE,216.0,,,,,
2021-09-21,SOL,BUY,,0.44,1.0,120.96000000000001,FILL,
2021-11-02,SOL,SELL,,0.44,1.0,220.82,NEAR_H_EXIT,99.85999999999999
2022-01-05,SOL,LADDER_CREATE,259.9,,,,,
2022-01-05,SOL,BUY,,0.44,1.0,145.544,FILL,
2022-01-07,SOL,BUY,,0.48,1.0,135.148,FILL,
2022-01-21,SOL,BUY,,0.54,1.0,119.55399999999997,FILL,
2022-01-21,SOL,BUY,,0.59,1.0,106.559,FILL,
2022-01-22,SOL,BUY,,0.65,1.0,90.96499999999999,FILL,
2022-05-09,SOL,BUY,,0.72,1.0,72.772,FILL,
2022-05-11,SOL,BUY,,0.79,1.0,54.578999999999986,FILL,
2023-01-09,SOL,SELL,,0.44,1.0,16.25,CYCLE_RESET,-129.294
2023-01-09,SOL,SELL,,0.48,1.0,16.25,CYCLE_RESET,-118.898
2023-01-09,SOL,SELL,,0.54,1.0,16.25,CYCLE_RESET,-103.30399999999997
2023-01-09,SOL,SELL,,0.59,1.0,16.25,CYCLE_RESET,-90.309
2023-01-09,SOL,SELL,,0.65,1.0,16.25,CYCLE_RESET,-74.71499999999999
2023-01-09,SOL,SELL,,0.72,1.0,16.25,CYCLE_RESET,-56.522000000000006
2023-01-09,SOL,SELL,,0.79,1.0,16.25,CYCLE_RESET,-38.328999999999986
2023-06-10,SOL,LADDER_CREATE,27.12,,,,,
2023-06-10,SOL,BUY,,0.44,1.0,15.187200000000002,FILL,
2023-06-10,SOL,BUY,,0.48,1.0,14.102400000000001,FILL,
2023-07-13,SOL,SELL,,0.44,1.0,26.01,CYCLE_RESET,10.822799999999999
2023-07-13,SOL,SELL,,0.48,1.0,26.01,CYCLE_RESET,11.9076
2023-09-10,SOL,LADDER_CREATE,32.13,,,,,
2023-09-10,SOL,BUY,,0.44,1.0,17.992800000000003,FILL,
2023-10-23,SOL,SELL,,0.44,1.0,31.88,NEAR_H_EXIT,13.887199999999996
2024-04-13,SOL,LADDER_CREATE,210.18,,,,,
2024-04-13,SOL,BUY,,0.44,1.0,117.70080000000002,FILL,
2024-11-10,SOL,SELL,,0.44,1.0,210.07,NEAR_H_EXIT,92.36919999999998
2025-02-18,SOL,LADDER_CREATE,295.83,,,,,
2025-02-18,SOL,BUY,,0.44,1.0,165.6648,FILL,
2025-02-24,SOL,BUY,,0.48,1.0,153.8316,FILL,
2025-02-25,SOL,BUY,,0.54,1.0,136.0818,FILL,
2025-03-10,SOL,BUY,,0.59,1.0,121.2903,FILL,
2025-04-07,SOL,BUY,,0.65,1.0,103.5405,FILL,
2025-07-21,SOL,SELL,,0.44,1.0,195.72,CYCLE_RESET,30.055199999999985
2025-07-21,SOL,SELL,,0.48,1.0,195.72,CYCLE_RESET,41.88839999999999
2025-07-21,SOL,SELL,,0.54,1.0,195.72,CYCLE_RESET,59.63820000000001
2025-07-21,SOL,SELL,,0.59,1.0,195.72,CYCLE_RESET,74.4297
2025-07-21,SOL,SELL,,0.65,1.0,195.72,CYCLE_RESET,92.1795
