date,symbol,action,cand_H,level,qty,price,note,pnl
2023-05-08,SUI,LADDER_CREATE,2.0,,,,,
2023-05-08,SUI,BUY,,0.44,1.0,1.12,FILL,
2023-05-08,SUI,BUY,,0.48,1.0,1.04,FILL,
2023-06-02,SUI,BUY,,0.54,1.0,0.9199999999999999,FILL,
2023-06-05,SUI,BUY,,0.59,1.0,0.8200000000000001,FILL,
2023-06-10,SUI,BUY,,0.65,1.0,0.7,FILL,
2023-06-10,SUI,BUY,,0.72,1.0,0.56,FILL,
2023-09-11,SUI,BUY,,0.79,1.0,0.41999999999999993,FILL,
2023-12-09,SUI,SELL,,0.44,1.0,0.6778,CYCLE_RESET,-0.44220000000000015
2023-12-09,SUI,SELL,,0.48,1.0,0.6778,CYCLE_RESET,-0.3622000000000001
2023-12-09,SUI,SELL,,0.54,1.0,0.6778,CYCLE_RESET,-0.24219999999999997
2023-12-09,SUI,SELL,,0.59,1.0,0.6778,CYCLE_RESET,-0.1422000000000001
2023-12-09,SUI,SELL,,0.65,1.0,0.6778,CYCLE_RESET,-0.022199999999999998
2023-12-09,SUI,SELL,,0.72,1.0,0.6778,CYCLE_RESET,0.1177999999999999
2023-12-09,SUI,SELL,,0.79,1.0,0.6778,CYCLE_RESET,0.25780000000000003
2024-04-12,SUI,LADDER_CREATE,2.1829,,,,,
2024-04-12,SUI,BUY,,0.44,1.0,1.2224240000000002,FILL,
2024-04-12,SUI,BUY,,0.48,1.0,1.135108,FILL,
2024-04-13,SUI,BUY,,0.54,1.0,1.0041339999999999,FILL,
2024-04-13,SUI,BUY,,0.59,1.0,0.8949890000000001,FILL,
2024-06-18,SUI,BUY,,0.65,1.0,0.764015,FILL,
2024-07-05,SUI,BUY,,0.72,1.0,0.6112120000000001,FILL,
2024-08-10,SUI,SELL,,0.44,1.0,0.9196,CYCLE_RESET,-0.3028240000000002
2024-08-10,SUI,SELL,,0.48,1.0,0.9196,CYCLE_RESET,-0.21550800000000003
2024-08-10,SUI,SELL,,0.54,1.0,0.9196,CYCLE_RESET,-0.08453399999999989
2024-08-10,SUI,SELL,,0.59,1.0,0.9196,CYCLE_RESET,0.024610999999999827
2024-08-10,SUI,SELL,,0.65,1.0,0.9196,CYCLE_RESET,0.15558499999999997
2024-08-10,SUI,SELL,,0.72,1.0,0.9196,CYCLE_RESET,0.3083879999999999
2025-02-03,SUI,LADDER_CREATE,5.3687,,,,,
2025-02-03,SUI,BUY,,0.44,1.0,3.006472,FILL,
2025-02-03,SUI,BUY,,0.48,1.0,2.791724,FILL,
2025-02-03,SUI,BUY,,0.54,1.0,2.4696019999999996,FILL,
2025-03-10,SUI,BUY,,0.59,1.0,2.201167,FILL,
2025-04-07,SUI,BUY,,0.65,1.0,1.8790449999999996,FILL,
2025-04-25,SUI,SELL,,0.44,1.0,3.519,CYCLE_RESET,0.5125280000000001
2025-04-25,SUI,SELL,,0.48,1.0,3.519,CYCLE_RESET,0.7272760000000003
2025-04-25,SUI,SELL,,0.54,1.0,3.519,CYCLE_RESET,1.0493980000000005
2025-04-25,SUI,SELL,,0.59,1.0,3.519,CYCLE_RESET,1.3178330000000003
2025-04-25,SUI,SELL,,0.65,1.0,3.519,CYCLE_RESET,1.6399550000000005
2025-06-22,SUI,LADDER_CREATE,4.2989,,,,,
2025-06-22,SUI,BUY,,0.44,1.0,2.407384,FILL,
2025-07-27,SUI,SELL,,0.44,1.0,4.326,NEAR_H_EXIT,1.9186159999999997
